r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
mean | scene,WHAT does the sad presaging mean? ,o4987-l01385, Where Fate the curtain drops to close the scene:,o4987-l01400,/iːn/ | /iːn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
mean | serene,WHAT does the sad presaging mean? ,o4987-l01385, Then farewel! Life and Light! and thou blest Sun serene. ,o4987-l01405,/iːn/ | /iːn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
urge | verge,"Few days, few years, perhaps few moments urge",o4987-l01390," My footsteps to the dreary verge,",o4987-l01395,/ɜːdʒ/ | /ɜːdʒ/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
verge | urge," My footsteps to the dreary verge,",o4987-l01395,"Few days, few years, perhaps few moments urge",o4987-l01390,/ɜːdʒ/ | /ɜːdʒ/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
scene | mean, Where Fate the curtain drops to close the scene:,o4987-l01400,WHAT does the sad presaging mean? ,o4987-l01385,/iːn/ | /iːn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
scene | serene, Where Fate the curtain drops to close the scene:,o4987-l01400, Then farewel! Life and Light! and thou blest Sun serene. ,o4987-l01405,/iːn/ | /iːn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
serene | mean, Then farewel! Life and Light! and thou blest Sun serene. ,o4987-l01405,WHAT does the sad presaging mean? ,o4987-l01385,/iːn/ | /iːn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
serene | scene, Then farewel! Life and Light! and thou blest Sun serene. ,o4987-l01405, Where Fate the curtain drops to close the scene:,o4987-l01400,/iːn/ | /iːn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
bed | dead,"Earth, o'er me rolls thy mighty bed;",o4987-l01410," And rush to mix a victim with the dead,",o4987-l01425,/ed/ | /ed/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
bed | tread,"Earth, o'er me rolls thy mighty bed;",o4987-l01410," Where Fate embraces all, and none can backward tread. ",o4987-l01430,/ed/ | /ed/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
profound | bound, The world recedes; I view the grave profound:,o4987-l01415, Of life I touch the utmost bound;,o4987-l01420,/aʊnd/ | /aʊnd/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
bound | profound, Of life I touch the utmost bound;,o4987-l01420, The world recedes; I view the grave profound:,o4987-l01415,/aʊnd/ | /aʊnd/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
dead | bed," And rush to mix a victim with the dead,",o4987-l01425,"Earth, o'er me rolls thy mighty bed;",o4987-l01410,/ed/ | /ed/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
dead | tread," And rush to mix a victim with the dead,",o4987-l01425," Where Fate embraces all, and none can backward tread. ",o4987-l01430,/ed/ | /ed/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
tread | bed," Where Fate embraces all, and none can backward tread. ",o4987-l01430,"Earth, o'er me rolls thy mighty bed;",o4987-l01410,/ed/ | /ed/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
tread | dead," Where Fate embraces all, and none can backward tread. ",o4987-l01430," And rush to mix a victim with the dead,",o4987-l01425,/ed/ | /ed/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
stand | land,"While yet I wake or sleep, there stand",o4987-l01435," Wafts the contagion from each distant land,",o4987-l01450,/ænd/ | /ænd/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
stand | band,"While yet I wake or sleep, there stand",o4987-l01435, And all the Elements conspire to arm the dreadful band;,o4987-l01455,/ænd/ | /ænd/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
behind | wind," Ten thousand Deaths in arms; before, behind,",o4987-l01440, They press me round; and every wind,o4987-l01445,/aɪnd/ | /ɪnd/,half-pararhyme,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
wind | behind, They press me round; and every wind,o4987-l01445," Ten thousand Deaths in arms; before, behind,",o4987-l01440,/ɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
land | stand," Wafts the contagion from each distant land,",o4987-l01450,"While yet I wake or sleep, there stand",o4987-l01435,/ænd/ | /ænd/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
land | band," Wafts the contagion from each distant land,",o4987-l01450, And all the Elements conspire to arm the dreadful band;,o4987-l01455,/ænd/ | /ænd/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
band | stand, And all the Elements conspire to arm the dreadful band;,o4987-l01455,"While yet I wake or sleep, there stand",o4987-l01435,/ænd/ | /ænd/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
band | land, And all the Elements conspire to arm the dreadful band;,o4987-l01455," Wafts the contagion from each distant land,",o4987-l01450,/ænd/ | /ænd/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
below | flow,"Within, without, above, below,",o4987-l01460," Till Nature's tortur'd stream forgets to flow,",o4987-l01475,/əʊ/ | /əʊ/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
below | foe,"Within, without, above, below,",o4987-l01460, And Art itself but proves a still more dangerous foe. ,o4987-l01480,/əʊ/ | /əʊ/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
frame | flame," By turns they sink, or rend my feeble frame,",o4987-l01465," Now chill, now urge the vital flame,",o4987-l01470,/eɪm/ | /eɪm/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
flame | frame," Now chill, now urge the vital flame,",o4987-l01470," By turns they sink, or rend my feeble frame,",o4987-l01465,/eɪm/ | /eɪm/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
flow | below," Till Nature's tortur'd stream forgets to flow,",o4987-l01475,"Within, without, above, below,",o4987-l01460,/əʊ/ | /əʊ/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
flow | foe," Till Nature's tortur'd stream forgets to flow,",o4987-l01475, And Art itself but proves a still more dangerous foe. ,o4987-l01480,/əʊ/ | /əʊ/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
foe | below, And Art itself but proves a still more dangerous foe. ,o4987-l01480,"Within, without, above, below,",o4987-l01460,/əʊ/ | /əʊ/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
foe | flow, And Art itself but proves a still more dangerous foe. ,o4987-l01480," Till Nature's tortur'd stream forgets to flow,",o4987-l01475,/əʊ/ | /əʊ/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
return | learn,Dust to its Dust will soon return,o4987-l01485," But horrid lessons human Pride should learn,",o4987-l01500,/ɜːn/ | /ɜːn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
return | urn,Dust to its Dust will soon return,o4987-l01485," Foul Worms, and Blood, and Stench that sill the Royal Urn. ",o4987-l01505,/ɜːn/ | /ɜːn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
mind | behind," This mortal part, proud Tyrant of the Mind,",o4987-l01490," Nor leave of all its pomp behind,",o4987-l01495,/aɪnd/ | /aɪnd/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
behind | mind," Nor leave of all its pomp behind,",o4987-l01495," This mortal part, proud Tyrant of the Mind,",o4987-l01490,/aɪnd/ | /aɪnd/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
learn | return," But horrid lessons human Pride should learn,",o4987-l01500,Dust to its Dust will soon return,o4987-l01485,/ɜːn/ | /ɜːn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
learn | urn," But horrid lessons human Pride should learn,",o4987-l01500," Foul Worms, and Blood, and Stench that sill the Royal Urn. ",o4987-l01505,/ɜːn/ | /ɜːn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
urn | return," Foul Worms, and Blood, and Stench that sill the Royal Urn. ",o4987-l01505,Dust to its Dust will soon return,o4987-l01485,/ɜːn/ | /ɜːn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
urn | learn," Foul Worms, and Blood, and Stench that sill the Royal Urn. ",o4987-l01505," But horrid lessons human Pride should learn,",o4987-l01500,/ɜːn/ | /ɜːn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
train | vain,"Recede, ye base and servile train,",o4987-l01510," Which slatter'd Fancy would exalt in vain,",o4987-l01525,/eɪn/ | /eɪn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
train | disdain,"Recede, ye base and servile train,",o4987-l01510," I know what I must be, and what I am disdain. ",o4987-l01530,/eɪn/ | /eɪn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
say | day, I cannot be the mighty thing ye say;,o4987-l01515," The wretched object of a day,",o4987-l01520,/eɪ/ | /eɪ/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
day | say," The wretched object of a day,",o4987-l01520, I cannot be the mighty thing ye say;,o4987-l01515,/eɪ/ | /eɪ/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
vain | train," Which slatter'd Fancy would exalt in vain,",o4987-l01525,"Recede, ye base and servile train,",o4987-l01510,/eɪn/ | /eɪn/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
vain | disdain," Which slatter'd Fancy would exalt in vain,",o4987-l01525," I know what I must be, and what I am disdain. ",o4987-l01530,/eɪn/ | /eɪn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
disdain | train," I know what I must be, and what I am disdain. ",o4987-l01530,"Recede, ye base and servile train,",o4987-l01510,/eɪn/ | /eɪn/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
disdain | vain," I know what I must be, and what I am disdain. ",o4987-l01530," Which slatter'd Fancy would exalt in vain,",o4987-l01525,/eɪn/ | /eɪn/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
flame | tame,"But warm'd with Heaven's eternal flame,",o4987-l01535,"Or say, can Death its active efforts tame,",o4987-l01550,/eɪm/ | /eɪm/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
flame | frame,"But warm'd with Heaven's eternal flame,",o4987-l01535," O God, who first inspir'd this animated frame? ",o4987-l01555,/eɪm/ | /eɪm/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
mind | wind," Shall that which lives, which thinks, the Mind",o4987-l01540, Be fleeting as the empty wind? ,o4987-l01545,/aɪnd/ | /ɪnd/,half-pararhyme,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
wind | mind, Be fleeting as the empty wind? ,o4987-l01545," Shall that which lives, which thinks, the Mind",o4987-l01540,/ɪnd/ | /aɪnd/,half-pararhyme,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
tame | flame,"Or say, can Death its active efforts tame,",o4987-l01550,"But warm'd with Heaven's eternal flame,",o4987-l01535,/eɪm/ | /eɪm/,full,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
tame | frame,"Or say, can Death its active efforts tame,",o4987-l01550," O God, who first inspir'd this animated frame? ",o4987-l01555,/eɪm/ | /eɪm/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
frame | flame," O God, who first inspir'd this animated frame? ",o4987-l01555,"But warm'd with Heaven's eternal flame,",o4987-l01535,/eɪm/ | /eɪm/,full,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
frame | tame," O God, who first inspir'd this animated frame? ",o4987-l01555,"Or say, can Death its active efforts tame,",o4987-l01550,/eɪm/ | /eɪm/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
grave | gave,No: for the Mind above the grave,o4987-l01560," Secure, O God, whose word its being gave,",o4987-l01575,/ɑːv/ | /eɪv/,half-pararhyme,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
grave | save,No: for the Mind above the grave,o4987-l01560, That what created first has certain power to save;,o4987-l01580,/ɑːv/ | /eɪv/,half-pararhyme,<b>a</b>bba<b>a</b>,pers00097;pers00057,o4987-w0030
stores | adores," Unfetter'd springs, and searching Nature's stores",o4987-l01565," It knows itself, and thee adores,",o4987-l01570,/ɔːz/ | /ɔːz/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
adores | stores," It knows itself, and thee adores,",o4987-l01570," Unfetter'd springs, and searching Nature's stores",o4987-l01565,/ɔːz/ | /ɔːz/,full,a<b>b</b><b>b</b>aa,pers00097;pers00057,o4987-w0030
gave | grave," Secure, O God, whose word its being gave,",o4987-l01575,No: for the Mind above the grave,o4987-l01560,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b>bb<b>a</b>a,pers00097;pers00057,o4987-w0030
gave | save," Secure, O God, whose word its being gave,",o4987-l01575, That what created first has certain power to save;,o4987-l01580,/eɪv/ | /eɪv/,full,abb<b>a</b><b>a</b>,pers00097;pers00057,o4987-w0030
