Rhyme word,Raw frequency,Rhyme vowel,Rhyme sound
land,4,/æ/,/ænd/
isle,3,/aɪ/,/aɪl/
reign,3,/eɪ/,/eɪn/
state,3,/eɪ/,/eɪt/
fate,3,/eɪ/,/eɪt/
shore,3,/ɔː/,/ɔː/
fly,3,/aɪ/,/aɪ/
stand,3,/æ/,/ænd/
grace,3,/eɪ/,/eɪs/
eyes,3,/aɪ/,/aɪz/
shine,3,/aɪ/,/aɪn/
throne,3,/əʊ/,/əʊn/
way,3,/eɪ/,/eɪ/
tell,3,/e/,/el/
day,3,/eɪ/,/eɪ/
own,2,/əʊ/,/əʊn/
shown,2,/əʊ/,/əʊn/
bring,2,/ɪ/,/ɪŋ/
obey,2,/eɪ/,/eɪ/
die,2,/aɪ/,/aɪ/
you,2,/uː/,/uː/
peace,2,/iː/,/iːs/
admired,2,/ə/,/æəd/
inspired,2,/ə/,/æəd/
told,2,/əʊ/,/əʊld/
lost,2,/ɒ/,/ɒst/
paid,2,/eɪ/,/eɪd/
scorn,2,/ɔː/,/ɔːn/
well,2,/e/,/el/
fight,2,/aɪ/,/aɪt/
grow,2,/əʊ/,/əʊ/
disgrace,2,/eɪ/,/eɪs/
fair,2,/eə/,/eə/
main,2,/eɪ/,/eɪn/
sea,2,/iː/,/iː/
fall,2,/ɔː/,/ɔːl/
all,2,/ɔː/,/ɔːl/
race,2,/eɪ/,/eɪs/
toil,2,/ɔɪ/,/ɔɪl/
prove,1,/uː/,/uːv/
jove,1,/əʊ/,/əʊv/
lays,1,/eɪ/,/eɪz/
praise,1,/eɪ/,/eɪz/
strung,1,/ʌ/,/ʌŋ/
sung,1,/ʌ/,/ʌŋ/
muse,1,/uː/,/uːz/
excuse,1,/uː/,/uːz/
reconcile,1,/aɪ/,/eknsaɪl/
rome,1,/əʊ/,/əʊm/
doom,1,/uː/,/uːm/
ring,1,/ɪ/,/ɪŋ/
dead,1,/e/,/ed/
head,1,/e/,/ed/
regain,1,/eɪ/,/eɪn/
reins,1,/eɪ/,/eɪnz/
flames,1,/eɪ/,/eɪmz/
soar,1,/ɔː/,/ɔː/
ascend,1,/e/,/end/
attend,1,/e/,/end/
fame,1,/eɪ/,/eɪm/
proclaim,1,/eɪ/,/eɪm/
scared,1,/eə/,/eəd/
ward,1,/ɔː/,/ɔːd/
chain,1,/eɪ/,/eɪn/
again,1,/e/,/en/
sway,1,/eɪ/,/eɪ/
assert,1,/ɜː/,/ɜːt/
avert,1,/ɜː/,/ɜːt/
view,1,/uː/,/uː/
regard,1,/ɑː/,/ɑːd/
appeared,1,/ɪə/,/ɪəd/
heretofore,1,/ɔː/,/ɔː/
bore,1,/ɔː/,/ɔː/
son,1,/ʌ/,/ʌn/
run,1,/ʌ/,/ʌn/
hand,1,/æ/,/ænd/
ends,1,/e/,/endz/
friends,1,/e/,/endz/
betrayed,1,/eɪ/,/eɪd/
played,1,/eɪ/,/eɪd/
stem,1,/e/,/em/
them,1,/e/,/em/
few,1,/uː/,/uː/
hail,1,/eɪ/,/eɪl/
prevail,1,/eɪ/,/eɪl/
cease,1,/iː/,/iːs/
cause,1,/ɔː/,/ɔːz/
