r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
used," At random censur'd, wantonly abus'd,",o4600-l01730,"LONG from a nation, ever hardly us'd,",o4600-l01725,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
unused,And ev'ry trust of heav'n abus'd.,o5156-l32930,"Talents idle and unus'd,",o5156-l32925,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00108,o5156-w0890
accused,"I ne'er Sabrina's favour so abus'd,",cer72-l04775, Nor once your virtue in my heart accus'd. ,cer72-l04780,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
used,"Yet never had a Friend, but he abus'd,",oau90-l17410,"His Patron's Wit, still as his own is us'd,",oau90-l17405,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00350,oau90-w0580
amused,"""Who scorns to trifle, is by pride abus'd:",o5152-l21490,"""I pity him who ne'er can be amus'd;",o5152-l21495,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00111,o5152-w0250
used,"""For what young flirt, base man, am I abus'd?",o5152-l11855,"""To please your wife am I unkindly us'd?",o5152-l11860,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
refused," ""My parent pray'd — he was abused;",pik94-l07635,""" I kneel for mercy — am refused:",pik94-l07640,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
perused," By all whom sentiment has not abused,",o3795-l28930,Oh 'tis a sight to be with joy perused,o3795-l28925,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
used," This hour she's idoliz'd, the next abus'd;",o3675-l02180,"A Muse by these is like a Mistress us'd,",o3675-l02175,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
confused,"Amaz'd, he knows himself a wretch abus'd;",o5157-l12455,"'Till, sober'd by distress, awake, confus'd,",o5157-l12450,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00125,o5157-w0120
confused,His judgment by illusions was abus'd.,o5157-l13905,"Scene rudely knowh. Uncertain and confus'd,",o5157-l13900,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00125,o5157-w0120
used,Nor never Man so much abus'd;,oau90-l08940,"For ne'er was a Woman better us'd,",oau90-l08935,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00350,oau90-w0280
misused,"Not thine the reckoning dire of LIGHT abus'd,",o4179-l01045," KNOWLEDGE disgrac'd, and LIBERTY misus'd;",o4179-l01050,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00274,o4179-w0010
amused,When most you tyrannize you're most abus'd.,o5153-l04995,"Hence by fond dreams of fancy'd pow'r amus'd,",o5153-l04990,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00030,o5153-w0090
refused," The Trust betray'd, the Nuptial Bed abus'd:",pmp18-l48985, The due Reward to just Desert refus'd:,pmp18-l48980,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
refused, Till aft his guidness is abus'd;,cbu86-l14535," Ought he can lend he'll no refus't,",cbu86-l14530,/uːzd/ | /ʌst/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0250
accused,"Because my blessings are abus'd,",ojg27-l01765," Must I be censur'd, curst, accus'd? ",ojg27-l01770,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0070
refused,"Tells how the people are abus'd,",o4899-l02625," What places, pensions, he refus'd;",o4899-l02630,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
used," Still, liable to be abus'd? ",o4899-l05970,"And is not ev'ry term that's us'd,",o4899-l05965,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
