r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
infinities,Thine Essence is a vast Abyss,o4672-l02140, An Ocean of Infinities,o4672-l02150,/ɪs/ | /ɪnətiz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0110
bliss," ""Yet when the dragon in the deep abyss",o4984-l08565,""" Ye with the Lamb shall rise to ceaseless bliss,",o4984-l08575,/ɪs/ | /ɪs/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o4984-w0090
bliss," O come, and save me from this dark abyss! ",bmb97-l01355,And bear me with you to the realms of bliss! ,bmb97-l01365,/ɪs/ | /ɪs/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0020
bliss,Unnumber'd Shoals glide thro' the cold Abyss,pdi22-l00545," Unseen, and wanton in unenvy'd Bliss. ",pdi22-l00550,/ɪs/ | /ɪs/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bliss,'Twas fear'd he found a dread abyss.,bed98-l07875,"Alass, he dreamt of solid bliss,",bed98-l07865,/ɪs/ | /ɪs/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
bliss," The multitudinous abyss,",psm63-l00620," Where secrecy remains in bliss,",psm63-l00625,/ɪs/ | /ɪs/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
this, Fancy it self 'twou'd tire to plumb the Abyss;,oar96-l02460, If I for an uncertain Lease of this,oar96-l02465,/ɪs/ | /ɪs/,full,<b>a</b><b>a</b>a,pers00265,oar96-w0160
bliss, Fancy it self 'twou'd tire to plumb the Abyss;,oar96-l02460, Sold the fair hopes of an eternal bliss? ,oar96-l02470,/ɪs/ | /ɪs/,full,<b>a</b>a<b>a</b>,pers00265,oar96-w0160
suffice,"O GOD, Thou bottomless Abyss,",o3900-l18810,O Height immense! what Words suffice,o3900-l18820,/ɪs/ | /aɪs/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdefef,pers00310,o3900-w1040
bliss," ""To prove the beauteous World excels the brute Abyss. ",o3818-l05670,""" Perfection forms, and with Perfection Bliss. ",o3818-l05655,/ɪs/ | /ɪs/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
wis," ""To prove the beauteous World excels the brute Abyss. ",o3818-l05670,""" Not needeth Proof: To prove it were, I wis,",o3818-l05665,/ɪs/ | /ɪθs/,half-vowelrhyme,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
amiss," ""Soon swallow'd in Disease's sad Abyss;",o3818-l06065,""" When sickening Health and Spirits go amiss? ",o3818-l06040,/ɪs/ | /ɪs/,full,a<b>b</b>abbc<b>b</b>cc,pers00020,o3818-w0010
bliss," ""Soon swallow'd in Disease's sad Abyss;",o3818-l06065,""" Health is the vital Principle of Bliss,",o3818-l06050,/ɪs/ | /ɪs/,full,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
this," ""Soon swallow'd in Disease's sad Abyss;",o3818-l06065," ""And Exercise of Health. In Proof of This,",o3818-l06055,/ɪs/ | /ɪs/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
bliss,Some plunge to seek it into death's abyss.,o5153-l21640,"Till sated, loathing, hopeless here of bliss,",o5153-l21635,/ɪs/ | /ɪs/,full,<b>a</b><b>a</b>,pers00119,o5153-w0340
bliss," On steady wing sails through th' immense abyss,",o3794-l14470," Plucks amaranthin joys from bow'rs of bliss,",o3794-l14475,/ɪs/ | /ɪs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
