r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
expressed," Warm from the heart, and to the heart address'd. ",o4986-l16995, In plain blunt phrase my honest thoughts express'd,o4986-l16990,/est/ | /est/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
distressed," Hubert, sad Anselm, thus address'd,",o4091-l25120,""" Or is thy soul too much distress'd? ",o4091-l25130,/est/ | /est/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
rest," That some kind husband had addrest,",cbu86-l15365,"There was ae sang, amang the rest,",cbu86-l15355,/est/ | /est/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0270
best," That some kind husband had addrest,",cbu86-l15365," Aboon them a' it pleas'd me best,",cbu86-l15360,/est/ | /est/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0270
breast," That some kind husband had addrest,",cbu86-l15365," It thirl'd the heart-strings thro' the breast,",cbu86-l15375,/est/ | /est/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0270
pressed," And, with consent, the feeble sire address'd,",cac95-l06430," Pervade his soul; her graceful hand he press'd,",cac95-l06425,/est/ | /est/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
confessed,"And thus his fav'rite charge address'd,",bed98-l02170,"Prudence his anxious fears confess'd,",bed98-l02165,/est/ | /est/,full,<b>a</b><b>a</b>,pers00340,bed98-w0040
best," Or with soft Rhetorick addrest,",o4784-l02365,Thus stated Laws are always best,o4784-l02350,/est/ | /est/,full,<b>a</b>ba<b>a</b>b,pers00268,o4784-w0050
carest," Or with soft Rhetorick addrest,",o4784-l02365," Who grow more Stubborn when Carest,",o4784-l02360,/est/ | /eərəst/,half-pararhyme,ab<b>a</b><b>a</b>b,pers00268,o4784-w0050
rest," His little voice to me addrest,",o4984-l35325,"A form, superior to the rest,",o4984-l35320,/est/ | /est/,full,<b>a</b><b>a</b>bccb,pers00321,o4984-w0650
possessed, She thus the Delian God addrest:,o5247-l01845, While of the great Design possest,o5247-l01840,/est/ | /est/,full,<b>a</b><b>a</b>,pers00295,o5247-w0090
rest, His serious Neighbour thus addrest:,o5125-l09140," But one more smart than all the rest,",o5125-l09135,/est/ | /est/,full,<b>a</b><b>a</b>,pers00154,o5125-w0250
guest,At length he thus the ghost addrest. ,ojg27-l07835,"Since thou must be my constant guest,",ojg27-l07840,/est/ | /est/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0320
oppressed," And a consoling voice the fair addrest,",bmb97-l00705,"As thus she mourn'd, with bitterest woe opprest,",bmb97-l00695,/est/ | /est/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0010
breast,To pious James he then his prayer address'd; —,pcr18-l19560," ""Good-lack,"" quoth James, ""thy sorrows pierce my breast;",pcr18-l19565,/est/ | /est/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
pressed,With freedom bland the wond'ring youth address'd;,o5154-l00805,"Approaching decent, eagerly she press'd",o5154-l00795,/est/ | /est/,full,ababc<b>d</b>c<b>d</b>ee,pers00031,o5154-w0050
breast,While ardent thus the youth his vows address'd;,o5154-l01810,"With all the goddess fill'd, already glow'd his breast.",o5154-l01815,/est/ | /est/,full,ababcdcd<b>e</b><b>e</b>,pers00031,o5154-w0050
blessed, His fav'rite Pupil in these words addrest:,o4111-l01530," Demurely sly, with high preferment blest,",o4111-l01525,/est/ | /est/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
expressed, His Answer thus the croaking King addrest. ,o4106-l05105,"As thus the downy Prince his Mind exprest,",o4106-l05100,/est/ | /est/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
breast," And thus, the Council fill'd with Rage, addrest. ",o4106-l05455," Slow rose the Sov'reign, heav'd his anxious Breast,",o4106-l05450,/est/ | /est/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
haste, To him her eager Speeches thus addrest. ,o4784-l04575," Who lighting from her gaudy Coach in haste,",o4784-l04570,/est/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0100
blessed, Her soft attendant smiling she addressed:,pmt18-l07870, That these wild woods were so in beauty blest? ,pmt18-l07880,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
guest, This tribute is addrest. ,bmb97-l08085," A voluntary guest,",bmb97-l08075,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0230
best," First to the lively pipe his hand addrest,",o4985-l04725, Whose sweet entrancing voice he lov'd the best. ,o4985-l04735,/est/ | /est/,full,aabbcddceffeghihigkkkllmn<b>o</b>m<b>o</b>xqqnrssttr,pers00048,o4985-w0110
rest, And thus the servile throng addrest. ,ojg27-l01940,"A fox stept forth before the rest,",ojg27-l01935,/est/ | /est/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0080
breast, Still in the Temple were his Vows address'd:,pba35-l10475, Devotion's heav'nly Flame inspir'd his Breast;,pba35-l10470,/est/ | /est/,full,<b>a</b><b>a</b>,pers00087,pba35-w0860
pressed, And thus mine ear in accents mild address'd. ,o4984-l23605," From her loose hair the dropping dew she press'd,",o4984-l23600,/est/ | /est/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
breast,And thus in tears his kindred gods address'd.,o5152-l06015,"And thrice he groan'd, and thrice he beat his breast,",o5152-l06010,/est/ | /est/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
rest, Who thus th' apostate potentates address'd. ,cer72-l00605, (Of an alluring mien above the rest),cer72-l00600,/est/ | /est/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
confessed, And thus his royal master he address'd:,cer72-l07085," Be Pharaoh's bounty, and my guilt confess'd,",cer72-l07090,/est/ | /est/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
oppressed, And for the meaning ev'ry God address'd. ,cer72-l07230,"I woke with great anxiety oppress'd,",cer72-l07225,/est/ | /est/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
