r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
before," Read this grand Verse, then tremble and adore:",o5125-l13355,"Ye careless Ones, who never thought before,",o5125-l13350,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
more,"I scorn the beauties common eyes adore,",o5155-l07900,"The more I view them, feel thy worth the more;",o5155-l07905,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
more," But hear, rejoice, stand silent, and adore. ",pmp18-l00610, My babling Praises I repeat no more;,pmp18-l00605,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0020
soar," Nor dare in humble Verse adore,",o4602-l00295,"NO common Height the Muse must soar,",o4602-l00285,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
store, And in ecstatic heat intranc'd adore! ,o4546-l00800," O! let me visit oft thy sacred store,",o4546-l00795,/ɔː/ | /ɔː/,full,ababccdd<b>e</b><b>e</b>,pers00304,o4546-w0010
power,"And taught the rude to wonder, and adore.",o5157-l05055,"The sweetly-sounding string, and pencil's pow'r,",o5157-l05045,/ɔː/ | /aʊə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00038,o5157-w0072
power," Those Darts, whose Points make Gods adore",pmp18-l07745," His Might, and deprecate his Pow'r:",pmp18-l07750,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0270
power, And taught the haughty tyrant to adore:,cac95-l07410,"Seeking revenge, she triumph'd in her power,",cac95-l07405,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
more,"View but those Nymphs, which other Swains adore",ppo24-l05080, You'll value charming Delia still the more. ,ppo24-l05085,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
soar, And the great Architect adore;,pba35-l06620,"Thence to the higher Heav'ns I soar,",pba35-l06615,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
