r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eye, Of woe and agony. ,bjb18-l25095, And the glaze of its half-closed eye,bjb18-l25085,/ægəni/ | /aɪ/,half-pararhyme,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0550
tie, Hath made a bliss of agony:,bjb18-l29100," Who mourns his maiden's broken tie,",bjb18-l29090,/ægəni/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0700
try, Clings to her knight in speechless agony:,pmt18-l13690, And bids the mariners each effort try,pmt18-l13700,/ægəni/ | /aɪ/,half-pararhyme,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0024
me, It threw my Soul into an Agony. ,ppo24-l09415,"When told you went to intercede for me,",ppo24-l09410,/ægəni/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
eye, A keener agony. ,o3462-l02895, No object win my eye —,o3462-l02885,/ægəni/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
be,"Tho' it be horror, agony!",bed98-l21675,"But oh repentant may we be,",bed98-l21670,/ægəni/ | /iː/,half-pararhyme,aa<b>b</b><b>b</b>,pers00340,bed98-w0760
loyalty, And prompts the throb of agony. ,bao18-l05440," Of faithful, suffering, loyalty. ",bao18-l05460,/ægəni/ | /ɔɪəlti/,half-pararhyme,aaa<b>b</b>ccc<b>b</b>,pers00279,bao18-w0210
cry, The strings of nature crack'd with agony! ,n27tc-l03830,Nor sought in vain! at that heart-piercing cry,n27tc-l03825,/ægəni/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00316,n27tc-w0010
nigh, And hush the groan of life's last agony! ,n27tc-l04460,Thy darling form shall seem to hover nigh,n27tc-l04455,/ægəni/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00316,n27tc-w0010
ecstasy, She waits her doom in silent agony;,pmt18-l04770," She hears once more with breathless ecstasy,",pmt18-l04780,/ægəni/ | /ekstəsi/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0021
degree, Beyond — is agony. ,o4984-l35015, 'Tis pain in each degree:,o4984-l35005,/ægəni/ | /iː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00175,o4984-w0640
high, With more than infant agony. ,pmt18-l21380," Yon martial plume that waves on high,",pmt18-l21370,/ægəni/ | /aɪ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0360
eye," Ask, in impatient agony,",pmt18-l22135," ""I saw her earnest searching eye,",pmt18-l22125,/ægəni/ | /aɪ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0360
degree, Beyond is agony. ,o5089-l11700, 'Tis pain in each degree:,o5089-l11690,/ægəni/ | /iː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00175,o5089-w0150
