r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
me,"For Tycho and Copernicus agree,",o5125-l03355, No golden Planet bent its Rays on me. ,o5125-l03360,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
christianity,"If Pythagorick notions would agree,",pse03-l03180, With sublimated Christianity;,pse03-l03185,/iː/ | /ænəti/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0100
me, And let us like Horace and Lydia agree:,pmp18-l10220, As He was a Poet sublimer than Me. ,pmp18-l10230,/iː/ | /iː/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0410
harmony," Our Passions, like the Notes, agree,",o4741-l05265, And stand subdu'd by Harmony. ,o4741-l05270,/iː/ | /ɑːməni/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0080
variety,"WHATE'ER you think, good sirs, in this agree,",o4986-l32570," That we, at least, have given — variety! ",o4986-l32575,/iː/ | /aɪəti/,half-pararhyme,<b>a</b><b>a</b>,pers00098,o4986-w0850
thee," Discordant elements agree,",o4984-l03570,Sagacious Savery! taught by thee,o4984-l03565,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
see," Then You and Memmius shall agree,",pmp18-l31705," How nicely Men would walk, or see. ",pmp18-l31710,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
b, As Lines and Angles best agree:,pmp18-l34420," Then You prefer or A, or B,",pmp18-l34415,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
be," All Your Philosophers agree,",pmp18-l35990," And prove it plain, that One may be",pmp18-l35995,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
see, That You and I shall scarce agree. ,pmp18-l37730,"Friend Richard, I begin to see,",pmp18-l37725,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
we,"In Points like These We must agree,",pmp18-l37975, Our Barber knows as much as We. ,pmp18-l37980,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
sea, Could ill agree;,cbu86-l14275, An' owre the Sea. ,cbu86-l14285,/iː/ | /iː/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0240
see,"He from his dam, as wits agree,",o5156-l04990,Receiv'd the curious form you see;,o5156-l04995,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00035,o5156-w0140
free," And lib'ral as the vagrant air, agree",o4600-l01590,"WHAT! shall Opinion then, of Nature free",o4600-l01585,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
he," STATIRA, with her heroe to agree,",o4600-l01845, Stood on her feet as fast asleep as he. ,o4600-l01850,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
he,IN Brute he shone unequall'd: all agree,o4600-l03275, GARRICK'S not half so great a Brute as he. ,o4600-l03280,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
thee," Hence to thy praises, GARRICK, I agree,",o4600-l03745," And, pleas'd with Nature, must be pleas'd with Thee. ",o4600-l03750,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
he,"The devil's in't, they don't agree.",o5156-l34220,"She a scold, a bully he, —",o5156-l34215,/iː/ | /iː/,full,aa<b>b</b><b>b</b>,pers00108,o5156-w1236
melody," Winds, waters, birds in seemly sort agree,",o4985-l20875, And amorous Echo blends the liquid melody. ,o4985-l20880,/iː/ | /elədi/,half-pararhyme,ababcdcd<b>e</b><b>e</b>,pers00058,o4985-w0300
forty-three," At Night Astronomers agree,",pmp18-l26065, And Phyllis is some Forty-three. ,pmp18-l26075,/iː/ | /iː/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0840
me,'But sure this Story don't agree,o5125-l09220,'With your Device of eating me. ,o5125-l09225,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0250
me,"GRACE said in form, which Sceptics must agree,",o3585-l00005, When they are told that Grace was said by Me;,o3585-l00010,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
me," Tho' Both, in ill Confed'rates, should agree,",o3585-l01785," In damned league, to torture Law and Me,",o3585-l01790,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
me,"Indeed if our thoughts like our hearts should agree,",o4987-l09600, The dear lovely maiden is thinking on me:,o4987-l09605,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00242,o4987-w0280
be," Nor Fate will with my boundless Mind agree,",o4784-l08620,"Live then, my Friend; but if that must not be,",o4784-l08615,/iː/ | /iː/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0170
thee," Nor Fate will with my boundless Mind agree,",o4784-l08620," Affording, at one time, the World and Thee;",o4784-l08625,/iː/ | /iː/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0170
thee,"And may these bodings ne'er with truth agree,",o4987-l32560," May grief and anguish be unknown to thee,",o4987-l32565,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
free," Pretend that Christ (who came, we all agree,",o3587-l00145," To bless his people, and to set them free)",o3587-l00150,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
free," And glad they seem, and gaily they agree. ",pcr18-l09500," All speak aloud, are happy and are free,",pcr18-l09495,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
be," And if a girl, they will at length agree,",pcr18-l11810, That Belladonna that fair maid shall be. ,pcr18-l11815,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
philosophy,"T' admire their friend's discourse our swains agree,",pcr18-l12000, And call it science and philosophy. ,pcr18-l12005,/iː/ | /ɒsəfi/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
see,(If gentle pardon could with dames agree),o5152-l30685,His little sister doth his peril see:,o5152-l30660,/iː/ | /iː/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
flee,(If gentle pardon could with dames agree),o5152-l30685,She finds full soon her wonted spirits flee;,o5152-l30670,/iː/ | /iː/,full,aba<b>b</b>bc<b>b</b>cc,pers00035,o5152-w0320
free,(If gentle pardon could with dames agree),o5152-l30685,She meditates a pray'r to set him free:,o5152-l30675,/iː/ | /iː/,full,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
foresee, In points like these we never shall agree. ,o5089-l04650,"Alas, Alas! I plainly, friend, foresee",o5089-l04645,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
free, The winning form where grace and ease agree,bsb18-l09065," To smooth the manners, and yet leave them free;",bsb18-l09070,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
free, But most in this and only this agree;,o5125-l07420," Their Thoughts will vary. Why? Because they're free,",o5125-l07415,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0220
piety," Are Brethren that agree,",o4672-l03905, In Bands of Piety. ,o4672-l03915,/iː/ | /aɪəti/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00292,o4672-w0210
penury,"Thus far 'tis plain we both agree,",o5157-l36170,'Tis ten to one but penury,o5157-l36180,/iː/ | /enjəri/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00115,o5157-w0780
contrariety," Mark, when the different notes agree",o4986-l29125," In friendly contrariety,",o4986-l29130,/iː/ | /aɪəti/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o4986-w0700
thee,"With strictest Truth let all thy Words agree,",o4106-l04820, Nor let me find a faithless Mouse in thee. ,o4106-l04825,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
we,"These, mortal Wits to call the Crabs, agree,",o4106-l07080, The Gods have other Names for Things than we. ,o4106-l07085,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
see, The mimic passion with their own agree;,pcr18-l07995," Pleased in fictitious joy or grief, to see",pcr18-l07990,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
flee,Can wants with self-sufficiency agree?,o5152-l37435,And reason good why solitude we flee;,o5152-l37430,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
see, O let the Story with Thy Life agree;,pmp18-l19950, Let Men once more the bright Example see;,pmp18-l19955,/iː/ | /iː/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0720
me, O let the Story with Thy Life agree;,pmp18-l19950," What Emma was to Him, be Thou to Me. ",pmp18-l19960,/iː/ | /iː/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w0720
me," ""Who lull'd in downy slumbers shall agree",o3555-l02360,"""To own no inspiration but from me. ",o3555-l02365,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00149,o3555-w0030
free, In heav'nly harmony — our hearts agree. ,n22cs-l02825,"WHEN welcome slumber sets my spirit free,",n22cs-l02790,/iː/ | /iː/,full,<b>a</b>bbabab<b>a</b>ccdcdd,pers00290,n22cs-w0380
thee, In heav'nly harmony — our hearts agree. ,n22cs-l02825," I seem, my Emmeline — to meet with thee! ",n22cs-l02805,/iː/ | /iː/,full,abb<b>a</b>bab<b>a</b>ccdcdd,pers00290,n22cs-w0380
see, In heav'nly harmony — our hearts agree. ,n22cs-l02825, Gives me the wishes of my soul to see;,n22cs-l02815,/iː/ | /iː/,full,abbab<b>a</b>b<b>a</b>ccdcdd,pers00290,n22cs-w0380
simplicity,And made each charm of polish'd courts agree,o5153-l08140,"With candid Truth's simplicity,",o5153-l08145,/iː/ | /ɪsəti/,half-pararhyme,aabbcc<b>d</b><b>d</b>eeefgghifhikkll,pers00030,o5153-w0290
me,"If they like cat and dog agree,",ojg27-l03275," Go rail at Plutus, not at me. ",ojg27-l03280,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0130
me, So in thy Praises may the World agree;,pba35-l12770, Nor load with Vanity the Muse and Me. ,pba35-l12775,/iː/ | /iː/,full,<b>a</b><b>a</b>,pers00262,pba35-w0970
thee,Can freedom and pomp thus agree?,o5154-l33805,If easy in greatness like thee?,o5154-l33815,/iː/ | /iː/,full,a<b>b</b>a<b>b</b>cdcd,pers00061,o5154-w0640
economy, Most perfectly They made agree:,pmp18-l27020,Their Moral and Oeconomy,pmp18-l27015,/iː/ | /ɒnəmɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0910
see,"How prudence, virtue, sense agree,",o5154-l28495,"In LUCY, and her book, I see,",o5154-l28505,/iː/ | /iː/,full,<b>a</b>b<b>a</b>b,pers00098,o5154-w0500
