r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
invade," Vain were their cries, too late the shepherd's aid,",o4986-l17035," Should once his barbarous fangs the fold invade,",o4986-l17030,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
betrayed, Make me thy only chosen aid? ,o4091-l23880, Protect thee if thou art betray'd. ,o4091-l23890,/eɪd/ | /eɪd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
head," I ask in Faith his promis'd Aid,",o3900-l17795, And shrink from my devoted Head:,o3900-l17805,/eɪd/ | /ed/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
made,Love without Poetry's refining Aid,o4784-l23320," Is a dull Bargain, and but coarsely made;",o4784-l23325,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0800
conveyed,Yield their salutary aid,o5156-l24835,Thence in crystal cups convey'd,o5156-l24830,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
maid,"Nymph belov'd! without thy aid,",o5156-l24995,"Human state! Hail, blooming maid!",o5156-l24990,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
displayed,His wond'rous works for our delight and aid;,o5156-l09660,The same creative power that first display'd,o5156-l09655,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
persuade," Inftruct the Ignorant, the Wretched aid:",pba35-l08690," To Virtue, here, may thoughtless Souls persuade,",pba35-l08685,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00261,pba35-w0620
shade,"No friendly hand to lend its aid,",o5153-l23195,No guardian bow'r to spread its shade;,o5153-l23200,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
maid," Shock'd and astonish'd, while she calls for aid,",cac95-l07785, With lawless force he seiz'd the struggling maid;,cac95-l07790,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
laid,"She scorn'd to sue to her for aid,",bed98-l02340,"And when her father's head was laid,",bed98-l02335,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0040
maid," Her cruel aunts did contribute their aid,",bjl92-l13605, To banish from my sight the lovely maid. ,bjl92-l13610,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
spread," For then religion lent her aid,",bjb18-l04760, And o'er the mind of man your sacred empire spread. ,bjb18-l04765,/eɪd/ | /ed/,half-pararhyme,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
parade,"But Gertrude, scorning foreign aid,",pcm93-l07040, She shuns the pomp and vain parade,pcm93-l07050,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
maid," Must call all her wits to her aid,",pma99-l08880, And is left a forsaken old maid. ,pma99-l08890,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00306,pma99-w0490
said," Attend when e'er I want their Aid,",psw11-l02980,HEAR my Request the Virgin said,psw11-l02970,/eɪd/ | /ed/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00148,psw11-w0100
betrayed,And lent the imperial ruffian aid?,o5157-l02045,"Who saw majestic Rome betray'd,",o5157-l02040,/eɪd/ | /eɪd/,full,aa<b>b</b><b>b</b>ccdeed,pers00047,o5157-w0020
maid, Join the wayward work to aid:,o4986-l11260,"Mista black, terrific Maid,",o4986-l11250,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00039,o4986-w0250
maid," Saw, and to Molly scream'd for aid;",bhw18-l17165,"The Linnet's muse, a tim'rous maid,",bhw18-l17160,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
trade,May call ev'ry art to her aid:,o5155-l19310,Are samples she gives of her trade.,o5155-l19320,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00038,o5155-w0240
afraid," To lend the t'other friendly Aid,",pmp18-l34070," Or wink, as Coward, and affraid. ",pmp18-l34075,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
said," But calling Hermes to his Aid,",pmp18-l37695," Half pleas'd, half angry, thus He said:",pmp18-l37700,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
betrayed, Nor summon pride my struggling soul to aid. ,bao18-l04820, Officious Friendship has its trust betrayed;,bao18-l04810,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0170
speed," Her feeble wings refusing aid,",o4987-l15545," Her strength decreasing, and her speed,",o4987-l15540,/eɪd/ | /iːd/,half-pararhyme,aa<b>b</b><b>b</b>,pers00202,o4987-w0550
evade," To place it on himself, or human Aid,",ppo24-l07690, Will meet those Woes he labours to evade. ,ppo24-l07695,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
brocade," Which demands the toilet's aid,",o4986-l28535," Pendant gems, and rich brocade;",o4986-l28540,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00029,o4986-w0660
laid," Secret as night, with R—LT'S experienc'd aid,",o4600-l01915," The plan of future operations laid,",o4600-l01920,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
parade,"Then OSTENTATION marches to our aid,",o4110-l00195," And letter'd PRIDE stalks forth in full parade,",o4110-l00200,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
prayed," For apt ALLITERATION's artful aid,",o4110-l00430," Who often, but without success, have pray'd",o4110-l00425,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
shade,Whilst fancy work'd with med'cine's powerful aid.,o5157-l05775,"And the cool stillness of the night's deep shade,",o5157-l05765,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0074
betrayed, Call in t'other to their Aid:,o4784-l02600," Who by One (too far) betray'd,",o4784-l02595,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0060
made,"To fire thy feeling soul, a dubious aid,",o5157-l05405,By Poets or Historians sacred made.,o5157-l05415,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0073
made,"External matter thus can lend its aid,",o5156-l28065,Thus the long tube by Galilaeo made,o5156-l28075,/eɪd/ | /eɪd/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o5156-w0780
laid, Send me now the Promis'd Aid. ,o3900-l20485, Help for All on Thee is laid:,o3900-l20475,/eɪd/ | /eɪd/,full,aab<b>c</b>b<b>c</b>,pers00309,o3900-w1090
maid," For, spite of all that vaunted learning's aid,",o4987-l21210, Their fame is rivall'd by her rural maid. ,o4987-l21215,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
upbraid," Then, calling impious passion to my aid,",bmb97-l01260,"Yet for this, meanly, did I thee upbraid,",bmb97-l01250,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
maid," Fly hence to fair Aurelia's Aid,",o5247-l01900, In heavenly Strains instruct the Maid:,o5247-l01905,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00295,o5247-w0090
maid,And bless thy lasting aid?,o5156-l02200,"O HEALTH, capricious maid!",o5156-l02185,/eɪd/ | /eɪd/,full,<b>a</b>bb<b>a</b>,pers00035,o5156-w0050
maid," Neglect my Numbers, and refuse her Aid. ",o4741-l06510," I mean to sing, except the tuneful Maid",o4741-l06505,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
made,"I nor invoke, nor yet consult their Aid. ",o4741-l07100,I chuse my Actions; when the Choice is made. ,o4741-l07095,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
essayed, And thrice his coward Arm deny'd its Aid:,o4741-l09815," To pierce his trembling Heart he thrice essay'd,",o4741-l09810,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
maid, To look for instant aid. ,bhw18-l10180, Exclaim'd the fainting maid;,bhw18-l10170,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
conveyed,"Delightful fancy lent her potent aid,",pro75-l05895,"And scenes of wonder, to my sense convey'd.",pro75-l05900,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
made," Tho' he should bring, his base designs to aid,",o3585-l01765," Some black Attorney, for his purpose made,",o3585-l01770,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
swayed,"Own thy example, ANNA! and thy aid;",o5156-l24110,"And by mild councils generously sway'd,",o5156-l24105,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
laid, PALEMON asks thy kindly aid;,o5155-l30355,"In yon gloomy grotto laid,",o5155-l30350,/eɪd/ | /eɪd/,full,aa<b>b</b><b>b</b>ccdd,pers00055,o5155-w0590
made," To hear him roar, and call in vain for Aid,",pdi22-l06035,"But dreads to see the Wretch a Captive made,",pdi22-l06030,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
invade,"No Time to fly, no Hopes of coming Aid,",pdi22-l09195, While murd'rous Teeth his tender Flesh invade. ,pdi22-l09200,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
blade,"Sharp poison'd Darts the dreaded Fire-Flairs aid,",pdi22-l10770, And hardy Sword-Fish wield the threat'ning Blade. ,pdi22-l10775,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
said,(How short those intervals for reason's aid!),o5155-l08695,Thus to myself in anguish have I said.,o5155-l08700,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00106,o5155-w0100
