r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wove, And rais'd a throne within a rude alcove;,o4985-l18370,With unskill'd hands a simple crown they wove,o4985-l18360,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00217,o4985-w0280
love, Conduct me to her bright alcove;,o5089-l22265, Denied the kiss of her love. ,o5089-l22275,/ælkəʊv/ | /ʌv/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00190,o5089-w0460
love," That border the vernal alcove,",o4986-l34240, For May is the mother of Love. ,o4986-l34250,/ælkəʊv/ | /ʌv/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00168,o4986-w0930
grove, Or when some crag'd grotesque alcove,o4739-l04130, Allures him to the beechy grove —,o4739-l04125,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00284,o4739-w0170
love," But shun, rash youth, the gay alcove,",o4986-l29025, Nor tempt the snares of wily love,o4986-l29030,/ælkəʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o4986-w0700
move,"Mean time I sat beneath a proud alcove,",o5155-l14015,"In graceful ease the shining beavys move,",o5155-l14005,/ælkəʊv/ | /uːv/,half-pararhyme,a<b>b</b>a<b>b</b>bcbcc,pers00033,o5155-w0200
love,"Mean time I sat beneath a proud alcove,",o5155-l14015,And told Avara gentle tales of love.,o5155-l14020,/ælkəʊv/ | /ʌv/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00033,o5155-w0200
prove,"Mean time I sat beneath a proud alcove,",o5155-l14015,And here by craft I may successful prove;,o5155-l14030,/ælkəʊv/ | /uːv/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00033,o5155-w0200
rove," When plac'd beside thee in the cool alcove,",o4987-l23290," Or thro' the green Savannahs as we rove,",o4987-l23295,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00220,o4987-w0740
wove," With mingled sweets the high alcove,",o4984-l14760, Or where the flaunting flowers have wove,o4984-l14755,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00227,o4984-w0220
grove," And form'd, with spreading Boughs, an arch'd Alcove:",o4741-l04630,"Thus said, I took my Way to yonder Grove;",o4741-l04625,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00091,o4741-w0060
above,High over-arch'd a green alcove;,o5157-l18395,Whose arms promiscuous form above,o5157-l18390,/ælkəʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00146,o5157-w0200
grove,""" The birds expect thee in the green alcove;",o4987-l23645," ""For thee, cool breezes linger in the grove,",o4987-l23640,/ælkəʊv/ | /əʊv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00220,o4987-w0750
move,"Look where he comes — in this embower'd alcove,",o3794-l26680," Stand close conceal'd, and see a statue move:",o3794-l26685,/ælkəʊv/ | /uːv/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0080
