r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rail,"Torrents of nonsense burst; like bottled ale,",o5154-l20160,"Forth from his lips, prepar'd at all to rail,",o5154-l20155,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
tale,"That set him to a pint of ale,",cbu86-l15445," An' either douse or merry tale,",cbu86-l15450,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0270
himself,"That set him to a pint of ale,",cbu86-l15445," Or rhymes an' sangs he'd made himsel,",cbu86-l15455,/eɪl/ | /ɪmsəl/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0270
tiviotdale,"That set him to a pint of ale,",cbu86-l15445," 'Tween Inverness and Tiviotdale,",cbu86-l15465,/eɪl/ | /ɒtdeɪl/,half-vowelrhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0270
regale," With generous Wine and Nappy Ale,",pco62-l03020, There in the Hall they both regale,pco62-l03015,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
stale, 'While e'er that time the present Ale,o5125-l12125,'Might happen to be flat or stale;,o5125-l12130,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
stale," Upon two distant Pots of Ale,",pmp18-l34375," Not knowing, which was Mild or Stale:",pmp18-l34380,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
flail," Toss'd the broad coit, or took th' inspiring ale,)",pcr18-l15340," (One with whom oft he whirl'd the bounding flail,",pcr18-l15335,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
stale," ""For thrice three days another lived on ale,",pcr18-l16190,""" And knew no change but that of mild and stale;",pcr18-l16195,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
rail," Or drive a third-day drunkard from his ale,",pcr18-l16295,"He told, when angry wives, provoked to rail,",pcr18-l16290,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
flail," 'Twas there, my Lord, induc'd by potent Ale,",o4741-l14620," Swains leave their Ploughs, and Threshers quit their Flail:",o4741-l14625,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0360
tale,Of country justice o'er his ale.,o5153-l33205,"The parson's pun, the smutty tale",o5153-l33200,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00083,o5153-w0600
tale, An' the pint smiles wi' heartsome ale;,bsb18-l27295, Has power to tell a flattering tale. ,bsb18-l27305,/eɪl/ | /eɪl/,full,a<b>b</b>a<b>b</b>cdcd,pers00280,bsb18-w0560
zeal,"Their wholsome statutes, discipline, and ale;",o5154-l08325,"Talks of old times; commends their loyal zeal,",o5154-l08320,/eɪl/ | /iːl/,half-pararhyme,<b>a</b><b>a</b>,pers00017,o5154-w0130
stale,"A 'Squire who long had fed on ale,",pjo50-l04225," (Or thick or clear, or mild or stale,",pjo50-l04230,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0090
rail,"With weekly libels and septennial ale,",o5155-l17295,Their wish is full to riot and to rail.,o5155-l17300,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
prevail,"That meat, drink, and cloth were all found in good ale;",o5156-l34825,"LONG time did a silly old proverb prevail,",o5156-l34820,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00133,o5156-w1030
fail," And in her Hand, perhaps, a Mug of Ale",pco62-l00855," Then comes our Mistress to us without fail,",pco62-l00850,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00293,pco62-w0010
regale," With plain, substantial roast-meat and mild ale. ",o5089-l21185, Content his own sharp stomach to regale,o5089-l21180,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00043,o5089-w0430
fail, To keep the Sabbath strict – with ale. ,ilc19-l00290,"'Twas Sunday; and the boys never fail,",ilc19-l00285,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00215,ilc19-w0010
tale," And broach the foaming ale,",bjb18-l25930, The beldame tell her tale. ,bjb18-l25940,/eɪl/ | /eɪl/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0590
original,"From Taplash froth of Nappy Ale,",oau90-l08475,She had her great Original;,oau90-l08480,/eɪl/ | /ɪdʒnl/,half-pararhyme,<b>a</b><b>a</b>,pers00350,oau90-w0280
fail," And ask the sov'reign cordial, home-brew'd ale:",o5398-l02820," Thirst rages strong, the fainting spirits fail,",o5398-l02815,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
tale," His nuts, his conversation, and his ale. ",o5398-l03560," Proud thus to meet his smiles, to share his tale,",o5398-l03555,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
tale," For happy wives, for mirth, and honest ale,",bsb18-l05880," For peace and plenty, and the cheerful tale,",bsb18-l05875,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
tale,"And home returning, o'er the nut-brown ale,",o5154-l19160,Their guests diverted with the wond'rous tale.,o5154-l19165,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00112,o5154-w0300
