r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
divide,For virtue and they are so near ally'd,oae86-l01740, That none can their mutual tyes divide. ,oae86-l01745,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
pride,"I do not find our Sex so near ally'd,",oae86-l02030," Either in disobedience or in pride,",oae86-l02035,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
died,"Pleasure and you were both so near ally'd,",o5154-l24195,"That when I lost the one, the other dy'd;",o5154-l24200,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00106,o5154-w0380
guide,Painting and poetry are near allied;,o3555-l03145, The kindred arts two sister Muses guide;,o3555-l03150,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
tied," By sacred oaths, and now by will allied)",o3585-l01370, May I (tho' to his service deeply tied,o3585-l01365,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
reside, In Shape and Nature to the Preke ally'd;,pdi22-l02625,"Sail-Fish in secret silent Deeps reside,",pdi22-l02620,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
divide,"In Shape agreeing, and in Choice ally'd,",pdi22-l03100," They pad in Troops, and the rich Spoils divide. ",pdi22-l03105,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
tried,"But those which are to pride allied,",bed98-l07665,"Such snares and dangers yet he tried,",bed98-l07655,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
died,"Next to these ladies, but in nought allied,",pcr18-l17820," A noble Peasant, Isaac Ashford, died. ",pcr18-l17825,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
deride, Tho' to an higher Crown ally'd. ,pba35-l11335," Will not thy native Isle deride,",pba35-l11330,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0900
pride,"To fame on earth, and to heaven's hopes allied;",bed98-l05840,"Three virtuous sons I have, my age's pride,",bed98-l05835,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
aside,Feelings to hateful envy near allied! ,pmt18-l10615," His plumed helmet, lo! he lays aside;",pmt18-l10625,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
side,"The Jack and Chimney near ally'd,",psw11-l01710, Had never left each other's Side;,psw11-l01715,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
denied,"Had other graces been allied,",bed98-l17580,"Tho' William's suit had been denied,",bed98-l17590,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0520
pride," ""Say Hawks and Pigeons are allied;",pik94-l06085,""" But, ""adds another,"" sting his pride,",pik94-l06080,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
pride, Beholds Thy virtues to Her Throne ally'd. ,pjo50-l09280,"Thee Britain hails, and with a gen'rous Pride",pjo50-l09275,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0340
bride," So Educated, and Ally'd. ",o4784-l12170, Whilst all shall strive for such a Bride,o4784-l12165,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0360
died, Flames never to th' illiberal thought allied;,o4986-l03305," In all her charms; he saw, he felt, and died. ",o4986-l03315,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00237,o4986-w0040
side,"YET some there are, in social Bands ally'd,",o4741-l23555," Who, with blunt Truths, err on the other Side;",o4741-l23560,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0460
vied,"No Winter frown'd. In sweet embrace ally'd,",o5155-l18885,And Spring's retiring softness gently vy'd,o5155-l18895,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00116,o5155-w0230
bride, A blooming princess to the crown ally'd:,cer72-l03975," Of gold, and precious gems; and for a bride,",cer72-l03970,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
tied, And more by virtue than by birth ally'd. ,cer72-l09845," In mutual sympathy their souls were ty'd,",cer72-l09840,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
wide,Of human grandeur to the gods ally'd!,o5153-l10465,"O'er this rejoicing land out-beaming wide,",o5153-l10475,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
side,Of human grandeur to the gods ally'd!,o5153-l10465,Calls up those princely flow'rs on ev'ry side;,o5153-l10480,/aɪd/ | /aɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
pride,Of human grandeur to the gods ally'd!,o5153-l10465,"Ne toil, ne spin, ne stain their silken pride",o5153-l10490,/aɪd/ | /aɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
pride," To these, in closest bands of love, ally'd,",o4984-l04820," Their joy or grief you live, their shame or pride:",o4984-l04825,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00218,o4984-w0040
void, I tread this dome to misery allied. ,o5089-l36050, My drooping heart confess'd a dreadful void:,o5089-l36040,/aɪd/ | /ɔɪd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00176,o5089-w0760
hyde,"By kings protected, and to kings ally'd?",o5155-l17460,"What murder'd Wentworth, and what exil'd Hyde,",o5155-l17455,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
pride,See to his garden's pale where close ally'd,o5156-l35285,"Whose steeple's stock'd with bells, (the country's pride)",o5156-l35295,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bbcc,pers00108,o5156-w1090
aside," And, with her mingling sons allied,",o4985-l04040, Throw'st the prattling page aside:,o4985-l04045,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00048,o4985-w0100
cried," There let 'em stay, to Beggary they're ally'd,",o4885-l09160," With a proud Smile, the scornful Marshal cry'd,",o4885-l09155,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>a,pers00300,o4885-w0010
side," There let 'em stay, to Beggary they're ally'd,",o4885-l09160," Too near, by the ignoble Mother's side. ",o4885-l09165,/aɪd/ | /aɪd/,full,a<b>a</b><b>a</b>,pers00300,o4885-w0010
ride," Who tho' to nobles, or to kings ally'd,",pjo50-l00440," Dares walk on foot, while slaves in coaches ride;",pjo50-l00445,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0010
divide," Remembrance, and Reflection, how ally'd;",o3676-l01085, What thin partitions Sense from Thought divide:,o3676-l01090,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
pride, The Virtue nearest to our Vice ally'd;,o3676-l02370,Thus Nature gives us (let it check our pride),o3676-l02365,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
pride,"For these, while here we were allied,",bed98-l00600,With love and me were all her pride.,bed98-l00605,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0020
pride, How near in vice the lowest are allied;,pcr18-l05670,"To show the great, those mightier sons of pride,",pcr18-l05665,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0020
guide,"For you bright queen to heaven allied,",bed98-l14390,Be duty to your Lord your guide;,bed98-l14395,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
chide,"Fancy, alas! to Memory ally'd,",pjo50-l09460,How dost thou oft our rising transports chide! ,pjo50-l09470,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00273,pjo50-w0350
bride,""" Whose Birth is to his own ally'd,",o4672-l11730," ""Happy the Youth that finds the Bride",o4672-l11725,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>bccb,pers00292,o4672-w0600
