r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
coach, Before he durst the Nymph approach. ,psw11-l02865," Then lighted from his Glitt'ring Coach,",psw11-l02855,/əʊtʃ/ | /əʊtʃ/,full,a<b>b</b>a<b>b</b>,pers00148,psw11-w0100
coach,Ere you the avenue approach;,o5154-l15265,"My lady cries, who spies your coach,",o5154-l15260,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
coach," Now, rais'd again from low approach,",ojg27-l04165, She visits in the doctor's coach;,ojg27-l04170,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0170
coach," And made, in long procession, slow approach:",pcr18-l14130,"Next came a well-dress'd pair, who left their coach,",pcr18-l14125,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
coach,"Chlorinda, whom none can approach",o5157-l29810,"Has stol'n the two doves from my coach,",o5157-l29820,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>b,pers00072,o5157-w0530
couch," And saw a white-rob'd social train approach,",o4985-l13945, And scatter'd roses o'er the destin'd couch. ,o4985-l13955,/əʊtʃ/ | /uːtʃ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00176,o4985-w0220
reproach,"And now the knight, encouraged to approach,",pmt18-l12005," Confutes each charge, repels each foul reproach,",pmt18-l12015,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
reproach,The spotless virgins shall unhurt approach,pmt18-l12935,"See the pure maid, indignant of reproach,",pmt18-l12945,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
debauch," Contempt on pride, pale wants on waste approach. ",o4154-l00825, Slow wasting sickness steals on swift debauch;,o4154-l00820,/əʊtʃ/ | /ɔːtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00332,o4154-w0010
coach,Laugh at the fear that follows their approach;,o5155-l21790,"So the brisk wits, who stop the evening coach,",o5155-l21785,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00001,o5155-w0310
couch, With pious hearts approach —,o3462-l03115," When on my rushy couch,",o3462-l03105,/əʊtʃ/ | /uːtʃ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
touch," Close bounds the mountain guard from all approach,",cer72-l06295, That rashly none the hallow'd place might touch. ,cer72-l06300,/əʊtʃ/ | /ʌtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
coach,"Afar they mark the flambeau's bright approach,",o5152-l24310,"And shun the shining train, and golden coach.",o5152-l24315,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00029,o5152-w0270
encroach," Near and more near your beamy cars approach,",o4671-l10895, And lessening orbs on lessening orbs encroach; —,o4671-l10900,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
stage-coach," A step if fair, and if a show'r approach,",o3794-l27720, You find safe shelter in the next stage-coach. ,o3794-l27725,/əʊtʃ/ | /eɪdʒkəʊtʃ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0080
touch,"Earth cleaves, and, at their near approach,",bed98-l12470,Fair Order shudders from their touch.,bed98-l12475,/əʊtʃ/ | /ʌtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
couch,Thus with his threaten'd fate approach;,bed98-l14185,"The goblet fair and downy couch,",bed98-l14180,/əʊtʃ/ | /uːtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0360
touch,"You see my artless joy at your approach,",o5152-l10710,"I sigh, I faint, I tremble at your touch;",o5152-l10715,/əʊtʃ/ | /ʌtʃ/,half-pararhyme,<b>a</b><b>a</b>,pers00001,o5152-w0110
encroach,"As nearer to his Farm you made Approach,",o3818-l04725, Yet on her Beauties durst not Art incroach;,o3818-l04735,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00020,o3818-w0010
coach," At nine the next morning, a welcome approach,",o5089-l30840," No signs of fair weather, the West Chester coach",o5089-l30835,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00033,o5089-w0660
hackney-coach," Appearing, show'd the Ruddy Morns Approach. ",psw11-l03155,NOW hardly here and there an Hackney-Coach,psw11-l03150,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00148,psw11-w0110
coach,"""With clean white gloves first made approach,",o5154-l24700,"""Then begg'd to lead her to her coach:",o5154-l24705,/əʊtʃ/ | /əʊtʃ/,full,<b>a</b><b>a</b>,pers00104,o5154-w0390
