r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fray, Proud as Sir Paridel of rich array. ,o4985-l26920, And with his wreakful tale the spouse doth fray;,o4985-l26905,/eɪ/ | /eɪ/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
spray, Proud as Sir Paridel of rich array. ,o4985-l26920," And hop, in buxom youth, from spray to spray,",o4985-l26915,/eɪ/ | /eɪ/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
gay, Proud as Sir Paridel of rich array. ,o4985-l26920, Chirp amorous thro' the grove in beavies gay;,o4985-l26930,/eɪ/ | /eɪ/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
away, All in her best array. ,o5089-l17660," She cast her weeds away,",o5089-l17650,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>,pers00099,o5089-w0310
day," The soul of cheerfulness, and best array",bse96-l03595,"Since dark December shrouds the transient day,",bse96-l03580,/eɪ/ | /eɪ/,full,<b>a</b>bb<b>a</b>abbacdcdcd,pers00282,bse96-w0110
pay," The soul of cheerfulness, and best array",bse96-l03595, A sullen hour in smiles? — O! haste to pay,bse96-l03600,/eɪ/ | /eɪ/,full,abb<b>a</b><b>a</b>bbacdcdcd,pers00282,bse96-w0110
delay," The soul of cheerfulness, and best array",bse96-l03595, Shines; — but it vainly shines in this delay,bse96-l03615,/eɪ/ | /eɪ/,full,abb<b>a</b>abb<b>a</b>cdcdcd,pers00282,bse96-w0110
day," Behold, behold, in loose array,",o4984-l35695," Euphrosyne more bright than day,",o4984-l35700,/eɪ/ | /eɪ/,full,aab<b>c</b><b>c</b>b,pers00226,o4984-w0660
display,"THESE spotless leaves, this neat array",o5156-l07995,In fair assemblage to display,o5156-l08005,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00037,o5156-w0320
way, And the procession comes in just array. ,o4600-l00960,"BUT, hark! — The trumpet sounds, the crowd gives way,",o4600-l00955,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
lay,"'The next with dirges due in sad array,",o5155-l00565,"'Approach and read (for thou can'st read) the lay,",o5155-l00575,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00039,o5155-w0010
stray,"And, ranging all in neat array,",o5156-l02495,"From room to room should Memory stray,",o5156-l02490,/eɪ/ | /eɪ/,full,a<b>b</b><b>b</b>a,pers00035,o5156-w0050
away," 'Tis Guilt gives Death its fierce Array,",o4672-l01770,"Jesus, then purge my Crimes away,",o4672-l01760,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0090
day,"Where silent vales, and glades of green array,",n27tc-l05020," There, as the Muse hath sung, at noon of day,",n27tc-l05030,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0030
away,"Whilst glittering shields and swords, war's bright array,",o5154-l27915,"Were either worn in vain, or basely thrown away.",o5154-l27920,/eɪ/ | /eɪ/,full,aabcbc<b>d</b><b>d</b>,pers00124,o5154-w0460
raven-grey," Behold him deckt in spruce and trim array,",o5089-l03560," With cassock short, and vest of raven-grey;",o5089-l03565,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
may, He flutters in bridal array:,o4986-l34260, Their music is taught them by May. ,o4986-l34270,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cdcd,pers00168,o4986-w0930
gay,"He dress'd himself all in a maid's array,",bjl92-l12080," Gown, stays and petticoat, extremely gay;",bjl92-l12085,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0490
holiday, Like urchins who in feigned array,bjb18-l29885," Of war, on school-tide holyday,",bjb18-l29890,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0770
