r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
strayed, The lawn in brightest flowers array'd. ,pcm93-l01020," I muse, where we delighted stray'd;",pcm93-l01010,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0020
essayed,"My Youth met Fortune fair array'd,",o4106-l10125," And might, perhaps, have well essay'd",o4106-l10135,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00294,o4106-w0160
maid, To please his eyne are variously array'd;,o4985-l27915, He gains a smile from his beloved maid;,o4985-l27925,/eɪd/ | /eɪd/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
repaid, To please his eyne are variously array'd;,o4985-l27915, By such a gentle smile an age of pain's repaid. ,o4985-l27930,/eɪd/ | /eɪd/,full,ababb<b>c</b>bc<b>c</b>,pers00033,o4985-w0390
maid, With all the charms of youth array'd;,o4103-l21270,"Near him there liv'd a beauteous maid,",o4103-l21265,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00254,o4103-w0340
maid,All in fervors bright array'd,o5156-l24480,Press'd her bosom; and the maid,o5156-l24485,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
shade," With silent pace, in sable weeds array'd,",o4986-l32870," With trailing torch, advance along the shade,",o4986-l32880,/eɪd/ | /eɪd/,full,x<b>a</b>x<b>a</b>,pers00200,o4986-w0860
displayed, And Piercy storm'd in martial fire array'd. ,o4546-l00550," Or when Old England's annals were display'd,",o4546-l00545,/eɪd/ | /eɪd/,full,ababccdd<b>e</b><b>e</b>,pers00304,o4546-w0010
maid,"Tell her, in livelier plumes array'd,",o5156-l04345,"But ask the lovely partial maid,",o5156-l04355,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00035,o5156-w0123
laid," IANTHE's form, in direful garbs array'd,",cac95-l08880, Appear'd on piles of kindling fagots laid —,cac95-l08885,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>a,pers00301,cac95-w0130
shade," IANTHE's form, in direful garbs array'd,",cac95-l08880, Wildly he flew towards the horrid shade. —,cac95-l08890,/eɪd/ | /eɪd/,full,<b>a</b>a<b>a</b>,pers00301,cac95-w0130
maid,"Wisdom in sable garb array'd,",o5155-l00765,"And Melancholy, silent maid",o5155-l00775,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bccdd,pers00039,o5155-w0020
surveyed," In her grand panoply of smoke arrayed,",bjb18-l11820,"View'd thus, a goodly sight! but when survey'd",bjb18-l11810,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0220
shade," When, in her blooming loveliness arrayed,",bhw18-l15675, And rapture warble in the vocal shade. ,bhw18-l15685,/eɪd/ | /eɪd/,full,ababc<b>d</b>c<b>d</b>efefgg,pers00276,bhw18-w0190
shed,"Where death, in all her horrid pomp array'd,",pjo50-l03160, O'er the pale clime her direful influ'nce shed. ,pjo50-l03165,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0040
shade," There Error sits in borrow'd white array'd,",o4984-l08105,"Where boughs entwining form an artful shade,",o4984-l08095,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o4984-w0090
displayed,"Soon from the skies in heav'nly white array'd,",o5156-l28515,"With life replete the volume she display'd,",o5156-l28525,/eɪd/ | /eɪd/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o5156-w0780
spread,In slender robe array'd;,bed98-l10280,With thinner foliage spread.,bed98-l10290,/eɪd/ | /ed/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0280
played," When, in his gallant gear arrayed,",bjb18-l15475, While pipes the wedding welcome played. ,bjb18-l15485,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0280
preyed," I mark'd them then in sable weeds array'd,",bjl92-l01365,"WHILE sickness, madam, on your vitals prey'd,",bjl92-l01355,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0070
maid," In Attic robe array'd,",o4985-l02005," But com'st a decent maid,",o4985-l02000,/eɪd/ | /eɪd/,full,aab<b>c</b><b>c</b>b,pers00048,o4985-w0040
invade, Should neatly be in softest Silks array'd;,o4741-l07800," Your Limbs, which now the Sun and Wind invade,",o4741-l07795,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
