r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
weep," E'er slept on Earth's cold bosom, lies asleep. ",o4986-l32810, Let every Grace and every Virtue weep. ,o4986-l32820,/iːp/ | /iːp/,full,x<b>a</b>x<b>a</b>,pers00200,o4986-w0860
keep,"Richard, who now was half a-sleep,",pmp18-l36110, Rous'd; nor would longer Silence keep:,pmp18-l36115,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
deep,"Objects of sense, each conscious sense asleep,",o5156-l28115,"Some frowning rock that threats the foaming deep,",o5156-l28125,/iːp/ | /iːp/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o5156-w0780
weep," And gaze on Innocence that smiles asleep,",n27tc-l05205, Charm thee to pensive thought — and bid thee weep? ,n27tc-l05215,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00316,n27tc-w0030
deep," Soon spends his rage, and cries himself asleep,",o3587-l00890," Like to the fretful bullies of the deep,",o3587-l00885,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
heap," ""And rail at rascals, till we fall asleep."" ",pcr18-l19725,""" We'll beer and biscuit on our table heap,",pcr18-l19720,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
heap, Sing Otys; Try to lull my Soul asleep;,pdi12-l03815,"While now the Flames consume the sacred Heap,",pdi12-l03810,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0110
creep, As the bell tolls for church — to fall asleep. ,o4154-l00695,"Ye congregated lay, who duly creep",o4154-l00690,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00332,o4154-w0010
deep, The Winds lay only not asleep:,pmp18-l03285," And, on the Surface of the Deep,",pmp18-l03280,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0140
peep,"They may thank heav'n, auld Sam's asleep:",bjl92-l06960," For could he ance but get a peep,",bjl92-l06965,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0260
keep,"When all Nature's hush'd asleep,",o5155-l26055,"Nor Love nor Guilt their vigils keep,",o5155-l26060,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00099,o5155-w0460
deep,"When smooth old Ocean and each storm's asleep,",o5155-l26935,Then Ignorance may plough the watery deep;,o5155-l26940,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00099,o5155-w0460
sheep," An' noisy prattlers laid asleep,",bsb18-l27235, Wha says he seeks a strayand sheep. ,bsb18-l27245,/iːp/ | /iːp/,full,ababc<b>d</b>c<b>d</b>,pers00280,bsb18-w0560
deep, If the Lord had not watched when I was asleep. ,pma99-l06445," My soul had long since been gone down to the deep,",pma99-l06440,/iːp/ | /iːp/,full,aabbcc<b>d</b><b>d</b>,pers00306,pma99-w0290
deep,"The Winds were silent, all the Waves asleep,",o4106-l01075, And Heav'n was trac'd upon the flatt'ring Deep;,o4106-l01080,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00294,o4106-w0010
deep," Both Bet and Tim were fast asleep,",ilc19-l00340,"The roads were bad, the ways were deep,",ilc19-l00335,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00215,ilc19-w0010
deep,"Slides into dreams, as when asleep;",o5152-l17205,"And, hush'd in meditation deep,",o5152-l17200,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
weep,The subtle traitor fast asleep;,o5156-l03470,"She said, yet leave the world to weep?",o5156-l03480,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00035,o5156-w0090
creep," Silent and soft, lay FONTENELLE asleep;",o3886-l00540," Let Them with simple WHITEHEAD, taught to creep",o3886-l00535,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00155,o3886-w0010
keep," Not quite awake, nor quite asleep;",o3552-l02920," Who still one constant tenor keep,",o3552-l02915,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
keep,"I fall a laughing, or I fall asleep.",o5152-l32400,"Unless young members to the purpose keep,",o5152-l32395,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
deep," What! can ye lull the winged winds asleep,",n27tc-l02155," Arrest the rolling world, or chain the deep? ",n27tc-l02160,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
deep," The woods, and waves, and murm'ring winds asleep;",n27tc-l03520," And, when the sun's last splendour lights the deep,",n27tc-l03515,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
keep," And lash'd so long, like Tops, are lash'd asleep. ",o3675-l03030,"Still humming on, their drowzy Course they keep,",o3675-l03025,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
creep," Throws by the book, and Virtue falls asleep. ",o3589-l00360," Vice, whilst from page to page dull Morals creep,",o3589-l00355,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
deep," With joy he finds the dragon fast asleep,",o5089-l05755,"With stately steps approaching to the deep,",o5089-l05745,/iːp/ | /iːp/,full,abab<b>c</b>d<b>c</b>dee,pers00186,o5089-w0070
sheep,"Or, while their neighbours were asleep,",o5152-l03680,Have carry'd off a low-land sheep.,o5152-l03685,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00011,o5152-w0040
deep," Which rock'd my Eyes, but not my Fears, asleep:",o4741-l19150,"Blown here and there, I floated on the Deep,",o4741-l19145,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00091,o4741-w0400
step," Not well awake, nor quite asleep:",pjo50-l08035,"The coach was order'd, in they step,",pjo50-l08030,/iːp/ | /ep/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0290
