r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lake," Aërial music shall for me awake,",pmt18-l18010, Nor soft flutes warbling o'er the placid lake,pmt18-l18005,/eɪk/ | /eɪk/,full,abbacddce<b>f</b><b>f</b>egg,pers00320,pmt18-w0180
stake, Wond'ring to see himself awake! ,o4106-l09560,"The Man rose staring, like a Stake;",o4106-l09555,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
forsake," Awake, awake! ",bjb18-l25420," Forsake, forsake! ",bjb18-l25440,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
forsake," Awake, awake",bjb18-l25460," Forsake, forsake! ",bjb18-l25480,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
forsake," Awake, awake! ",bjb18-l25500," Forsake, forsake",bjb18-l25520,/eɪk/ | /eɪk/,full,aaa<b>b</b>ccc<b>b</b>,pers00287,bjb18-w0560
take, For I waste all my time from the hour I awake;,pma99-l09685," So I'm sure I am right in the method I take,",pma99-l09680,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00306,pma99-w0510
sake," Our better feelings to awake,",bah18-l00740," Teaching for love, for pity's sake,",bah18-l00745,/eɪk/ | /eɪk/,full,aab<b>c</b><b>c</b>b,pers00281,bah18-w0030
take," A nap too long, and not to pray'rs awake,",pma99-l07625,"If when fatigu'd at ev'ning, he should take",pma99-l07620,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00306,pma99-w0370
break, In the dark tomb with thee? — awake! ,bse96-l01735,Spells thy sullen slumber break! ,bse96-l01740,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
shake,"ARM of the Lord awake, awake! ",o3900-l25940,"With Terror cloath'd the Nations shake,",o3900-l25950,/eɪk/ | /eɪk/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w1390
lake," Nor coin in my coffer to keep me awake,",bjb18-l29410,"I'VE no sheep on the mountain, nor boat on the lake,",bjb18-l29405,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>bb,pers00287,bjb18-w0740
sake," And like an infant, troublesome awake,",o3794-l09165, Is left to sleep for peace and quiet sake. ,o3794-l09170,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
break,Lo! thy Genius calls: awake!,o5155-l31035,Sleepy charms I come to break:,o5155-l31025,/eɪk/ | /eɪk/,full,a<b>b</b>a<b>b</b>,pers00013,o5155-w0630
spoke," Besides, I saw you ere you was awake",pse03-l12700," Disturb'd you slept, with eager accents spake,",pse03-l12705,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00272,pse03-w0570
take,"She bids each slumbering energy awake,",tgaen-l05150,"Another touch, another temper take,",tgaen-l05155,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00039,tgaen-waleg
take," That being from her? — ORCHAMUS, awake!",o5400-l02530,I gave her being — how then shall I take,o5400-l02525,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00345,o5400-w0010
make," Form'd thee to every sense awake,",o4984-l13670,Has heaven indulgent to thy make,o4984-l13665,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>bccb,pers00227,o4984-w0210
lake,And now once more that soothing strain awake! ,pmt18-l17945," Reflected on the still, unruffled lake. ",pmt18-l17930,/eɪk/ | /eɪk/,full,abbacddc<b>e</b>ff<b>e</b>gg,pers00320,pmt18-w0170
break," No Songs Salute her, e'er she's well awake,",o4885-l05760, No tuneful Airs her gentle Slumbers break;,o4885-l05755,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>a,pers00300,o4885-w0010
sake," No Songs Salute her, e'er she's well awake,",o4885-l05760," And sweet Melodious Notes, compos'd for her dear Sake:",o4885-l05765,/eɪk/ | /eɪk/,full,a<b>a</b><b>a</b>,pers00300,o4885-w0010
take,"AWAKE, Aeolian lyre, awake,",o5157-l38815,A thousand rills their mazy progress take:,o5157-l38830,/eɪk/ | /eɪk/,full,<b>a</b>bb<b>a</b>ccddeeff,pers00039,o5157-w0880
quake," ""Why do you weep? — Mama will soon awake. """,o4671-l19205,"""Alas! we both with cold and hunger quake —",o4671-l19200,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
take,"How shall he keep, what sleeping or awake",o3676-l04195," A weaker may surprize, a stronger take? ",o3676-l04200,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
take,"Furies that into storms awake,",bed98-l14020,For influence dread dominion take;,bed98-l14025,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
take,Spells that Genius might awake;,bed98-l14895,"From the wing'd speed of HOURS to take,",bed98-l14890,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
take,"Awake, Aeolian lyre, awake,",tgaen-l06930,A thousand rills their mazy progress take:,tgaen-l06950,/eɪk/ | /eɪk/,full,<b>a</b>bb<b>a</b>ccddeeff,pers00039,tgaen-wpppo
break,"AT length, as People just awake,",o3552-l03725, Into wild dissonance they break;,o3552-l03730,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
speak,"At his Command the Blind awake,",o4672-l04705," He bids the Dumb attempt to speak,",o4672-l04715,/eɪk/ | /iːk/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0240
sake,"O'er friendless grief compassion shall awake,",n27tc-l04525," And smile on Innocence, for Mercy's sake!"" ",n27tc-l04530,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
ach,But man all feeling and awake,o3794-l33400," With present ills his heart must ach,",o3794-l33410,/eɪk/ | /ɑːx/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00269,o3794-w0380
make," The least disturbance, till my Love awake,",oar96-l02955,"And now I charge you, Virgins, not to make",oar96-l02950,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00265,oar96-w0190
make," The least disturbance, till my Love awake. ",oar96-l03165,"And now I charge you, Virgins, not to make",oar96-l03160,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00265,oar96-w0190
make, And the Ladies declar'd that we kept them awake;,o3364-l02235," But the Lodgers were shock'd such a Noise we should make,",o3364-l02230,/eɪk/ | /eɪk/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
