r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
stand, Conceal'd the Sainted Vestal band. ,o4091-l25200, In order round the Novice stand. ,o4091-l25210,/ænd/ | /ænd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
land," But the stiff collared sergeant, and red-coated band? ",bjb18-l28780,"And who know I now in this far distant land,",bjb18-l28775,/ænd/ | /ænd/,full,<b>a</b><b>a</b>bb,pers00287,bjb18-w0680
demand, Doth sit incircled by a goodly band,o4985-l28145, To see what labour may his skill demand;,o4985-l28120,/ænd/ | /ɑːnd/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
land, Doth sit incircled by a goodly band,o4985-l28145," Or in long drains he cuts the lower land,",o4985-l28130,/ænd/ | /ænd/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o4985-w0390
withstand, Doth sit incircled by a goodly band,o4985-l28145, That shall henceforth all sudden floods withstand. ,o4985-l28135,/ænd/ | /ænd/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
land," Comes the loved, lamented band;",pmt18-l22565,"See, from the destroyer's land",pmt18-l22560,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0370
hand, And here in safety rear'd a busy band. ,prc90-l03205, Form'd by the art of no destructive hand;,prc90-l03195,/ænd/ | /ænd/,full,x<b>a</b>x<b>a</b>,pers00328,prc90-w0190
land," The fairest Virgin of the shining Band,",o5125-l19215,"Cythania tost of the admiring Land,",o5125-l19210,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
hand, Fierce Polyarchus of Polyphon's Band:,o5125-l20760," Too rashly bold encounter'd hand to hand,",o5125-l20755,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
command," Then rearing high the cross and holy band,",cac95-l08690, He hurl'd defiance with a fierce command. ,cac95-l08695,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
grand, An awful but a lovely band;,bjb18-l04695," And knew your forms benignly grand, —",bjb18-l04690,/ænd/ | /ænd/,full,aa<b>b</b><b>b</b>cc,pers00287,bjb18-w0040
hand,Nor circled with the vengeful Band,o5155-l00820,"Dread Goddess, lay thy chast'ning hand!",o5155-l00810,/ænd/ | /ænd/,full,a<b>b</b>a<b>b</b>ccdd,pers00039,o5155-w0020
hand,Assembles full an aweful band!,o5157-l27295,"Mounts her bright throne, and waves her gracious hand.",o5157-l27305,/ænd/ | /ænd/,full,a<b>b</b>a<b>b</b>,pers00089,o5157-w0420
withstand," ""She sees the little Spartan band,",o4986-l02090,""" With great Leonidas, withstand",o4986-l02095,/ænd/ | /ænd/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
land,"Deep pierc'd with wounds, does he the martial band",yfs88-l00405, Inspire with ardour for their native land? ,yfs88-l00410,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
hand,"Then thus: 'Ye Argive flower, ye warlike band,",tgaen-l00335,"Another orb upheaved his strong right hand,",tgaen-l00330,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
hand,"'And knowing us a trusty Band,",o5125-l11835,"'Who seeing none but us at hand,",o5125-l11830,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
hand," 'Amongst a rude mechanick Band,",o5125-l12155,'Till Fortune gave me to your Hand:,o5125-l12160,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
hand,Shall spurn at freedom's faithful band;,o5157-l02210,Or deal their vengeance with a woman's hand!,o5157-l02225,/ænd/ | /ænd/,full,ababcdcdeeffghgh<b>i</b>kk<b>i</b>,pers00047,o5157-w0020
land,"Go on, unbridled desp'rate band,",o5156-l16370,"Scorn rocks, gulphs, winds, search sea and land,",o5156-l16375,/ænd/ | /ænd/,full,<b>a</b><b>a</b>bccb,pers00097;pers00044,o5156-w0570
land," Assembled shews a blooming, studious band:",o4987-l20365,Ev'n now fond Fancy in our polish'd land,o4987-l20360,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
hand," By instinct led, a firm united band,",o3555-l03435," As marshall'd by some skilful general's hand,",o3555-l03440,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
land," You lov'd her hills, and led the laureat band:",o4985-l02115," And turn'd thy face, and fled her alter'd land. ",o4985-l02130,/ænd/ | /ænd/,full,aa<b>b</b>cc<b>b</b>,pers00048,o4985-w0040
understand,"The fee secur'd, the lawyer strokes his band,",o5089-l15200," ""The case you put, I fully understand;",o5089-l15205,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00172,o5089-w0230
land," Breaks ev'ry public, ev'ry private band,",o3585-l00290," Scatters the seeds of discord thro' the land,",o3585-l00285,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
