r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
praise,And scorn a with'ring Wreath of Bays.,clc03-l10460,"I neither need, nor value praise,",clc03-l10455,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00349,clc03-w0210
lays, The which in various gyres the meadow bays. ,o4985-l27050, Mean while the nightingale's becalming lays,o4985-l27040,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
blaze, The which in various gyres the meadow bays. ,o4985-l27050,Behold! the welkin bursts into a blaze! ,o4985-l27055,/eɪz/ | /eɪz/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
rays, The which in various gyres the meadow bays. ,o4985-l27050," In songs of triumph, hail his genial rays,",o4985-l27065,/eɪz/ | /eɪz/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o4985-w0390
praise, Think slander can transplant the bays. ,ojg27-l10940," Thus scriblers, covetous of praise,",ojg27-l10935,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0460
praise, But now his malice blasts his twig of Bays. ,oae86-l01485," As a Female Poet, he had gain'd some praise,",oae86-l01480,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
praise, The task befits a Laureat Crown'd with Bays:,oae86-l01765," But I'm too dull to give my Sex due praise,",oae86-l01760,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
lays," Rais'd him from want, and crown'd with living bays;",cac95-l07020," RAPHAEL he lov'd, had patroniz'd his lays,",cac95-l07015,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
lays,Nor strew the land with myrtles and with bays:,o5153-l31740,"SING we no more of HYMENEAL lays,",o5153-l31735,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>bbccdeedffgghihikk,pers00040,o5153-w0590
gaze, While every Science nurs'd its growing bays;,o4984-l23015," Oft hast thou stopt thy pearly car to gaze,",o4984-l23010,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
praise,"BRUTE, DRUGGER, FRIBBLE, RANGER, BAYS!",o5153-l29565,"O thou, where-e'er thou fix thy praise,",o5153-l29560,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
rays, But fenc'd his Head with his own Bays,psw11-l02860,"THE God laid down his Feeble Rays,",psw11-l02850,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00148,psw11-w0100
praise, And civic Crowns shall mingle with His Bays:,pba35-l11125," A Patriot Race shall sing the Drapier's Praise,",pba35-l11120,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
praise,Altho' not crown'd with Glory nor with Bays:,clc03-l14255,Esteems it mean to court the World for Praise.,clc03-l14265,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00349,clc03-w0280
praise,While honour wreath'd him with unfading bays.,o5157-l26865,"Call'd from his monarch's tongue the plausive praise,",o5157-l26860,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
praise,Or faded more his bays;,bed98-l15625,For flattery is not praise.,bed98-l15635,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0390
lays,' The Sceptic's bays. ,cbu86-l07485,"' His ""Minstrel lays;""",cbu86-l07475,/eɪz/ | /eɪz/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0100
plays," The russet birch, and ever-blooming bays;",pye85-l06835,"Here the deep green, and here the lively plays,",pye85-l06830,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
blaze,"The crouching dog the moon no longer bays,",o4985-l18320," He lies, rejoicing in the crackling blaze,",o4985-l18330,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>b,pers00217,o4985-w0280
lays,And in every wilderness planted his bays;,o5156-l18230,"Around him he lavishly scatter'd his lays,",o5156-l18225,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00027,o5156-w0600
praise,But why round patrons climb th' ambitious bays?,o5153-l28335,Is interest then the sordid spur to praise?,o5153-l28340,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
betrays,"Curs'd be their verse, and blasted all their bays,",o5153-l28595,Whose sensual lure th' unconscious ear betrays;,o5153-l28600,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
days," Where British SCIPIO, crown'd with Martial Bays,",o4741-l15890, In Solitude enjoys his ancient Days:,o4741-l15895,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0360
praise, And dropp'd a Branch of Bays:,o4741-l13805," NASSAU and ANNA's Praise,",o4741-l13795,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00091,o4741-w0320
days,"Tho' cold neglect now blasts their rising bays,",bed98-l15470,Otways and Savages of present days;,bed98-l15475,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0370
praise," To Oxford's Sons resigns the verdant bays,",pjo50-l09240," And neither asks, nor yet despises praise. ",pjo50-l09245,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0340
