r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
smiled, And social joy the tedious hour beguil'd;,yfs88-l01340,"Yet once on them fair Peace propitious smil'd,",yfs88-l01335,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
child, Some fairy Elf or treach'rous Nurse beguil'd,o5125-l21250, My sleeping Parents of their lawful Child:,o5125-l21255,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
child,"Their tender love soon care beguil'd,",bed98-l02265,"Till virtue left her darling child,",bed98-l02270,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00340,bed98-w0040
wild," Where indolence herself was oft beguil'd,",yfs88-l01195," By promis'd gain, to tread the rugged wild;",yfs88-l01200,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
undefiled," Not one who, early by the Muse beguiled,",pcr18-l09210, Drank from her well the waters undefiled;,pcr18-l09215,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
wild," No party tool, beguiling and beguil'd,",o5089-l04580,"No sly fanatic, no enthusiast wild,",o5089-l04575,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
smiled,"The slippery verge her feet beguiled,",tgaen-l04695,"(Malignant Fate sat by, and smiled)",tgaen-l04690,/aɪld/ | /aɪld/,full,aab<b>c</b><b>c</b>b,pers00039,tgaen-wodfc
mild, Love is with sweet success beguil'd,o3776-l03090," Fatigue and toiling pain grow mild,",o3776-l03085,/aɪld/ | /aɪld/,full,aab<b>c</b><b>c</b>bdede,pers00047,o3776-w0090
child," Of my filial right beguil'd,",bse96-l01680,"I, thy Sauserlama's child,",bse96-l01675,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
smiled, The lingering hours beguil'd. ,o5346-l04615," And gayly prest, and smil'd;",o5346-l04605,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00174,o5346-w0030
smiled, The lingering hours beguil'd. ,o5089-l06630," And gayly prest, and smil'd,",o5089-l06620,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00174,o5089-w0080
reconciled," Sent by a Foe my Rage you had beguil'd,",pse03-l05260, And for its sake I had been reconcil'd. ,pse03-l05265,/aɪld/ | /eknsaɪld/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,pse03-w0230
child," Says who shall Wed, and who shall be Beguil'd;",pmp18-l20470," What Groom shall Get, and Squire maintain the Child. ",pmp18-l20475,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
child," I e'er can be by thee beguiled?"" ",bao18-l01570," ""Say, is not Julia too your child? ",bao18-l01580,/aɪld/ | /aɪld/,full,x<b>a</b>x<b>a</b>,pers00279,bao18-w0020
wild," Low sullen sounds his grief beguil'd,",o4985-l04445," 'Twas sad by fits, by starts 'twas wild. ",o4985-l04455,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00048,o4985-w0110
child," Of their sweetest notes beguil'd,",o3555-l04680," By the sly insidious child,",o3555-l04685,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00149,o3555-w0120
smiled, The cares of life my song beguil'd. ,bah18-l07180," And fancy on her poet smil'd,",bah18-l07170,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00281,bah18-w0560
reviled,"Yet, thus of dignity and ease beguil'd,",o4987-l22970," Thus scorn'd and scourg'd, insulted and revil'd,",o4987-l22975,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00220,o4987-w0740
mild,"He by my plenty-crowned scenes beguil'd,",o4984-l24610," And genial influence of my seasons mild,",o4984-l24615,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
child, Fears not to be beguiled;,bjb18-l30920, Even as a little child. ,bjb18-l30930,/aɪld/ | /aɪld/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0850
child," Ere yet I am of all my hopes beguil'd,",o5400-l03275, Let me once more embrace my wretched child;,o5400-l03280,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00345,o5400-w0010
smiled, Each circling hour beguil'd;,o4668-l00640, On the lone mansion smil'd. ,o4668-l00650,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00276,o4668-w0010
smiled," Where JOHNSON rigid gravity beguil'd,",o3591-l00295, Whilst Reason thro' her Critic fences smil'd;,o3591-l00300,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
wild, Ages long past the soul beguil'd —,o4739-l06310, Oh think! in that unletter'd wild,o4739-l06315,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>a,pers00284,o4739-w0220
smiled, Ages long past the soul beguil'd —,o4739-l06310," LONGINUS wrote, ZENOBIA smil'd! ",o4739-l06320,/aɪld/ | /aɪld/,full,<b>a</b>a<b>a</b>,pers00284,o4739-w0220
child," Curst be the Hand that all my Hopes beguil'd,",o5125-l23590, And left a Parent to lament his Child:,o5125-l23595,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00154,o5125-w0570
child," And, with their pious Hymns, my Pain beguil'd. ",o4741-l02720," Hailing, with kind Salutes, the recent Child;",o4741-l02715,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00091,o4741-w0040
child," Fretful unless diverted and beguiled,",o3794-l25805," Not as the plaything of a froward child,",o3794-l25800,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
child,"By no such vanity beguil'd,",bed98-l01070,"I give it thee my darling child,",bed98-l01075,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00340,bed98-w0020
smiled,And generous friendship care beguil'd;,bed98-l15195,"When Spencer wrote and Sidney smil'd,",bed98-l15190,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
child," Picking or shell or weed, beguiled",bjb18-l11155," Where I so oft, a happy child,",bjb18-l11150,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0190
wild,By soothing song to moral truth beguil'd,o5153-l33370,"Man, till then fierce, a lawless race, and wild.",o5153-l33375,/aɪld/ | /aɪld/,full,abba<b>c</b><b>c</b>,pers00083,o5153-w0610
child,"By sports like these are all their cares beguil'd,",o5346-l00750, The sports of children satisfy the child;,o5346-l00755,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00174,o5346-w0010
smiled," Her infant-face the mother's pains beguiled,",pcr18-l21165, She look'd so pleasing and so softly smiled;,pcr18-l21170,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0050
smiled, And by their prattle oft my pains beguil'd! —,pma99-l04405," Whilst at my feet those infants playful smil'd,",pma99-l04400,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00306,pma99-w0190
child," Who hath like thee our wits beguiled,",bjb18-l16595,"Ah! many a lightly sportive child,",bjb18-l16590,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0320
wild, And green encircling shades the long fatigue beguiled:,pmt18-l04985," Thus, mid the sandy Garamantian wild,",pmt18-l04970,/aɪld/ | /aɪld/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0021
smiled, And green encircling shades the long fatigue beguiled:,pmt18-l04985," The sacred temple of great Ammon smiled,",pmt18-l04980,/aɪld/ | /aɪld/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0021
smiled," ""With ease my partial heart beguil'd,",bmb97-l05275,""" Who knew no sorrows when he smil'd. ",bmb97-l05280,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0120
smiled,""" Left her when hope my doubts beguil'd,",bmb97-l05815," ""And on our love her father smil'd. ",bmb97-l05820,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0120
smiled," When hope with promises the heart beguil'd,",bah18-l03935," When joy was young, and careless fancy smil'd,",bah18-l03930,/aɪld/ | /aɪld/,full,abbac<b>d</b><b>d</b>ceffegg,pers00281,bah18-w0190
smiled, The lingering hours beguil'd. ,o4987-l16095," And gaily prest, and smil'd,",o4987-l16085,/aɪld/ | /aɪld/,full,a<b>b</b>a<b>b</b>,pers00174,o4987-w0570
wild, So fares it with the multitudes beguil'd,o3794-l15045, In vain opinion's waste and dang'rous wild;,o3794-l15050,/aɪld/ | /aɪld/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
smiled,"The slipp'ry verge her feet beguil'd,",o5153-l31665,(Malignant Fate sat by and smil'd),o5153-l31660,/aɪld/ | /aɪld/,full,aab<b>c</b><b>c</b>b,pers00039,o5153-w0580
