r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
deceive,"Ne'er let thine honest, open heart believe",o4986-l18480," Professions specious, forg'd but to deceive;",o4986-l18485,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
deceive,"Thy unexperienc'd youth might soon believe,",o5155-l08085,"And since their lips, so knowing to deceive,",o5155-l08080,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
deceive," A heart less willing to believe,",bsb18-l10800," For Hope, with smiles that might deceive",bsb18-l10795,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
receive,"And when she doth this paradox believe,",oae86-l01055, Whatever faith doth please she may receive. ,oae86-l01060,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
deceive,"I do not wish you had, for I believe",oae86-l01490, It is impossible for to deceive,oae86-l01495,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
eve,'Tis 'cause they are the worst makes me believe,oae86-l02000, You must imagine Iezabel and Eve. ,oae86-l02005,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
retrieve," By much, than You believe. ",pmp18-l26165," An Ill, You may so soon retrieve? ",pmp18-l26155,/iːv/ | /iːv/,full,aa<b>b</b>a<b>b</b>,pers00314,pmp18-w0870
deceive,"Be warn'd then, ye Fair, nor too rashly believe;",o4986-l19880," Think the men when they flatter, but want to deceive;",o4986-l19885,/iːv/ | /iːv/,full,aa<b>b</b><b>b</b>cc,pers00240,o4986-w0430
conceive,"Bless your Conceits! must I believe,",pmp18-l37075," Howe'er absurd, what You conceive;",pmp18-l37080,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
receive,I will not tell thee to believe,bjb18-l18935, This token then do thou receive. ,bjb18-l18930,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0440
deceive, And fancy fondly made believe,bsb18-l29360,"And still, dull absence to deceive,",bsb18-l29350,/iːv/ | /iːv/,full,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0660
grieve,She is fairer than you can believe.,o5155-l39065,Why term it a folly to grieve?,o5155-l39055,/iːv/ | /iːv/,full,a<b>b</b>a<b>b</b>cdcd,pers00035,o5155-w0950
conceive,"Oft Seamen tell, but few the Tale believe,",pdi22-l01790, Or own those Truths they cannot well conceive. ,pdi22-l01795,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
receive, 'And when I die — What! may I this believe? ,pcr18-l13165,"' Nor other shillings shalt thou then receive,",pcr18-l13160,/iːv/ | /iːv/,full,<b>a</b><b>a</b>a,pers00275,pcr18-w0040
grieve, 'And when I die — What! may I this believe? ,pcr18-l13165,""" Are these true tender tears? and does my Kitty grieve? ",pcr18-l13170,/iːv/ | /iːv/,full,a<b>a</b><b>a</b>,pers00275,pcr18-w0040
deceive,"With idle tales, which only fools believe?",o5155-l10820,For could'st thou hope Roxana to deceive,o5155-l10815,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00106,o5155-w0130
deceive," ""Why didst thou, Alexis, believe",o4986-l31020," ""How could you, O Daphne, deceive",o4986-l31010,/iːv/ | /iːv/,full,abab<b>c</b>d<b>c</b>d,pers00199,o4986-w0740
pudding-sleeve," He sees, yet hardly can believe,",psw11-l01930, About each Arm a Pudding-sleeve;,psw11-l01935,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
receive,""" Her Alwin ever shall believe! ",bmb97-l02045,""" Would ne'er a second love receive! ",bmb97-l02035,/iːv/ | /iːv/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0050
grieve,Nor care if she believe;,o5153-l35330,I neither joy nor grieve.,o5153-l35345,/iːv/ | /iːv/,full,aa<b>b</b>cc<b>b</b>,pers00147,o5153-w0690
deceive," Where rascals promise, and where fools believe;",o4111-l00930," Far from the place where men with pride deceive,",o4111-l00925,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
receive,And all I fondly wish believe;,o5153-l26970,"From fiction real bliss receive,",o5153-l26965,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00119,o5153-w0450
deceive, Who cannot lie so fast as they believe. ,pcr18-l07005," Pleased with the guides who can so well deceive,",pcr18-l07000,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
deceive," And Folly aids them both, impatient to believe. ",pcr18-l07295," Here Fraud and Falsehood labour to deceive,",pcr18-l07290,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
deceive,The next Man (and the next Thou shalt believe),pmp18-l22625," Will pawn his Gods, intending to deceive;",pmp18-l22630,/iːv/ | /iːv/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0720
leave,The next Man (and the next Thou shalt believe),pmp18-l22625," Will kneel, implore, persist, o'ercome, and leave. ",pmp18-l22635,/iːv/ | /iːv/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w0720
deceive,"Slow to distrust, and willing to believe,",o5155-l21735,"Long hush'd my doubts, and did myself deceive:",o5155-l21740,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00001,o5155-w0310
receive," Tho' strange the tale, the faithful Muse believe,",o3555-l02010, And what she says with pious awe receive. ,o3555-l02015,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00149,o3555-w0030
sleeve," And whisper'd each; ""You may believe,",o4257-l00850," Pull'd half a dozen by the sleeve,",o4257-l00845,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
eve," We all thy flatt'ring tales believe,",bjl92-l00610,"From life's fair dawn to liart eve,",bjl92-l00605,/iːv/ | /iːv/,full,<b>a</b><b>a</b>bccbdedexfxf,pers00338,bjl92-w0030
deceive,How could I e'er thy words believe? ,bhw18-l08355,O ever practised to deceive! ,bhw18-l08360,/iːv/ | /iːv/,full,aa<b>b</b><b>b</b>ccdd,pers00276,bhw18-w0060
deceive,"That boasted gift our reason to believe,",o5154-l23215,"Or let caprice, in reason's garb, deceive.",o5154-l23220,/iːv/ | /iːv/,full,<b>a</b><b>a</b>,pers00106,o5154-w0360
perceive, Condemn'd to tremble and believe. ,pma99-l08490," It's damned error shall perceive,",pma99-l08480,/iːv/ | /iːv/,full,a<b>b</b>a<b>b</b>,pers00306,pma99-w0470
