r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
decide," For Praise we sing, nor Wager ought beside:",sap09-l02960," And, whose the Praise, let Geron's Lips decide. ",sap09-l02965,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
glide,"Rich with this gift and none beside,",o5153-l23545,In fashion's stream how many glide?,o5153-l23550,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
replied," An angry Rose, who grew beside;",ojg27-l11070,"Spare your comparisons, reply'd",ojg27-l11065,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0460
tied," And all from shore to shore is free beside,",o3794-l12960," Where only vice and injury are tied,",o3794-l12955,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
pride,"And likewise, also I believe beside,",oae86-l01620, That one thing more might be their haughty pride. ,oae86-l01625,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
guide, That fear all fears beside. ,o4984-l16180, Thy love my footsteps guide;,o4984-l16170,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00045,o4984-w0250
died,"But what avails it to the world beside,",o5152-l25435,"That Brutus bravely stab'd, or Curtius dy'd?",o5152-l25440,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
cried,""" E'en all the gifts of heaven beside,",o4986-l02035," ""Hail, Knowledge, gift of heaven! I cried;",o4986-l02030,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
pride," Replys a bearded chief. Beside,",ojg27-l05805," If boys can mortify thy pride,",ojg27-l05810,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0230
pride, And false to all the World beside. ,pmp18-l37810," True to our own o'erbearing Pride,",pmp18-l37805,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
pride," To fear each other, fearing none beside. ",o3794-l22535," By way of wholesome curb upon our pride,",o3794-l22530,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
pride," Weak and imperfect in all grace beside,",o3794-l24515,"Sincerity! Why 'tis his only pride,",o3794-l24510,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
pride," Aye to take frae his King, but frae nae ane beside! ",bsb18-l26365, For I knew unca weel 'twas an auld soldier's pride,bsb18-l26360,/aɪd/ | /aɪd/,full,aabbcc<b>d</b><b>d</b>,pers00280,bsb18-w0520
glide,"The violet sweet, and daizy blooms beside:",pro75-l06440,"A purling stream in soft meanders glide,",pro75-l06435,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
