r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
head,Or should one Pound of Powder less bespread,o3683-l01160, The Monkey-Tail that wags behind his Head! ,o3683-l01165,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
led,"The baleful willow all the banks bespread,",o5155-l13405,Thro' the dun grove a murm'ring river led,o5155-l13395,/ed/ | /ed/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o5155-w0200
head,"The baleful willow all the banks bespread,",o5155-l13405,And ever to the breeze ycurl'd his hoary head.,o5155-l13410,/ed/ | /ed/,full,ababbcb<b>c</b><b>c</b>,pers00033,o5155-w0200
bed,"The cattle brouze the lawn with dew bespread,",o5155-l15750,And call'd dame Partlet from her vetchy bed;,o5155-l15735,/ed/ | /ed/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o5155-w0200
head,"The cattle brouze the lawn with dew bespread,",o5155-l15750,And the pale moon conceal'd her silver head;,o5155-l15745,/ed/ | /ed/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o5155-w0200
issued,"The cattle brouze the lawn with dew bespread,",o5155-l15750,Then to the field our lover issued;,o5155-l15760,/ed/ | /ɪʃuːd/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00033,o5155-w0200
spread,"Within, the walls with characters bespread",o5155-l16235,Around the cave a clustring ivy spread,o5155-l16225,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o5155-w0200
tulip-bed,"Each walk, with robes of various dies bespread,",o5152-l04710,"Seems from afar a moving tulip-bed,",o5152-l04715,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
red," And the fair cheek, with lilies all bespread,",bsb18-l01765," Shades the full rose, and hides its bolder red,",bsb18-l01770,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
head,"The Ground with Grass of cheerful Green bespread,",sap09-l01730, Thro' which the springing Flow'r up-rears its Head. ,sap09-l01735,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00302,sap09-w0040
