r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
surveys, The 'nighted traveller betrays:,o4987-l28355," The melancholic eye surveys,",o4987-l28345,/eɪz/ | /ɜːveɪz/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
praise," ""Yet Ashley with a kiss betrays",o4986-l02440,""" Ashley, how loud in Virtue's praise! ",o4986-l02435,/eɪz/ | /eɪz/,full,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
ways,"Insinuates, dissembles, lyes, betrays,",o5154-l24310,"Plays the whole hypocrite such various ways,",o5154-l24315,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00106,o5154-w0380
these," Leans on her Breast, and, with a Kiss, betrays;",o4741-l07745, Then vents his specious Fraud in Words like these;,o4741-l07750,/eɪz/ | /iːz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
bays,Whose sensual lure th' unconscious ear betrays;,o5153-l28600,"Curs'd be their verse, and blasted all their bays,",o5153-l28595,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
displays,"When lo! the mistress or the friend betrays,",o5152-l40310,And the whole fancied cheat of life displays:,o5152-l40315,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
maze, Their languid eye — their listless air betrays. ,bjb18-l14105," Enjoy amidst the tangled, giddy maze,",bjb18-l14100,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0260
ways,"Where each one lies, imposes, and betrays,",o5153-l09270,"Without a parent's awe to rule his ways,",o5153-l09280,/eɪz/ | /eɪz/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
praise,"Where each one lies, imposes, and betrays,",o5153-l09270,"Without the check of shame, or spur of public praise",o5153-l09285,/eɪz/ | /eɪz/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
days, And yet no wrinkled line betrays,bjb18-l13400," The long course of thy lengthened days,",bjb18-l13405,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0250
stays," Yet still no sign of Gladness he betrays,",o4885-l09015," But humbly with his fellow Pilgrims stays,",o4885-l09020,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
plays," And the fair form, it seems to hide, betrays. ",o4671-l21765," O'er her light limbs the dim transparence plays,",o4671-l21760,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
chaise, With face that self-distrust betrays;,o3982-l04130,Behold him seated in his chaise;,o3982-l04125,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
praise," While this sad truth the blushing muse betrays,",o4984-l30500, The voice of riot than the voice of praise. ,o4984-l30510,/eɪz/ | /eɪz/,full,a<b>b</b>a<b>b</b>,pers00250,o4984-w0530
strays,And the most trusted Guide the most betrays:,o5153-l04985,"Hence oft from Reason heedless Beauty strays,",o5153-l04980,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00030,o5153-w0090
lays,Where the seamed window-board betrays,bjb18-l19930," Interior light, right closely lays",bjb18-l19935,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
rays, And cunningly his sight betrays,bjb18-l20240, Even with his own lamp's partial rays. ,bjb18-l20245,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
ways," By which sly night the eye betrays,",bjb18-l20385,How many are the subtle ways,bjb18-l20380,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
