r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
ill-willie,"Fareweel, my rhyme-composing billie! ",cbu86-l14350,Your native soil was right ill-willie;,cbu86-l14355,/ɪli/ | /ɪli/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0240
lily,"Fareweel, my rhyme-composing billie! ",cbu86-l14350," But may ye flourish like a lily,",cbu86-l14360,/ɪli/ | /ɪli/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0240
gillie,"Fareweel, my rhyme-composing billie! ",cbu86-l14350,"I'll toast you in my hindmost gillie,",cbu86-l14370,/ɪli/ | /ɪli/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0240
collie," A rhyming, ranting, raving billie,",cbu86-l00140,"The tither was a ploughman's collie,",cbu86-l00135,/ɪli/ | /ɒli/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0010
willie," Should I believe, my coaxin billie,",cbu86-l16515,"I Gat your letter, winsome Willie;",cbu86-l16495,/ɪli/ | /ɪli/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0290
brawlie," Should I believe, my coaxin billie,",cbu86-l16515, Wi' gratefu' heart I thank you brawlie;,cbu86-l16500,/ɪli/ | /ɔːlɪ/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0290
silly," Should I believe, my coaxin billie,",cbu86-l16515," Tho' I maun say't, I wad be silly,",cbu86-l16505,/ɪli/ | /ɪli/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0290
silly," Mark how they grace Lord Umbra, or Sir Billy. ",o3676-l05740,"To sigh for Ribbands if thou art so silly,",o3676-l05735,/ɪli/ | /ɪli/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
ilay,"Erskine, a spunkie norland billie;",cbu86-l02285," True Campbells, Frederick an' Ilay;",cbu86-l02290,/ɪli/ | /ɪleɪ/,half-pararhyme,<b>a</b><b>a</b>abab,pers00307,cbu86-w0030
willie,"Erskine, a spunkie norland billie;",cbu86-l02285," An' Livistone, the bauld Sir Willie;",cbu86-l02295,/ɪli/ | /ɪli/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0030
tully,"Erskine, a spunkie norland billie;",cbu86-l02285, Whom auld Demosthenes or Tully,cbu86-l02305,/ɪli/ | /ʌli/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0030
