r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
maid, Frantic she grasp'd the sanguine blade,pcm93-l07250,Distraction seiz'd the wretched maid:,pcm93-l07240,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
aid, And hardy Sword-Fish wield the threat'ning Blade. ,pdi22-l10775,"Sharp poison'd Darts the dreaded Fire-Flairs aid,",pdi22-l10770,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
trade, On sounding Anvils shapes the temper'd Blade. ,pdi22-l10880,"For guilty Hands design'd, the sooty Trade",pdi22-l10875,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
made," No human heart can bear the piercing blade,",o4198-l00385," Or I than others, am more tender made. ",o4198-l00390,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00288,o4198-w0040
gaed," To see him a clerical blade,",bjb18-l22965, And cam' back a coof as he gaed. ,bjb18-l22975,/eɪd/ | /iːd/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0520
invade, Streaming from its angry blade. ,bse96-l02355,Not if thousand fires invade,bse96-l02350,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
trade,"Who hearing that Figg was thought such a stout blade,",o5157-l34685,"Where liv'd Mr. Sutton, pipemaker by trade,",o5157-l34680,/eɪd/ | /eɪd/,full,aabb<b>c</b><b>c</b>dd,pers00084,o5157-w0710
played, The hand of fury of its deadly blade:,pmt18-l06035," That o'er each limb, in every action played,",pmt18-l06025,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0022
invade,"Whose hands profane, with hostile blade,",o4985-l29210," Thy story'd temples dar'd invade,",o4985-l29215,/eɪd/ | /eɪd/,full,aab<b>c</b><b>c</b>b,pers00049,o4985-w0430
maid," I drew the well-worn blade,",o3462-l01985,""" Deserve, or lose the Maid. "" ",o3462-l01995,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
fade,THO' in Judea's mead the verdant blade,o4987-l14570, Nipt by ungenial frost full sudden fade;,o4987-l14575,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00213,o4987-w0510
shade, Bound on his tender thigh the martial blade:,o4984-l24585, Edward — the Muses in you hallow'd shade,o4984-l24580,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
swayed, And pointed to a rugged blade,bjb18-l03810,"A broken shaft his right hand swayed,",bjb18-l03800,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0030
shade, And clasping tares cling round the sickly blade;,pcr18-l03870," O'er the young shoot the charlock throws a shade,",pcr18-l03865,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0020
laid,"Broad were his shoulders, and from blade to blade",o4002-l00775, A H— might at full length have laid;,o4002-l00780,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
said," Dispatch me, I pr'ythee, this troublesome Blade:",pmp18-l26910,"Then turning about to the Hangman, He said;",pmp18-l26905,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>bb,pers00314,pmp18-w0900
head,The soldier views her in the shining blade;,o5154-l33995,The pedant 'midst the lumber in his head.,o5154-l34000,/eɪd/ | /ed/,half-pararhyme,<b>a</b><b>a</b>,pers00036,o5154-w0650
made," But as the green blood moves along the blade,",pcr18-l01605, The bed of Flora on the branch is made;,pcr18-l01610,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
maid, Philander drops! a strapping blade. ,bjl92-l11360," She darts a glance, ah! cruel maid,",bjl92-l11355,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0480
strayed," He drives his flock to pick the scanty blade,",o5346-l03735,"If to some common's fenceless limits stray'd,",o5346-l03730,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
trade," While the shrill tenant of the sun-burnt blade,",o5089-l32115," (A poet he, and singing all his trade)",o5089-l32120,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00033,o5089-w0680
laid, Mocks the weak efforts of the bending blade;,o5398-l01410," And, like the oaken shelf whereon 'tis laid,",o5398-l01405,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
conveyed," He gains the summit of a shiv'ring blade,",o5398-l02290,"Thence higher still, by countless steps convey'd,",o5398-l02285,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
invade, Whilst wint'ry months depress the springing blade. ,o5398-l04200," For searching frosts and various ills invade,",o5398-l04195,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
shade, For still her gentle soul abhors the murderous blade. ,pmt18-l04085," But first a lamp conceals in secret shade,",pmt18-l04070,/eɪd/ | /eɪd/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0021
