r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grew,On Laura's Veins a richer Blew. ,oat77-l02195,The envying Lillies paler grew;,oat77-l02185,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00344,oat77-w0100
view, And kindling flames to vivid fierceness blew;,cac95-l08970," Wild rising to the winds obscur'd her view,",cac95-l08965,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
view, Which the unwilling breeze so faintly blew. ,bmb97-l00310, But the drear darkness skreens him from my view:,bmb97-l00300,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0010
grew,"For not a wind might curl the leaves that blew,",o5152-l29915,"And, as they look'd, they found their horror grew,",o5152-l29925,/uː/ | /uː/,full,ababb<b>c</b>b<b>c</b>c,pers00035,o5152-w0320
view,"For not a wind might curl the leaves that blew,",o5152-l29915,"And shap'd it into rods, and tingled at the view.",o5152-l29930,/uː/ | /uː/,full,ababb<b>c</b>bc<b>c</b>,pers00035,o5152-w0320
hue,So Vapours change their muddy Blew,oat77-l03430,(When rais'd aloft) to fairer Hue;,oat77-l03435,/uː/ | /uː/,full,ababccdd<b>e</b><b>e</b>e,pers00344,oat77-w0200
dew,So Vapours change their muddy Blew,oat77-l03430,They Rise in Mists and fall in Dew. ,oat77-l03440,/uː/ | /uː/,full,ababccdd<b>e</b>e<b>e</b>,pers00344,oat77-w0200
grew," And Pleasure on its surface blew,",bsb18-l16985," And Memory's mirror darker grew,",bsb18-l16975,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0220
peru, The gentlest gales that ever blew,bsb18-l30770,Not a' the wealth o' rich Peru,bsb18-l30760,/uː/ | /uː/,full,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0730
grew," Where ne'er the Muse's chaplet blew,",o4984-l14675, Where Learning's laurel never grew;,o4984-l14680,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
hue," His White or Black, his Green or Blew;",pmp18-l18985, But borrows from his Neighbour's Hue,pmp18-l18980,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0600
dew," While stormy winds over her blew,",o4987-l11150,"All wet with the night's chilling dew,",o4987-l11140,/uː/ | /uː/,full,abab<b>c</b>d<b>c</b>d,pers00141,o4987-w0340
adieu,And bring the whistle that I blew.,o5155-l36905,"Ev'n let me bid my lyre adieu,",o5155-l36900,/uː/ | /uː/,full,abab<b>c</b><b>c</b>,pers00035,o5155-w0890
dew, The blast unheeded blew. ,bah18-l05310, Chill fell the ev'ning dew;,bah18-l05300,/uː/ | /uː/,full,x<b>a</b>x<b>a</b>,pers00281,bah18-w0320
drew, Fierce rising Gusts with sudden Fury blew;,o4106-l11580,"As near the Miser's heavy Doors they drew,",o4106-l11575,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0190
overthrew," ""Wing'd with our fate one storm relentless blew,",cac95-l04350,""" Conspir'd our ruin, and each hope o'erthrew;",cac95-l04355,/uː/ | /ɔːθruː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00301,cac95-w0070
view,And Fame her golden trumpet blew;,o4987-l28820, And Wealth engag'd my wandering view;,o4987-l28830,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00189,o4987-w0800
grew," And Vi'lets intermix'd a Blew,",o4106-l01895,"Rais'd on a Bank, where Daizys grew,",o4106-l01890,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0050
grew," The Bells she gingled, and the Whistle blew;",o3695-l03550," Her infant Grandame's Whistle next it grew,",o3695-l03545,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
crew, Weathers all winds that ever blew. ,o4899-l06730,"She, with expert and jocund crew,",o4899-l06725,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
hue, As fresh the breeze of morning blew,pmt18-l21355,"Fierce rolled his eye, of heaven's own hue,",pmt18-l21345,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00320,pmt18-w0360
view,And on his bugle clear a strain of triumph blew.,o5155-l03465,"Alse their great monarch, cheared with the view",o5155-l03450,/uː/ | /uː/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5155-w0030
anew,And on his bugle clear a strain of triumph blew.,o5155-l03465,His ruffled pride began to plume anew;,o5155-l03460,/uː/ | /uː/,full,ababbcb<b>c</b><b>c</b>,pers00024,o5155-w0030
