r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
stones,"Enough to dislocate one's bones,",o5154-l15455,"Whirling o'er hillocks, ruts, and stones,",o5154-l15450,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
tones,"But when just Time has set th' unjoynted Bones,",pdi22-l05810," New-strung the Nerves, and strain'd their slacken'd Tones,",pdi22-l05815,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
stones," Pale Famine sits and counts her naked bones,",o4985-l31245,"But ah! how chang'd the scene! On the cold stones,",o4985-l31235,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00183,o4985-w0490
stones," And sooths me wandering o'er my kindred bones,",o4986-l03655," And weeping yews o'ershade the letter'd stones,",o4986-l03645,/əʊnz/ | /əʊnz/,full,a<b>b</b>a<b>b</b>,pers00237,o4986-w0040
owns," My flesh was good, and picks my bones. ",pjo50-l04370," Happy, if that good Lady owns",pjo50-l04365,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0090
stones, I'm little else but bones. ,pma99-l01550," My feet are gall'd by stones,",pma99-l01540,/əʊnz/ | /əʊnz/,full,x<b>a</b>x<b>a</b>,pers00306,pma99-w0070
stones," Nor ought presented, but a heap of Bones,",o4784-l07375," For which fierce Dogs contended on the Stones,",o4784-l07380,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0150
atones," With strong exertion, and with weary bones,",o5398-l04260, Here GILES for hours of indolence atones,o5398-l04255,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
stones, Which mourning friends have raised o'er his bones! ,o5089-l05420,"See on you western hill the heap of stones,",o5089-l05415,/əʊnz/ | /əʊnz/,full,ababcdcd<b>e</b><b>e</b>,pers00186,o5089-w0070
stones,"For time confounds them with the crumbling bones,",o4984-l12965,"Vain are the pyramids, and motto'd stones,",o4984-l12955,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00168,o4984-w0190
drones,"In which the sainted bones,",o5155-l35975,Of legendary drones.,o5155-l35985,/əʊnz/ | /əʊnz/,full,a<b>b</b>a<b>b</b>,pers00142,o5155-w0850
stones," Pale Famine sits, and counts her naked bones,",o5089-l25330,"But ah! how chang'd the scene! on the cold stones,",o5089-l25320,/əʊnz/ | /əʊnz/,full,<b>a</b>b<b>a</b>b,pers00183,o5089-w0560
groans," Some favorite friend's unconscious bones,",o4899-l04420, And hear again his dying groans;,o4899-l04425,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
stones," Arms, Angels, Epitaphs and Bones,",o4106-l10490," Whose Pillars swell with sculptur'd Stones,",o4106-l10485,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0170
groans, Thus speaking from among the Bones. ,o4106-l10580," It sends a Peal of hollow Groans,",o4106-l10575,/əʊnz/ | /əʊnz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0170
