r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shore,"Crenaeus, whom the nymph Ismenis bore",tgaen-l11040,"To Faunus on the Theban river's shore,",tgaen-l11045,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra9
more, Their Sins He in his Body bore;,o3900-l10735,"Tis done! my Justice asks no more,",o3900-l10725,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
gore," Thy Druids struck the well-strung harps they bore,",o3794-l12465," With fingers deeply dy'd in human gore,",o3794-l12470,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
more," In his sad eye the languid tale he bore,",pyl90-l00875, He ask'd my pity — then he hop'd no more:,pyl90-l00880,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
lore,With patience many a year she bore:,o5155-l00710,Stern rugged Nurse! thy rigid lore,o5155-l00705,/ɔː/ | /ɔː/,full,abab<b>c</b><b>c</b>dd,pers00039,o5155-w0020
more,"A little Harp, of Maple Ware, he bore:",sap09-l02665, Her mighty Conquest. What could Colin more? ,sap09-l02660,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
before," No equal, thro' the Grove, in Musick bore? ",sap09-l02825,"How shall she bear a Conqu'ror, who before",sap09-l02820,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
shore,The ponderous brass in exercise he bore:,tgaen-l00440,Admired that arm; oft on Alpheus' shore,tgaen-l00435,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
gore,"Sword, that once a Monarch bore,",o4986-l11240,"Shafts for shuttles, dipt in gore,",o4986-l11230,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00039,o4986-w0250
yore," Sat SHAKESPEAR. — In one hand a wand he bore,",o4600-l00835, For mighty wonders fam'd in days of yore;,o4600-l00840,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
more,"In Bobadil, indeed, such praise he bore,",o4600-l01365," Such worthy praise, that Kitely scarce had more. ",o4600-l01370,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
more," Than if, till that time, arms they never bore. ",o4600-l01790,"Vet'rans they seem'd, but knew of arms no more",o4600-l01785,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
shore,"When ROME, to prop her sinking empire, bore",o4110-l02475," Their choicest levies to a foreign shore,",o4110-l02480,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
wore,"And Cynthia's brow the crescent bore,",o5156-l04540,The crown majestic Juno wore;,o5156-l04535,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>bb,pers00035,o5156-w0125
poor, And Tully's self they deem an arrant bore. ,o5280-l06820,They ne'er o'er Homer's thund'ring verses pore;,o5280-l06815,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
over," Fool! had that Bough a Pumpkin bore,",o4784-l17205,"Th' offended Part with Tears ran o'er,",o4784-l17195,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b>b<b>a</b>ab,pers00268,o4784-w0540
more," Fool! had that Bough a Pumpkin bore,",o4784-l17205," Thy Whimseys must have work'd no more,",o4784-l17210,/ɔː/ | /ɔː/,full,ab<b>a</b><b>a</b>b,pers00268,o4784-w0540
shore, Then to the Youth the grateful Tidings bore;,o4741-l08955,"She call'd, and beckon'd to it from the Shore;",o4741-l08950,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
hoar, His faithful band the lifeless CORA bore:,bhw18-l06010," There, o'er the pathless wood, and mountain hoar,",bhw18-l06005,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
shore, The charming sounds responsive echoes bore. ,o4984-l18680,"Thro' all the grove, along the flowery shore,",o4984-l18675,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00085,o4984-w0370
more,Her arms to foreign lands Britannia bore;,o5154-l02010,"Her arms, auspicious now no more!",o5154-l02015,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>bbccddeeff,pers00031,o5154-w0060
wore,"Numerous were the gifts they bore,",bed98-l10545,Which in as varied modes were wore.,bed98-l10550,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00340,bed98-w0300
before, A silver knot his breadth of shoulder bore;,pcr18-l14540, A diamond buckle blazed his breast before —,pcr18-l14545,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>a,pers00275,pcr18-w0040
swore, A silver knot his breadth of shoulder bore;,pcr18-l14540, Diamond he swore it was! and show'd it as he swore:,pcr18-l14550,/ɔː/ | /ɔː/,full,<b>a</b>a<b>a</b>,pers00275,pcr18-w0040
over," What Scenes we acted, and what Toils we bore:",o4741-l14515,"A thousand Labours past, we now run o'er,",o4741-l14510,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
more," Yet a half-feigned resentment still she bore,",pmt18-l10940," Her opening eyes behold her knight once more,",pmt18-l10930,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
shore, And all the Floating War they bore. ,o4672-l00690, And roll'd its Billows to our Shore;,o4672-l00680,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0040
more,"Such love of truth as ancient Britains bore,",pjo50-l09650," Such fortitude, as never Roman more:",pjo50-l09655,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0370
wore," Nor armour ever had the virgin bore,",pmt18-l12255," For while her breast this dazzling cestus wore,",pmt18-l12265,/ɔː/ | /ɔː/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
more," Nor armour ever had the virgin bore,",pmt18-l12255, The foe who dared to gaze beheld the light no more. ,pmt18-l12270,/ɔː/ | /ɔː/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
more," That every pang with resolution bore,",bsb18-l20805,"Yes, she is gone! that bosom beats no more",bsb18-l20795,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0280
before, And a blood-tinctured falchion he bore;,bao18-l00010, Had never distained it before. ,bao18-l00020,/ɔː/ | /ɔː/,full,x<b>a</b>x<b>a</b>,pers00279,bao18-w0010
more,""" Altho' a peasant's form I bore;",bmb97-l02515,""" And hid my sentiments no more. ",bmb97-l02525,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0050
more," Find Woes sufficient for each Son she bore,",o4672-l16130, As tho' our Mother Nature cou'd no more,o4672-l16125,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>a,pers00292,o4672-w0680
store," Find Woes sufficient for each Son she bore,",o4672-l16130," Friendship divides the Shares, and lengthens out the Store. ",o4672-l16135,/ɔː/ | /ɔː/,full,a<b>a</b><b>a</b>,pers00292,o4672-w0680
