r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
loath, Not to be thought expert in Both. ,pmp18-l33365," Now I should be extremely loath,",pmp18-l33360,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
loath, And in due time feeds heartily on both;,o3794-l22415," He takes what he at first profess'd to loath,",o3794-l22410,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
oath,"The Dargain made betwixt 'em both,",o5354-l00105,Was bound by Honour and by Oath:,o5354-l00110,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
oath, And I'll henceforth be loyal to both. ,bjl92-l05925," I'll bind myself fast by an oath,",bjl92-l05915,/əʊθ/ | /əʊθ/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0210
oath, And Dread of Dogs and Poets both),o3665-l00460," Has sworn by Sticks (the Poet's Oath,",o3665-l00455,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
froth," (Whether thro' Rage or Love, or both)",psw11-l01245," Beside, it Spues a filthy Froth,",psw11-l01240,/əʊθ/ | /ɒθ/,half-pararhyme,<b>a</b><b>a</b>,pers00148,psw11-w0050
oath,"But here's the Captain, that will plague you both,",o3683-l01230, Whose Air cries Arm! whose very Look's an Oath:,o3683-l01235,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
growth, And poison'd every virtue in them both. ,o3794-l07610," Pride has attain'd its most luxuriant growth,",o3794-l07605,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
growth," Mere fallacy, or foolishness, or both,",o3794-l09610,"Is virtue then, unless of christian growth,",o3794-l09605,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
loath,"And quickly passing, ease us both.",o5152-l41260,"But quit the blest abode, tho' loth,",o5152-l41255,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00014,o5152-w0410
loath, He comes to mourn the cause which ruins both;,o5400-l03320," No, rather to these sad proceedings loath,",o5400-l03315,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00345,o5400-w0010
oath," The pious motive's much the same in both,",pjo50-l02405," In him that swears, and him that fears an oath. ",pjo50-l02410,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0030
sloth,"A friend they chose, a friend to both,",o5154-l22225,"Of AV'RICE born, and nurs'd by SLOTH;",o5154-l22230,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00075,o5154-w0340
oath," Consents to wed, and so secures them both. ",pcr18-l05650," But, while the falt'ring damsel takes her oath,",pcr18-l05645,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0020
truth," How the Dissenters can be charg'd by both,",o4437-l02355," Two Contraries agree, and neither of them Truth;",o4437-l02360,/əʊθ/ | /uːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00346,o4437-w0010
loath, To name the dead) was a rare proof of both. ,o4002-l01970,M— (on such occasion I am loath,o4002-l01965,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
truth," Dreadful to Error, Vigilant of both.",o4299-l02745,"Fiercely tenacious of determin'd Truth,",o4299-l02740,/əʊθ/ | /uːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00346,o4299-w0010
loath," Would speak on either side or both,",o3552-l03860," Who to be silent always loth,",o3552-l03855,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
sloth," And felt alike by each, advances both,",o3795-l28665," Allows short time for play, and none for sloth,",o3795-l28660,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
growth, An evidence and reprehension both,o3795-l29520, Of the mere school-boy's lean and tardy growth. ,o3795-l29525,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
oath,That would appear too hard for both.,o5154-l29895,"For they had evidence on oath,",o5154-l29890,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
troth,You'll swear 't must needs be both.,o5153-l36625,You'll scarce believe my troth;,o5153-l36615,/əʊθ/ | /əʊθ/,full,a<b>b</b>a<b>b</b>,pers00123,o5153-w0740
loath, Men should feel joys not felt by both. ,o4899-l05860," And women, Will, are very loath",o4899-l05855,/əʊθ/ | /əʊθ/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
