r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
surrounds,All-gracious God! whose goodness knows no bounds! ,o4986-l18050,Whose power the ample universe surrounds! ,o4986-l18055,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
wounds," If with those Thorns that Love's soft Empire bounds,",o5125-l20435, Successful Rivals give the deepest Wounds:,o5125-l20440,/aʊndz/ | /uːndz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
resounds,"With dashing seas, fair Freedom's honest bounds,",o5154-l09085,Lead him where Dover's rugged cliff resounds,o5154-l09080,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
rounds, Infinite Lengths beyond the Bounds,o4672-l07340, Where the Skies roll their little Rounds. ,o4672-l07345,/aʊndz/ | /aʊndz/,full,aa<b>b</b><b>b</b>,pers00292,o4672-w0370
sounds," Who wantonly transgresses Nature's bounds,",o4600-l01860,"M—KL—N, who largely deals in half-form'd sounds,",o4600-l01855,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
sounds," She joyful hears, and from the Ocean bounds. ",pdi22-l04665,His Mate he calls with softly hissing Sounds;,pdi22-l04660,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
wounds,"Within his Jaws enclos'd he furious bounds,",pdi22-l07845," Strikes at the Roof, and leaves the killing Wounds. ",pdi22-l07850,/aʊndz/ | /uːndz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
resounds," Skims o'er the Dale, and from the Mountain bounds;",pdi22-l11895, With braying Plaints the vocal Wood resounds. ,pdi22-l11900,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
sounds, Back from his harder front the bottle bounds:,o4039-l05085,"Upon his front the stubborn vessel sounds,",o4039-l05080,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
confounds,"The trav'ler, leaping o'er those bounds,",ojg27-l04515, The credit of his book confounds;,ojg27-l04520,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0190
confounds,"Would less content thee, prudent mark the bounds!",o5154-l05035,"How wide, such lust of liberty confounds!",o5154-l05030,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
rounds,"The yellow broom that gilds its farthest bounds,",o5137-l00145," Mark, where light fairies nightly trip their rounds,",o5137-l00155,/aʊndz/ | /aʊndz/,full,<b>a</b>b<b>a</b>b,pers00284,o5137-w0010
sounds," The varied circle this horizon bounds,",o5137-l00330, Still shadowy visitants breath'd heav'nly sounds. ,o5137-l00340,/aʊndz/ | /aʊndz/,full,a<b>b</b>a<b>b</b>,pers00284,o5137-w0010
wounds,"To name the kings, and give each kingdom bounds;",o5152-l00100,"Compleatly form'd, to heal the Christian wounds,",o5152-l00095,/aʊndz/ | /uːndz/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0010
grounds," Before his Lord the ready Spaniel bounds,",o3704-l00510," Panting with Hope, he tries the furrow'd Grounds,",o3704-l00515,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
hounds,As near an ancient forest's bounds,pcm93-l04260, The sprightly noise of horns and hounds,pcm93-l04270,/aʊndz/ | /aʊndz/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0060
confounds,"In sock or buskin, who o'erleaps the bounds,",o5089-l08315," Disgusts our reason, and the taste confounds. ",o5089-l08320,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00179,o5089-w0100
surrounds,To either pole and life's remotest bounds.,tgaen-l04885,"His sable sons with nearer course surrounds,",tgaen-l04880,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00039,tgaen-waleg
sounds," No more at Voice of Warring Musick bounds,",oas95-l00415, He feels New Passion as the Trumpet sounds;,oas95-l00420,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00334,oas95-w0010
surrounds, A Yard of Room his sphere of Action bounds;,o3378-l00850,"No circling Gold his royal brow surrounds,",o3378-l00845,/aʊndz/ | /aʊndz/,full,<b>a</b><b>a</b>,pers00337,o3378-w0010
