r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
brow,"See Acamas with Time's sad Burden bow,",o5125-l05755, Guilt in his Breast and Wrinkles on his Brow;,o5125-l05760,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0180
glow," Such courtly Friends are like the show'ry Bow,",o5125-l05845, Ting'd with false Lustre by Reflexion glow:,o5125-l05850,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
now," The Roman taught thy stubborn knee to bow,",o3794-l12365, Though twice a Caesar could not bend thee now:,o3794-l12370,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
now,"Prove it — if better, I submit and bow. ",o3794-l13150,"And did they dream, and art thou wiser now? ",o3794-l13145,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
glow,At Newton's shrine they bow!,o5157-l33720,Behold their ardent bosoms glow!,o5157-l33735,/əʊ/ | /əʊ/,full,aabccbdedeffgghhiikkllmmnn<b>o</b>pp<b>o</b>qrqrssttuuvvwwyyzz,pers00058,o5157-w0670
low, Which hardly deigns to bow,pma99-l02145, Of the sharp axe laid low. ,pma99-l02155,/əʊ/ | /əʊ/,full,a<b>b</b>a<b>b</b>,pers00306,pma99-w0090
avow, See rescu'd Britain at your Altars bow:,pmp18-l06660, And hear her Hymns your happy Care avow:,pmp18-l06665,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0225
brow,"Nor deigns she to return one aukward bow,",o5154-l20960,"But no rejoicings can unbend her brow,",o5154-l20955,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0320
flow," Let the Eternal Pillars bow,",o4672-l02265, And make the Chrystal Mountains flow. ,o4672-l02275,/əʊ/ | /əʊ/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0120
now,"I interrupt him with a sudden bow,",o3794-l22130, Adieu dear Sir! lest you should lose it now. ,o3794-l22135,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
vow," Once again to thee I bow,",pcm93-l10225, Pour to thee my ardent vow. ,pcm93-l10235,/əʊ/ | /aʊ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0240
now," Vanquish'd, at beauty's foot to bow. ",o5089-l33820," And kinder business brings me now,",o5089-l33815,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00141,o5089-w0710
disallow, Nor to Antiquity submissive bow;,o4600-l03100,"BUT, though Prescription's force we disallow,",o4600-l03095,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
below," Gilds the rich lance, or beautifies the bow;",o4039-l00815," Where the artificer in realms below,",o4039-l00810,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00288,o4039-w0070
brow,Wait we till faithless France submissive bow,o5157-l05640,"Whose light'ning smote Rebellion's haughty brow,",o5157-l05650,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00038,o5157-w0073
show,"Life's emblem fit, said I, that roscid bow!",o5156-l27745,"To real semblance tricks her air shew,",o5156-l27755,/əʊ/ | /əʊ/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o5156-w0780
brow, In the gay forehead of the showery bow:,o4985-l21780, Gilding with borrow'd light the mountain's brow;,o4985-l21770,/əʊ/ | /aʊ/,half-pararhyme,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
below,"She bids the fringed Osiers bow,",o5157-l38635,"And rustle round the lake below,",o5157-l38640,/əʊ/ | /əʊ/,full,ababccddeeff<b>g</b><b>g</b>hh,pers00051,o5157-w0870
glow," With all the colours of the watery bow,",o4987-l21245, For tho' on citron boughs they proudly glow,o4987-l21240,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
vow," The stubborn heart, that scorns to bow",o4987-l29610, And harsh rejects the honest vow:,o4987-l29615,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00189,o4987-w0820
vow," The stubborn heart, that scorns to bow,",o5089-l21870, And harsh rejects the honest vow:,o5089-l21875,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00189,o5089-w0450
now, No more to its Imperious Yoke I'll bow;,oar96-l09845, Pride and Resentment fortify me now. ,oar96-l09850,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0510
now," 'Twas I that made the lovely Fl—n bow,",oar96-l10005," A proud contemner of thy Laws, till now;",oar96-l10010,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0510
now, To Thee our Souls we bow;,o3900-l22405, Heirs of thy Glory now. ,o3900-l22415,/əʊ/ | /aʊ/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00310,o3900-w1180
doe,As when unerring from the Huntsman's Bow,pdi22-l01910, The feather'd Death arrests the flying Doe;,pdi22-l01915,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
brow, And all before you bow;,o4039-l03620, Or wreath your frowning brow,o4039-l03635,/əʊ/ | /aʊ/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00288,o4039-w0160
flow, With the warm colours of the lucid bow. ,bhw18-l05360, Then paint the drooping clouds from which they flow,bhw18-l05355,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
brow, What Persian Votary will bow? ,o4784-l12785,"Now Darkness sits upon thy Brow,",o4784-l12780,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0380
brow,"MANHOOD, of form erect, who would not bow",o3587-l00995, Tho' Worlds should crack around him; on his brow,o3587-l01000,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3587-w0010
brow," Tho' you with tott'ring Age shall bow,",o5125-l09535, And Wrinkles scar your lovely Brow;,o5125-l09540,/əʊ/ | /aʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0260
now,Wherefore that reluctant Bow? ,o5125-l00875,"Say, have you forgot me now? ",o5125-l00885,/əʊ/ | /aʊ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00154,o5125-w0030
throw," The darts drop quivering from each slackened bow,",pmt18-l13855," The weighty falchion, or the javelin throw;",pmt18-l13865,/əʊ/ | /əʊ/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
