r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bestows,"For ev'ry grace to which submission bows,",o5157-l27060,"The pow'r which conscious dignity bestows,",o5157-l27065,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
snows, Where puny Pigmies bend their hostile Bows. ,pdi22-l05215," Bleak Atlas leave, and Æthiopia's Snows,",pdi22-l05210,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
spouse," Where Michael with his millions bows,",psm63-l00560," Where dwells the seraph and his spouse,",psm63-l00565,/əʊz/ | /aʊs/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
brows,Lo! at thy shrine the victor bows;,o5280-l00825, Thy poppies now entwine his brows:,o5280-l00830,/əʊz/ | /aʊz/,half-pararhyme,<b>a</b><b>a</b>,pers00277,o5280-w0030
vows," With twenty Squeezes, and a hundred Bows,",o4741-l23675," As many Compliments, as many Vows,",o4741-l23680,/əʊz/ | /aʊz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0460
knows,"Ev'n there, by meaning Looks, and cringing Bows,",pmc36-l00675, The Female Idol her Adorer knows! ,pmc36-l00680,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0010
brows," Before whose infant eyes the flatt'rer bows,",o3794-l00665, And binds a wreath about their baby brows. ,o3794-l00670,/əʊz/ | /aʊz/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0010
glows,"Forc'd Compliments, and formal Bows",pmp18-l01020," The Heat, with which thy Lover glows,",pmp18-l01030,/əʊz/ | /əʊz/,full,<b>a</b>b<b>a</b>bcc,pers00314,pmp18-w0040
brows,"As with sweet grace her snowy neck she bows,",o4671-l13925, A zone of diamonds trembles round her brows;,o4671-l13930,/əʊz/ | /aʊz/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0020
goes,"Haste, or the crowd will not permit our bows;",o5152-l10565,See TINTORETTA to the opera goes!,o5152-l10560,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
flows," Where not one lying line to rihes bows,",o5398-l05515, Or poison'd sentiment from rancour flows;,o5398-l05520,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
house,His pliant votes and bows.,o5156-l06210,But gets into the house;,o5156-l06200,/əʊz/ | /aʊz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00035,o5156-w0210
vows,In humble trust my spirit bows.,bed98-l22435,"Oh, deign to hear my evening vows;",bed98-l22425,/əʊz/ | /aʊz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0830
