r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tribe," And serving him, his Favour bribe. ",o4784-l08815,"Who proffer'd Safety to her Tribe,",o4784-l08805,/aɪb/ | /aɪb/,full,<b>a</b>a<b>a</b>,pers00268,o4784-w0200
describe," And serving him, his Favour bribe. ",o4784-l08815," Wou'd she but shew them or describe,",o4784-l08810,/aɪb/ | /aɪb/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0200
tribe, But what's the sequel? — Exit with a bribe. —,o4986-l08485, With ready lash pursues the venal tribe:,o4986-l08480,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00236,o4986-w0180
describe," Pride cannot catch it, nor importance bribe; —",o5137-l00945," The spell all feel, but never can describe,",o5137-l00935,/aɪb/ | /aɪb/,full,a<b>b</b>a<b>b</b>,pers00284,o5137-w0010
tribe, Oh let me thus your friendship bribe! ,o4986-l12310,"My trees for you, ye artless tribe,",o4986-l12300,/aɪb/ | /aɪb/,full,<b>a</b>b<b>a</b>b,pers00142,o4986-w0280
tribe, Will sneer and charge you with a bribe. A bribe? ,o3794-l00470.1,"Guard what you say, the patriotic tribe",o3794-l00465,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
tribe, Will sneer and charge you with a bribe. A bribe? ,o3794-l00470.2,"Guard what you say, the patriotic tribe",o3794-l00465,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
subscribe,"This prints my Letters, that expects a Bribe,",o3674-l00565," And others roar aloud, ""Subscribe, subscribe. ",o3674-l00570,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
harpy-tribe,Untainted by the guilty bribe;,o5155-l25635,Uncurs'd amid the harpy-tribe;,o5155-l25640,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00081,o5155-w0440
tribe," Yet his just Prince, without a bribe,",o4984-l07275, Love — more than all the venal tribe! ,o4984-l07280,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00218,o4984-w0050
scribe, Those gifts which Contentment can bribe. ,bsb18-l12550, Whom Nature appoints as her scribe;,bsb18-l12540,/aɪb/ | /aɪb/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0140
tribe," The yearly dinner, or septennial bribe,",pcr18-l04060," Who, only skill'd to take the finny tribe,",pcr18-l04055,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0020
tribe, And proud disdain of interest's sordid bribe;,o3555-l01690, And generous scorn of vice's venal tribe;,o3555-l01685,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00149,o3555-w0020
tribe, Who barter virtue for a bribe. ,bjl92-l11580,"O Janet, shun the coxing tribe,",bjl92-l11575,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0480
describe,"No danger should fright me, no millions should bribe;",o5152-l12700,"From such a dear lover, as here I describe,",o5152-l12695,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00001,o5152-w0120
tribe,"The slaves who take, and deal the bribe,",o5153-l26210,"O! shall the bought, and buying tribe,",o5153-l26205,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>bccb,pers00119,o5153-w0430
tribe,"Whom fear can sway, or guilty greatness bribe;",o5154-l39470,"With taste superior scorn'd the venal tribe,",o5154-l39465,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
tribe,"Robs altars, or is perjur'd for a bribe:",o5157-l12495,"Villain, or knave, he joins the sharping tribe,",o5157-l12490,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00125,o5157-w0120
tribe, And fold her arms against the bribe. ,o4103-l20430," E'en there she'd spurn the venal tribe,",o4103-l20425,/aɪb/ | /aɪb/,full,aabbcc<b>d</b><b>d</b>,pers00254,o4103-w0270
tribe,"They can't pretend Int'rest, thy Lines doth Bribe",pse03-l01710," With which they censure, the Canonick Tribe:",pse03-l01715,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00272,pse03-w0030
subscribe, While fame and self-complacence are the bribe. ,o3794-l19870," Extravagance and av'rice shall subscribe,",o3794-l19865,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
tribe, And still Corruption longs for every bribe. ,o4985-l08905,"Still at the levee swarms the venal tribe,",o4985-l08900,/aɪb/ | /aɪb/,full,<b>a</b><b>a</b>,pers00192,o4985-w0140
