r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
suit,Those attributes which sink the brute.,o5153-l23930,As if superior beings suit,o5153-l23925,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
root, Small diff'rence 'twixt the Stoic and the Brute. ,o4600-l03300,"For still you'll find, trace passions to their root,",o4600-l03295,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
dispute, And raise his Thoughts above the Brute;,o4784-l22630, Howe'er Philosophers dispute. ,o4784-l22645,/uːt/ | /uːt/,full,a<b>b</b>aa<b>b</b>,pers00268,o4784-w0760
suit, And sink the conqueror beneath the brute. ,o4111-l00650," Triumphs like these but ill with Manhood suit,",o4111-l00645,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
suit, So men have got from Bird and Brute,psw11-l01020, Names that would best their Natures suit:,psw11-l01025,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00148,psw11-w0050
dispute," No Fiend's so cruel as a Reas'ning Brute,",ppo24-l10450," A Tyger! worse; for 'tis beyond dispute,",ppo24-l10445,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
dispute," When up arose th' unweildy Brute,",o4784-l00035," And wou'd repeat a late Dispute,",o4784-l00040,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00268,o4784-w0010
pursuit," He proves, less happy than his favour'd brute,",o3794-l28430, A life of ease a difficult pursuit. ,o3794-l28435,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
dispute, I am lord of the fowl and the brute. ,o3794-l29830," My right there is none to dispute,",o3794-l29820,/uːt/ | /uːt/,full,a<b>b</b>a<b>b</b>cdcd,pers00269,o3794-w0130
suit," Not better much, than spectacles a brute,",o3795-l30150, Whom care and cool deliberation suit,o3795-l30145,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
repute,And man's chief good to sink into a brute.,o5157-l14205,"These high fruition their gross souls repute,",o5157-l14200,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00125,o5157-w0120
dispute," Supreme of Seers, of Angel, Man, and Brute;",pmp18-l44120,"'Tis said, that Thou can'st plausibly dispute,",pmp18-l44115,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
suit," His manners with his fate, puts on the brute. ",o3794-l18300," Puts off his gen'rous nature, and to suit",o3794-l18295,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
compute," How Sommonokodon his worshipp'd brute,",o4987-l28195,Let the delirious Siamois compute,o4987-l28190,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00255,o4987-w0780
fruit," But Reason best can lift him from the brute,",o4267-l00515,"Not that each shrub can hang with golden fruit,",o4267-l00505,/uːt/ | /uːt/,full,<b>a</b>b<b>a</b>b,pers00331,o4267-w0010
