r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
war," While willing legions crowd around his car,",o4986-l18450, And rush impetuous to the righteous war. ,o4986-l18455,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00210,o4986-w0400
fair," Behold him stretch'd — dragg'd at Achilles' car,",pcc86-l03005, Fat'lly engag'd for a deluded fair:,pcc86-l03010,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00323,pcc86-w0230
far," Phoebus drives his burning car,",o4986-l28365," Hence, my lovely STELLA, far;",o4986-l28370,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00029,o4986-w0650
far,"See the world's victor mount his car,",o5156-l16430,"Blood marks his progress wide and far,",o5156-l16435,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>bccb,pers00097;pers00044,o5156-w0570
afar, The heroe seated in fantastic car! ,o4600-l01950," Harlequin comes their chief! — See, from afar,",o4600-l01945,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
appear,Pale Cynthia mounted on her silver car,o5156-l27545,"See a torn abbey, wrapt in gloom, appear",o5156-l27555,/ɑː/ | /ɪə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdee,pers00050,o5156-w0780
far,"Scarce had she spoke, when that cherubic car,",o4985-l21695," That whirl'd the holy sage from Chebar far,",o4985-l21705,/ɑː/ | /ɑː/,full,<b>a</b>b<b>a</b>bcdcdee,pers00058,o4985-w0300
war,"By old GALGACUS' scythed, iron car,",o5155-l22695,"That swiftly whirling thro' the walks of war,",o5155-l22700,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00049,o5155-w0350
year," Wing'd Zephyrs wanton round his car,",o4987-l06040,"Day's monarch comes to bless the year,",o4987-l06035,/ɑː/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>bccb,pers00201,o4987-w0220
star," No more I'll wish for fam'd Aurora's car,",pma99-l06990," To drive me forth, high as the morning star;",pma99-l06995,/ɑː/ | /ɑː/,full,aa<b>b</b><b>b</b>cc,pers00306,pma99-w0340
war," Till Neptune rising on his coral car,",o4985-l13910,"But rush'd undaunted to the doubtful war,",o4985-l13900,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00176,o4985-w0220
far, No ray from Grandeur's gilded car,o4987-l07870," Let no rude sound invade from far,",o4987-l07860,/ɑː/ | /ɑː/,full,abab<b>c</b>d<b>c</b>d,pers00207,o4987-w0250
far,"Convey'd in Venus' flying car,",o5156-l19270,"Far from my theme, from method far,",o5156-l19265,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00101,o5156-w0640
star,Borne on a high triumphal car,bsb18-l17135," The Fairy Queen, like some bright star",bsb18-l17145,/ɑː/ | /ɑː/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0220
war," While Mars refulgent on his ratling Car,",o4106-l06860, Arrests his raging Rival of the War. ,o4106-l06865,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00294,o4106-w0090
far,"Thron'd in the sun's descending car,",o3776-l00965, What Pow'r unseen diffuses far,o3776-l00970,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>bccb,pers00047,o3776-w0030
war, And Justice drove his airy car;,o5089-l23625, His wrinkled brow denouncing war;,o5089-l23615,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00054,o5089-w0480
far," A knight, high mounted on a glittering car,",pmt18-l07990,"He spoke, but spoke in vain, for lo! from far,",pmt18-l07980,/ɑː/ | /ɑː/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
star," A knight, high mounted on a glittering car,",pmt18-l07990, From whose conspicuous crest flames wide a dazzling star. ,pmt18-l07995,/ɑː/ | /ɑː/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
far,But scarcely had she climbed the fatal car,pmt18-l08090," The traversed plains and woods, receding far,",pmt18-l08100,/ɑː/ | /ɑː/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
star," To Britain's isle direct their car,",o4985-l15680, And enter'd with the evening star. ,o4985-l15685,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00032,o4985-w0250
air,"Guard in pomp the sliding car,",o5153-l11670,"Fly, and through the limpid air",o5153-l11665,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
air,"Guard in pomp the sliding car,",o5153-l11740,"Fly, and through the limpid air",o5153-l11735,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
air,"While the softly-sliding car,",o5153-l11840,"Fly, and charm the limpid air,",o5153-l11835,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
air,We attend our monarch's car;,o5153-l11865,Thus we charm the silent air.,o5153-l11870,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
war," Seek power's bright throne, and fame's triumphal car. ",o4984-l07800,Some thro' opposing crowds and threatning war,o4984-l07795,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o4984-w0070
war,And hail'd the passing car?,o5157-l04065,"That rush'd impatient to the war,",o5157-l04055,/ɑː/ | /ɔː/,half-pararhyme,ababc<b>d</b>c<b>d</b>eeffgghihikklmml,pers00038,o5157-w0060
war,Now Cancer glows with Phoebus' fiery Car;,o3704-l00750, The Youth rush eager to the Sylvan War;,o3704-l00755,/ɑː/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3704-w0010
star,"The moon on high check'd her nocturnal car,",cer72-l00075," And list'ning staid, with ev'ry ling'ring star. ",cer72-l00080,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
war,When o'er thy bosom roll'd the funeral car.,o5157-l04885,"His youthful triumphs in the mimic war,",o5157-l04875,/ɑː/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00038,o5157-w0071
afar," With wonder, views her radiant Brothers Car:",oar96-l04970," Below, her own Diana from afar,",oar96-l04965,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00265,oar96-w0200
air," Bright as the morn, descends her blushing car;",o4671-l00420,"She comes! — the GODDESS! — through the whispering air,",o4671-l00415,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0010
star," From each bright gem of Day's refulgent car,",o4671-l00535," From the pale sphere of every twinkling star,",o4671-l00540,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
afar," Drag the slow barge, or drive the rapid car;",o4671-l01570," ""Soon shall thy arm, UNCONQUER'D STEAM! afar",o4671-l01565,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
sister-star," Rose on swift wheels the MOON's refulgent car,",o4671-l03515," Circling the solar orb, a sister-star,",o4671-l03520,/ɑː/ | /ɑː/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
