r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shares," The ease of millions rests upon his cares,",o4986-l17780, And thus Heaven's high prerogative he shares. ,o4986-l17785,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
shares, Thy faithful Delia's joys and cares;,o4987-l10055," When thy dear, tender bosom shares",o4987-l10050,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00209,o4987-w0300
shares,The publick loss or private cares;,o5153-l23570,From social sympathy that shares,o5153-l23565,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
prepares,"Receive it then, t'expel these mortal Cares,",o4784-l22100," Nor wave a Med'cine, which thy God prepares. ",o4784-l22105,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0690
years, For I see thou'rt grown gray with thy cares;,bsb18-l24310, Of the pleasure of far distant years. ,bsb18-l24320,/eəz/ | /ɪəz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0370
prayers," Calm as that heart devoid of lovers' cares,",bsb18-l13235, That plagues not Hymen with incessant prayers;,bsb18-l13240,/eəz/ | /eɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0180
shares,"Where all are conscious of her cares,",o5157-l02290,"And each the power, that rules him, shares;",o5157-l02295,/eəz/ | /eəz/,full,aa<b>b</b><b>b</b>ccdeed,pers00047,o5157-w0020
bears," Nor sadly soothing his own Cares,",o4602-l01215, Augments himself the Weight he bears. ,o4602-l01220,/eəz/ | /eəz/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0020
affairs," Worldly Desires, and Household Cares",pmp18-l33620, Disturb the Godhead's soft Affairs:,pmp18-l33625,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
heirs," The Miser's Charity, the Drunkard's Cares;",o5125-l23760," The Wealth of Poets, and the Tears of Heirs;",o5125-l23765,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0580
tears,""" There shall they live remov'd from all the cares,",o4985-l21350,""" No greedy Want, nor wayard Lust, that tears",o4985-l21360,/eəz/ | /ɪəz/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdee,pers00058,o4985-w0300
spheres," Lift, lift my thoughts above life's groveling cares,",o4985-l21975," Hear then, ye sainted myriads, from your spheres,",o4985-l21965,/eəz/ | /ɪəz/,half-pararhyme,abab<b>c</b>d<b>c</b>dee,pers00058,o4985-w0300
affairs," They lay aside their private cares,",cbu86-l00605, To mind the Kirk and State affairs;,cbu86-l00610,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00307,cbu86-w0010
wears,"Nor lessen'd hopes, nor growing cares,",o5156-l02435,"Methinks no frown that Fortune wears,",o5156-l02430,/eəz/ | /eəz/,full,a<b>b</b><b>b</b>a,pers00035,o5156-w0050
rears,"These lightsome Walls, beneath thy generous cares",bse96-l01215, While at thy voice clear-cheek'd Hygeia rears,bse96-l01225,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00282,bse96-w0030
prayers," ""But thou despisest all paternal Cares,",o4741-l09515,""" The Fate of Infants, and their Mother's Pray'rs. "" ",o4741-l09520,/eəz/ | /eɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
years, And lose my Breath and all my Cares,o4672-l01830,"I'de leap at once my Seventy Years,",o4672-l01820,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0090
shares,"To Whom in Song repeat my Cares,",pmp18-l09465, But Her who in my Sorrow shares? ,pmp18-l09470,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0350
pears," Be thine, O Lydia, to reward thy Cares. ",o5125-l02580, My hoarded Apples and my winter Pears,o5125-l02575,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0090
years," Have crown'd her woodland joys, and fruitful cares. ",pye85-l06865," Of axe relentless, 'till twice fifty years",pye85-l06860,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00256,pye85-w0170
snares, Weary'd with struggling thro' unnumber'd Cares:,pba35-l02740," Shew him, in riper Years, beset with Snares,",pba35-l02735,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00087,pba35-w0150
prepares, And eases humble life of half its cares;,pcr18-l12920," If poor, delay for future want prepares,",pcr18-l12915,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
affairs,"Stephen, meantime, to ease his amorous cares,",pcr18-l14595, Fix'd his full mind upon his farm's affairs;,pcr18-l14600,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
prayers," Compose the soul, and fit it for its cares;",pcr18-l15300," Their rest, their labours, duties, sufferings, prayers,",pcr18-l15295,/eəz/ | /eɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
snares,And yet avoid its dangers and its cares.,o5157-l10945,"Without oppression, toil, or treach'rous snares;",o5157-l10935,/eəz/ | /eəz/,full,a<b>b</b>a<b>b</b>,pers00088,o5157-w0100
prayers,"NOW spent the alter'd King, in am'rous Cares,",o4784-l06165, The Hours of sacred Hymns and solemn Pray'rs:,o4784-l06170,/eəz/ | /eɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0140
prayers,"Oh spare (he cries) the Product of my Cares,",o4784-l06630," My Stock's Encrease, the Blessing on my Pray'rs;",o4784-l06635,/eəz/ | /eɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0140
years," In Labour spent, and lowly Rustick Cares,",o4784-l06730," To lead thee back to those forgotten Years,",o4784-l06725,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0140
tears," There ost disclos'd in vain her poignant cares,",o4985-l14190,"Thy widow'd fair, her cheek bedew'd with tears,",o4985-l14180,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00176,o4985-w0220
impairs,"""A youth of follies; and old age, of cares:",o5154-l01475,"""Vice wastes their vigour, and their mind impairs.",o5154-l01485,/eəz/ | /eəz/,full,a<b>b</b>a<b>b</b>cdcdee,pers00031,o5154-w0050
years,The lovely partner of his joys and cares.,bed98-l05490,"Sudden he lost, in pride of blooming years,",bed98-l05485,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
spheres, High Stations often bring a Weight of Cares;,o4741-l15530, True Happiness is found in humble Spheres:,o4741-l15535,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
airs,"Can harmonize my soul, or sooth my cares;",o5154-l15965,"Nor HANDEL'S, nor CORELLI'S tuneful airs",o5154-l15960,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0240
declares, And still its Love to Houshold Cares,psw11-l01740," By a shrill Voice at Noon declares,",psw11-l01745,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
bears,"But blest is he, who exercis'd in cares,",o5153-l03760,To private Leisure publick Virtue bears;,o5153-l03765,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00030,o5153-w0050
