r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
thought,"A glimpse of truth her native genius caught,",cac95-l06105, For all around woke analyzing thought;,cac95-l06110,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
brought,"Panting and spent, the wretched nymph they caught,",cac95-l07855, And fainting to the prince and nobles brought:,cac95-l07860,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
bought, More easie to be caught;,o4784-l02255, Nor in great Cities bought. ,o4784-l02270,/ɔːt/ | /ɔːt/,full,a<b>b</b>aa<b>b</b>,pers00268,o4784-w0050
thought,"Thy judgment saw, thy taste each beauty caught,",o4985-l09930, No senseless parrot of the poet's thought! ,o4985-l09935,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
taught,"No flame from Nature ever yet he caught,",o4600-l02985, Nor knew a feeling which he was not taught:,o4600-l02990,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
thought, To me they seem from quickest feelings caught:,o4600-l03665," Each start, is Nature; and each pause, is Thought. ",o4600-l03670,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fought, Great Edward's soul the flame of glory caught. ,o5280-l06680,"HERE, ere on Cressy's plain the victor fought,",o5280-l06675,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
thought," And I'm by Beauty caught,",o4106-l01735, Are fix't upon my Thought. ,o4106-l01745,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>,pers00294,o4106-w0040
taught, May by MELODY be caught. ,o5089-l37845," Shepherds, and would have you taught,",o5089-l37835,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>,pers00168,o5089-w0830
thought," But let her, with more worthy objects caught,",o3585-l01035, Strain all the faculties and force of thought,o3585-l01040,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
thought,"Her ears the grating truth had caught,",bed98-l10825,"And tho' she was no friend to thought,",bed98-l10830,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00340,bed98-w0300
taught, Their pleasing lesson first I caught;,o5089-l22245, The willing pupil she had taught. ,o5089-l22255,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>cdcd,pers00190,o5089-w0460
besought,Her winning voice the youth attentive caught:,o5154-l00970,"Still gaz'd, and listen'd: then her name besought:",o5154-l00980,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bcdcdee,pers00031,o5154-w0050
thought,"New-vigour to his soul, that sudden caught",o5154-l01675,Swells full; and labours with exalted thought:,o5154-l01685,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>cdcdee,pers00031,o5154-w0050
groat, To the bleak mountains where you first were caught. ,o5089-l21085,"Fly, or I'll send you back, without a groat,",o5089-l21080,/ɔːt/ | /əʊt/,half-pararhyme,<b>a</b><b>a</b>,pers00017,o5089-w0420
thought," Notes from yon exaltations caught,",psm63-l00290," Unrival'd royalty of thought,",psm63-l00295,/ɔːt/ | /ɔːt/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
thought," Who ne'er thro' heat of blood was tripping caught,",o4111-l00105," Nor guilty deem'd of one eccentric thought,",o4111-l00110,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
fought," With heaving Arms a rocky Fragment caught,",o4106-l06295, And fiercely flung where Troglodytes fought;,o4106-l06290,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
thought," Infectious fear from tainted scribblers caught,",pcr18-l07025," While he, bewilder'd, tells his anxious thought,",pcr18-l07020,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
fraught," Bursting with rage, a weighty bottle caught,",o4039-l05060," With crimson blood and vital spirits fraught,",o4039-l05065,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
thought,The gay and giddy can alone be caught,o5152-l37840,By the quick lustre of a happy thought;,o5152-l37845,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
thought,"Yet, 'tis but little that its form be caught,",o5152-l39130,Unless its origin be first in thought:,o5152-l39135,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
thought,Gen'rous as those the sons of Cecrops caught,o5155-l29895,In hoar Lycaeum's shades from Plato's fire-clad thought.,o5155-l29900,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00051,o5155-w0570
brought, Which wild in the Woods of Germania was caught. ,pba35-l13755,"To the late King of Britain a Savage was brought,",pba35-l13750,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00087,pba35-w1030
got, On SCOTIA's Mountains newly caught;,o4257-l00180," By chance a curious CUB had got,",o4257-l00175,/ɔːt/ | /ɒt/,half-pararhyme,<b>a</b><b>a</b>,pers00304,o4257-w0010
thought,"Soon as her glance fair Psyche's form had caught,",pmt18-l07865," ""Behold, Lusinga! couldst thou e'er have thought",pmt18-l07875,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
draught," In pursuit of Wealth been caught,",o4784-l03925, And punish'd with a golden Draught. ,o4784-l03930,/ɔːt/ | /ɑːft/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0080
taught," To her Paradise be caught,",o4784-l04135, And Things unutterable taught. ,o4784-l04140,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
forgot,"But, Triton, were no Lover to be caught,",pdi12-l01200," The Hair would be uncomb'd, the Song forgot. ",pdi12-l01205,/ɔːt/ | /ɒt/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0030
grot," My Naiads blythe the floating accents caught,",o4984-l24060, And listening danc'd beneath their pearly grot:,o4984-l24065,/ɔːt/ | /ɒt/,half-pararhyme,<b>a</b><b>a</b>,pers00053,o4984-w0440
thought," Ye high arch'd walks, where oft the bard has caught",o4984-l24330," The glowing sentiment, the lofty thought;",o4984-l24335,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
taught,These from thy source the fires of Freedom caught:,o4984-l24540, How well thy sons by their example taught! ,o4984-l24545,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
sought,And which I prize not when 'tis Caught. ,oat77-l05935,"A Prey that must with Toil be sought,",oat77-l05930,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00344,oat77-w0320
taught,"With outside show, and vain appearance caught",o3588-l00535," They look no farther, and, by Folly taught,",o3588-l00540,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
not,"But if you pass the threshold, you are caught,",o3794-l06850," Die then, if pow'r Almighty save you not. ",o3794-l06855,/ɔːt/ | /ɒt/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0020
brought,"Oft have I choicest Fish with Labour caught,",pdi12-l00310, And the sweet Prey to you a Present brought. ,pdi12-l00315,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0020
matched, As guld as has ever been catch'd. ,bsb18-l27365, And tou may be suin as weel match'd;,bsb18-l27355,/ætʃd/ | /ætʃt/,half-vowelrhyme,xaxax<b>b</b>x<b>b</b>,pers00280,bsb18-w0570
brought,"Nor, till a favouring look she caught,",bed98-l13430,Own'd the pretensions she had brought;,bed98-l13435,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
brought,"Soon as the king her eye had caught,",bed98-l14530,A sprig of amaranth she brought;,bed98-l14535,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
fraught,"Some fair occasion still she caught,",bed98-l14885,"With wonder working influence fraught,",bed98-l14880,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
sought,"With waking Care, when we at length have caught",pdi12-l04380," The mighty Prize, we so impatient sought;",pdi12-l04385,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0130
thought, The struggling victim rose and caught;,o4987-l31845, They both descended swift as thought. ,o4987-l31855,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>,pers00224,o4987-w0870
thought,"Ev'n I, who know th' original, am caught,",o5157-l23255,"I must applaud, my lord, the lucky thought;",o5157-l23250,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>a,pers00114,o5157-w0330
draught,"Ev'n I, who know th' original, am caught,",o5157-l23255,"And doubt my senses, when I view the draught,",o5157-l23260,/ɔːt/ | /ɑːft/,half-pararhyme,a<b>a</b><b>a</b>,pers00114,o5157-w0330
sought,But Fate has doom'd thee now; and thou art caught.,o5157-l25395,"Thro' all the world in vain for ages sought,",o5157-l25390,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00114,o5157-w0330
taught,"Sometimes in Hand the Spade or Plough he caught,",o3818-l04020," Of heavenly Truth, and practise what she taught. ",o3818-l04010,/ɔːt/ | /ɔːt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00020,o3818-w0010
fraught,"Sometimes in Hand the Spade or Plough he caught,",o3818-l04020, Forth-calling all with which boon Earth is fraught;,o3818-l04025,/ɔːt/ | /ɔːt/,full,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
draught,"Sometimes in Hand the Spade or Plough he caught,",o3818-l04020, Or rear'd the Fabrick from the finest Draught;,o3818-l04035,/ɔːt/ | /ɑːft/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
thought,"And in the vague excursion caught,",o5152-l17240,Brings home some rare exotick thought.,o5152-l17245,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
thought,"Nor runs, with wisdom's Sirens caught,",o5152-l17480,On quicksands swall'wing shipwreck'd thought;,o5152-l17485,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
