r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
vain,"In vain let Slavery shake her threatening chain,",o4986-l18180, And Persecution wave her torch in vain! ,o4986-l18185,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
vain," Or strive the raging winds, to chain? ",o4091-l24050,All other aid but that were vain. ,o4091-l24040,/eɪn/ | /eɪn/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
pain," I scorn'd, like a monkey, to dangle my chain,",o4198-l02935,"I chose without liking, and left without pain,",o4198-l02925,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>b,pers00288,o4198-w0150
swain," And, like his Milton, scorn'd the rhiming chain. ",o4985-l26875," And show the toils and pastime of the swain,",o4985-l26860,/eɪn/ | /eɪn/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
strain," And, like his Milton, scorn'd the rhiming chain. ",o4985-l26875," Right well he knew to raise his learned strain,",o4985-l26870,/eɪn/ | /eɪn/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
vain," And, like his Milton, scorn'd the rhiming chain. ",o4985-l26875," Receive this wreath, albe the tribute's vain;",o4985-l26885,/eɪn/ | /eɪn/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o4985-w0390
vain, Still the sad victim drags his galling chain;,yfs88-l01520," Yet reason, jutice, mercy, plead in vain,",yfs88-l01515,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
again, Drag no more a hopeless chain:,o3555-l05245, Love the maid that loves again. ,o3555-l05255,/eɪn/ | /en/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00149,o3555-w0150
again, Till Lok has burst his tenfold chain. ,o4986-l11935, To break my iron-sleep again;,o4986-l11930,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00039,o4986-w0260
vain, The Virgin's Tyrant and the Hero's Chain;,o5125-l20320," Honour a pageant Mistress of the vain,",o5125-l20315,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
remain, To make thy Spirit curse the galling Chain;,o5125-l20430," Beyond my Hate, if yet a Thought remain,",o5125-l20425,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
sustain, These Worlds of Nature in a mighty Chain;,o5125-l20650," Hear me, ye Pow'rs whose sacred Hands sustain",o5125-l20645,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
stain,"Long time Assyria bound them in her chain,",o3794-l10350," Till penitence had purg'd the public stain,",o3794-l10355,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
again,Till Lok has burst his tenfold chain;,tgaen-l09500,"To break my iron-sleep again,",tgaen-l09495,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
complain,"When sinking under a new weight of chain,",o5154-l09255,"The tortur'd Subject might be heard complain,",o5154-l09250,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
