r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
askance,"Ev'n he, should some indulgent chance",o5153-l30325,"Would eye the floating veil askance,",o5153-l30335,/ɑːns/ | /æns/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00038,o5153-w0530
sense," But just a Rhymer like by chance,",cbu86-l15540,"I am nae Poet, in a sense,",cbu86-l15535,/ɑːns/ | /ens/,half-pararhyme,<b>a</b><b>a</b>abab,pers00307,cbu86-w0270
pretence," But just a Rhymer like by chance,",cbu86-l15540," An' hae to Learning nae pretence,",cbu86-l15545,/ɑːns/ | /ens/,half-pararhyme,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0270
glance," But just a Rhymer like by chance,",cbu86-l15540,"Whene'er my Muse does on me glance,",cbu86-l15555,/ɑːns/ | /ɑːns/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0270
france,"The care of Nations left to whores or chance,",o5154-l10380,"Plund'rer of Britain, pensioner of France;",o5154-l10385,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
advance,"Achaians born, to try the glorious chance;",tgaen-l00305,"The love of honour bade two youths advance,",tgaen-l00300,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
advance," A fool must now and then be right, by chance. ",o3794-l21205," 'Tis hard if all is false that I advance,",o3794-l21200,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
advance," T'our selves we little owe, but much to chance,",ppo24-l07655," And if sometimes we make a wise advance,",ppo24-l07650,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
glance, Which alone can please by chance;,o4986-l28520,"Vain the casual, transient glance,",o4986-l28515,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00029,o4986-w0660
france," To crown the rest, he met by lucky Chance",o5125-l23820," The Wit of England, and the Truth of France. ",o5125-l23825,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>,pers00154,o5125-w0580
dance, Now take the Pleasure of thy Chaunce;,o4106-l02805," Whilst I with Mab my part'ner daunce,",o4106-l02810,/ɔːns/ | /ɔːns/,full,aab<b>c</b><b>c</b>b,pers00294,o4106-w0070
advance,' To what the Fav'rite Fools of Chance,o4106-l03395, 'But Virtue can it self advance,o4106-l03390,/ɑːns/ | /ɑːns/,full,<b>a</b><b>a</b>bccb,pers00294,o4106-w0070
