r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
past,"When British dames, for conscience sake, were chaste,",o5155-l36465,"IN ancient times, some hundred winters past,",o5155-l36460,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5155-w0870
embraced," Me to believe, that he was really chast,",oae86-l02865," And, without pattern, never had imbrac't:",oae86-l02870,/æst/ | /ækt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
taste, A bliss so exquisite and chaste —,o4739-l07110," A feast so dear to polish'd taste,",o4739-l07115,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
waist," Sweet as the incense of the Morn, and chaste",o3587-l01305," As the pure Zone, which circles DIAN's waist;",o3587-l01310,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
taste, For Fanny Price was lovely and was chaste;,pcr18-l15415," His bailiff's daughter suited much his taste,",pcr18-l15410,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
past," Could cheer the innocent, and guide the chaste:",pmt18-l12250," Though oft in warlike scenes her youth she past,",pmt18-l12260,/eɪst/ | /ɑːst/,half-pararhyme,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0024
taste, Commands desire be chaste. ,psm63-l02070, God sends to tempt the taste;,psm63-l02055,/eɪst/ | /eɪst/,full,aa<b>b</b>cc<b>b</b>,pers00254,psm63-w0010
cast,"The lewd will shun you, if your wife prove chaste;",o5152-l37860,"The jealous, if a smile on his be cast;",o5152-l37865,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00130,o5152-w0350
embraced," Blush, and resign the name of chaste;",o3396-l00505," Bid her, who young Endymion embraced,",o3396-l00500,/eɪst/ | /eɪst/,full,ababccdedea<b>f</b><b>f</b>ghghiikkll,pers00347,o3396-w0010
taste,But faith! he thought it was damn'd dull and chaste.,o5156-l33935,"In Milton's days such stuff might be the taste,",o5156-l33930,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00108,o5156-w0960
taste," Is so refin'd and delicate and chaste,",o3794-l02605, I was a poet too — but modern taste,o3794-l02600,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
waste," Sheds o'er their secret vows his influence chaste,",o4671-l14525, And decks with roses the admiring waste. ,o4671-l14530,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
graced," Her tender breast, as white, as pure, as chaste; —",o4671-l21195," Chaste, pure, and white, a zone of silver graced",o4671-l21190,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
waste,And leave its fountain chaste.,bed98-l12115,No time or use shall waste;,bed98-l12105,/eɪst/ | /eɪst/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0360
graced," Pleasing, tho' keen, of Humour free, tho' chaste,",o4002-l00175," Of sterling Genius with sound Judgment grac'd,",o4002-l00180,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
taste," To sooth the Vicious, and to shock the Chaste;",o4085-l00325," Whose utmost Views are to corrupt the Taste,",o4085-l00320,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00329,o4085-w0010
graced,"Stile Clodius honourable, Bufa chaste.",o5154-l38460,Then be your line with sharp encomiums grac'd:,o5154-l38455,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
confessed,"And own'd his flame was pure and chaste,",o5157-l29555,"All this Chlorinda's self confess'd,",o5157-l29550,/eɪst/ | /est/,half-pararhyme,<b>a</b><b>a</b>,pers00072,o5157-w0520
mayest," Not very sober though, nor very chaste;",o3795-l29990," Thyself meanwhile e'en shifting as thou may'st,",o3795-l29985,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
cast," Extravagant or sober, loose or chaste. ",o3795-l30810," Thence the prevailing manners take their cast,",o3795-l30805,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3795-w0080
misplaced, If none but sullen Saints can be thought Chast:),pse03-l03085," (But I see now my Charity's misplac'd,",pse03-l03080,/æst/ | /eɪst/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0090
embraced,Know farther yet; Whoever fair and chaste,o3695-l00335," Rejects Mankind, is by some Sylph embrac'd:",o3695-l00340,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
