r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
time,"Rich are her plains and fruitful is her clime,",yfs88-l01915," The scourge of tyrants, and the boast of time;",yfs88-l01920,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
rhyme,"Facing to the northern clime,",o4986-l11590, Thrice he traced the Runic rhyme;,o4986-l11595,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
rhyme,"Facing to the northern clime,",tgaen-l09155,Thrice he traced the runic rhyme;,tgaen-l09160,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
time,"What boots it, then, in ev'ry clime,",o5089-l34225," Thro' the wide-spreading waste of time,",o5089-l34230,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bbccdd,pers00185,o5089-w0720
time,"THE Muse, disgusted at an age and clime,",o5157-l37615,"In distant lands now waits a better time,",o5157-l37625,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00079,o5157-w0840
sublime, Adorn a Hero in the northern clime;,bsb18-l13320," Where Truth and Valour, simply, yet sublime,",bsb18-l13315,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
sublime," Once more beholds his friends, and native clime;",pjo50-l07845,"Perhaps your Captive now, on wings sublime,",pjo50-l07840,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0280
time, The weak exotic of another clime;,yfs88-l01020," There springs the plant, there blooms, through endless time,",yfs88-l01015,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
time," With her shall seek the bless'd, the favour'd clime,",o5280-l05215, Where each shall wait the aweful close of Time. ,o5280-l05220,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
prime,"Snatch'd from this low, inhospitable clime,",o3913-l00150, Ev'n in the pride and flow'r of youthful prime,o3913-l00160,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00304,o3913-w0010
time,"THE wife and great of every clime,",o5157-l01630,"Through all thy spacious walks of Time,",o5157-l01635,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bbccdeed,pers00047,o5157-w0020
time,"Then turn, and, while each western clime",o5157-l02100,"Presents her tuneful sons to Time,",o5157-l02105,/aɪm/ | /aɪm/,full,aabb<b>c</b><b>c</b>deed,pers00047,o5157-w0020
crime," And aweless gazes on the faded Clime,",bse96-l03675," In vernal airs, and hours, commits the crime",bse96-l03655,/aɪm/ | /aɪm/,full,a<b>b</b>baa<b>b</b>bacdcdcd,pers00282,bse96-w0120
time," And aweless gazes on the faded Clime,",bse96-l03675," Of sullenness to Nature; 'gainst the time,",bse96-l03660,/aɪm/ | /aɪm/,full,ab<b>b</b>aa<b>b</b>bacdcdcd,pers00282,bse96-w0120
rhyme," And aweless gazes on the faded Clime,",bse96-l03675," Dim in the gloom, and pale in the hoar rhyme,",bse96-l03680,/aɪm/ | /aɪm/,full,abbaa<b>b</b><b>b</b>acdcdcd,pers00282,bse96-w0120
time,"Say, hast thou seen in any age, or clime,",o5156-l37535,"Since thy bright race began to measure time,",o5156-l37540,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
rhime, Bravely attempts Parnassus's Hill to Clime;,pco62-l04875," Upon that State in high and lofty Rhime,",pco62-l04870,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00293,pco62-w0070
