r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bring, When the gadding gay woodbine no longer shall cling,bsb18-l06415,"Yet Nature, still changing, that season shall bring,",bsb18-l06405,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0030
thing," See how your manners round these cherubs cling,",bsb18-l09805," Your air, your words, your looks, your every thing. ",bsb18-l09810,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
wing," ""Strongly to earth his young affections cling,",cac95-l02360,""" While Fancy waves her bright and various wing;",cac95-l02365,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00301,cac95-w0050
ring,"High on the twig I've seen you cling,",ojg27-l09765," Play, twist and turn in airy ring;",ojg27-l09770,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0410
sing," The wee tots a'thegether cling,",bsb18-l27215, Syne tugs his cwoat an' bids him sing. ,bsb18-l27225,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>cdcd,pers00280,bsb18-w0560
fling," Their rapturous arms, with silver bosoms cling;",o4671-l07210,Round their translucent forms at once they fling,o4671-l07205,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
wing," Contending swarms on bending branches cling,",o4671-l09065, And nations hover on aurelian wing;,o4671-l09070,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
wing,"No sweet affection to thy bosom cling,",bhw18-l16680,O'er trackless oceans what impels thy wing? ,bhw18-l16670,/ɪŋ/ | /ɪŋ/,full,abbaabba<b>c</b>d<b>c</b>dcd,pers00276,bhw18-w0330
spring,"No sweet affection to thy bosom cling,",bhw18-l16680," Yet thou again to that dear spot canst spring,",bhw18-l16690,/ɪŋ/ | /ɪŋ/,full,abbaabbacd<b>c</b>d<b>c</b>d,pers00276,bhw18-w0330
bring," To THEE the aching heart shall cling,",o3982-l04705, And find the peace it does not bring. ,o3982-l04710,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
sing, But silent bats in drowsy clusters cling;,o5346-l03955," Those matted woods where birds forget to sing,",o5346-l03950,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
spring," Still to the bosom let your infant cling,",o4985-l14505, Unblam'd inebriate at that healthful spring. ,o4985-l14515,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00176,o4985-w0230
king," And was, so close do evil habits cling,",o3589-l02905," Till crown'd, a Beggar; and when crown'd, no King. ",o3589-l02910,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
