r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lock," From Break-fast reads, 'till twelve a Clock,",pmp18-l37225," Burnet and Heylyn, Hobbes and Lock:",pmp18-l37230,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
stroke," That tells his Being, what's a Clock. ",pmp18-l37490," But 'tis the Stomach's solid Stroke,",pmp18-l37485,/ɒk/ | /əʊk/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
struck," That telling others what's a Clock,",pmp18-l37635, She knows not what Her self has struck;,pmp18-l37640,/ɒk/ | /ʌk/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
rock,"That Madam shou'd by twelve a Clock,",o5354-l00135,"Tho' hitherto as hard as Rock,",o5354-l00140,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
cock, And the distant sounding clock;,o4985-l29940," Listening to the crowing cock,",o4985-l29935,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00049,o4985-w0470
cock," Briskly crows, (the shepherd's clock!) ",o5089-l36880,"IN the barn the tenant cock,",o5089-l36870,/ɒk/ | /ɒk/,full,<b>a</b>b<b>a</b>b,pers00168,o5089-w0800
flock," And waken'd by the lark, 'the sheperd's clock',",n22cs-l04150,"More blest the hind, who, from his bed of flock",n22cs-l04140,/ɒk/ | /ɒk/,full,abab<b>c</b>d<b>c</b>defefef,pers00290,n22cs-w0570
stock, Whose interest winds his conscience as his clock:,o4039-l04145," Twitcher, a rotten branch of mighty stock,",o4039-l04140,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
cock," Briskly crows, (the shepherd's clock)",o4986-l33645,"IN the barn the tenant cock,",o4986-l33635,/ɒk/ | /ɒk/,full,<b>a</b>b<b>a</b>b,pers00168,o4986-w0920
cock, Who serves the early Houshold for a Clock. ,o4784-l10860," Was but some paltry, Dunghill, Craven Cock,",o4784-l10855,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00268,o4784-w0300
flock," Machines themselves, and govern'd by a clock. ",o3795-l29365," Dismiss their cares when they dismiss their flock,",o3795-l29360,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
lock, Your Servant Sir — at Six a Clock. ,pmp18-l28375,"So, Sir, as sure as Key or Lock —",pmp18-l28370,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1000
rock,Soon as they heard the forward clock,bjl92-l11030, An' ilka lass took up her rock;,bjl92-l11040,/ɒk/ | /ɒk/,full,<b>a</b>b<b>a</b>bcdcdx,pers00338,bjl92-w0450
stock, Grows drowsy as the clicking of a clock. ,o3794-l14175," While conversation, an exhausted stock,",o3794-l14170,/ɒk/ | /ɒk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
