r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
enjoy," Instead of satisfying, does but cloy. ",o4741-l00765," For what they have more than they can enjoy,",o4741-l00760,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00091,o4741-w0020
joy,"Without thee all our pleasures cloy,",pro75-l05595,"Banish'd from thee, what's ev'ry joy,",pro75-l05585,/ɔɪ/ | /ɔɪ/,full,<b>a</b>b<b>a</b>b,pers00271,pro75-w0280
joy,"But soon th' endearments of a husband cloy,",o5154-l20740,"Her soul, her frame incapable of joy:",o5154-l20745,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
boy," But when repeated Loves began to cloy,",pdi12-l02535, The wiser Nymph embrac'd a kinder Boy. ,pdi12-l02540,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0070
joy,"""Beware of vice, her pleasures soon will cloy,",pro75-l06125,"""And keen repentance, follow guilty joy.",pro75-l06130,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
joy,"Reigns uncontroul'd, unmixt, without a cloy.",pro75-l06230,"To that pure cell where every earthly joy,",pro75-l06225,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
joy,To momentary pleasures born to cloy.,pro75-l06830,"But what a change from scenes of tranquil joy,",pro75-l06825,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
joy,"These earliest please, and latest cloy.",o5154-l15515,"But books are still my highest joy,",o5154-l15510,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
enjoy," The rocky Caves, when sandy Shallows cloy. ",pdi22-l01445,"Blewlings, fierce Weavers, and the Ruff enjoy",pdi22-l01440,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
enjoy," And Pleasures will, as soon as tasted, cloy. ",pdi22-l01975,"They soon grow weary when they once enjoy,",pdi22-l01970,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
joy, The soft repeated Pleasures never cloy. ,pdi22-l04455,"Soon as the Male has try'd the luscious Joy,",pdi22-l04450,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
joy," But when the long continu'd Pleasures cloy,",pdi22-l11815," Senseless they fall, and dizzy with the Joy. ",pdi22-l11820,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
joy," That will not perish, and that cannot cloy; —",pcr18-l15745," And finds in that fair deed a sacred joy,",pcr18-l15740,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
joy," Each transient sweet too short to cloy,",pcm93-l07710,"Each momentary boasted joy,",pcm93-l07700,/ɔɪ/ | /ɔɪ/,full,<b>a</b>b<b>a</b>bcc,pers00313,pcm93-w0130
joy,Tranquil pleasures never cloy;,o5156-l01535,Banish each tumultuous joy:,o5156-l01540,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>bb,pers00035,o5156-w0020
joy,"Nor fears inconstancy, her bliss can cloy,",pro75-l04010,"Bless'd with her swain, she wants no greater joy,",pro75-l04005,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00271,pro75-w0180
