r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
oppressed, What Guilt He Silently confest! ,o3900-l10500, He answer'd not by Wrongs opprest;,o3900-l10490,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
guest,"Impatience, by repeated strokes, confest,",bjl92-l04460," Till they with joy receiv'd the welcome guest,",bjl92-l04465,/est/ | /est/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
breast,Ye spotless Leaves! by all confest,pjo50-l11400, Fair emblems of your Mistress 'breast. ,pjo50-l11405,/est/ | /est/,full,<b>a</b><b>a</b>bbcc,pers00273,pjo50-w0440
rest," And God's disposing providence confess'd,",o3794-l12775, Obduracy itself must yield the rest —,o3794-l12780,/est/ | /est/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
breast, Till freely they their artless loves confess'd;,cac95-l06620," A parent's care hung heavy at his breast,",cac95-l06615,/est/ | /est/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
breast,"Entranc'd he gaz'd — at once her power confess'd,",cac95-l06855, And youthful transports fir'd his manly breast. ,cac95-l06860,/est/ | /est/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
breast," Humbled, her mind its impotence confess'd;",cac95-l07690," Stung to the quick, repentance wrung her breast,",cac95-l07685,/est/ | /est/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
dressed," And living glory stand confest,",o4739-l01320,"O then, in varying colours drest,",o4739-l01315,/est/ | /est/,full,<b>a</b><b>a</b>,pers00285,o4739-w0080
addressed,"Prudence his anxious fears confess'd,",bed98-l02165,"And thus his fav'rite charge address'd,",bed98-l02170,/est/ | /est/,full,<b>a</b><b>a</b>,pers00340,bed98-w0040
blessed," There, injur'd pair, your worth shall stand confess'd,",o5280-l02645," Your fate lamented, and your mem'ry bless'd. ",o5280-l02650,/est/ | /esɪd/,half-pararhyme,<b>a</b><b>a</b>,pers00277,o5280-w0150
breast,"Than in her shrine, the Goddess stood confess'd.",o5154-l09005,But shew how brighter in each honest breast,o5154-l09000,/est/ | /est/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
breast,Were high ambition still the power confess'd,o5152-l24950,"That rul'd with equal sway in every breast,",o5152-l24955,/est/ | /est/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
breast,In him a just ambition stands confess'd;,o5152-l25210,"It warms, but not inflames, his equal breast.",o5152-l25215,/est/ | /est/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
best,He's an OEconomist confest;,pba35-l01505," But what he buys, must be the best:",pba35-l01510,/est/ | /est/,full,<b>a</b><b>a</b>,pers00087,pba35-w0070
blessed," How Belgia freed the Hero's Arm confess'd,",pmp18-l06945, But trembl'd for the Courage which She blest. ,pmp18-l06950,/est/ | /est/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0225
least,"Appears, by both a truth confess'd,",o5153-l29635,"However, GARRICK, this at least",o5153-l29630,/est/ | /iːst/,half-pararhyme,<b>a</b><b>a</b>,pers00038,o5153-w0500
breast," Stern Winter is thy force confess'd,",o5089-l25055, I feel thy power usurp my breast. ,o5089-l25065,/est/ | /est/,full,a<b>b</b>a<b>b</b>,pers00029,o5089-w0540
breast," Thy Worth esteem'd, thy Merit all confess'd:",o4091-l22480," My Friend selected, partner of my breast,",o4091-l22475,/est/ | /est/,full,<b>a</b><b>a</b>,pers00305,o4091-w0010
best," For by all Parties 'tis confest,",pmp18-l12965," That those Opinions are the best,",pmp18-l12970,/est/ | /est/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
rest, And ne'er thy foolish nose confest;,ojg27-l10900," Thou might'st have mingled with the rest,",ojg27-l10895,/est/ | /est/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0450
digressed, He's half absolv'd who has confess'd. ,pmp18-l33475,"My Preface tells You, I digress'd:",pmp18-l33470,/est/ | /est/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
