r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
mind,"Let pure religion, not to forms confin'd,",o4986-l18280, And love of freedom fill his generous mind! ,o4986-l18285,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
bind, To his Cabin's now confin'd,o4784-l15240," By Mopsus, who the Strain did bind:",o4784-l15245,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
kind," Grace to no Sect, nor Virtue is confin'd;",o5125-l13400," They blend with all, and spread amongst the kind;",o5125-l13405,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
mind," But to her breast each grief confin'd,",pcm93-l00960," Enlighten'd my untutor'd mind,",pcm93-l00950,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0020
mind,"Breed stormy passions, which confin'd,",o5152-l18760,"Shake, like th' Aeolian cave, the mind;",o5152-l18765,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
mind,"Now Generosity confin'd,",o4103-l21455, Is perfect easy in her mind;,o4103-l21460,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00254,o4103-w0340
kind,"Who to his native mines confin'd,",o5153-l30305,"Ev'n he, cut off from human kind,",o5153-l30295,/aɪnd/ | /aɪnd/,full,<b>a</b>b<b>a</b>bcc,pers00038,o5153-w0530
mind, Will never be to Syllables confin'd;,o4784-l23375,But since the Thoughts of a Poetick Mind,o4784-l23370,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0800
resigned," Abash'd, confounded, being thus confin'd,",bjl92-l04420, To free himself part of his coat resign'd;,bjl92-l04425,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
kind,"To no peculiar form confin'd,",o5153-l23525,It spreads thro' all the human kind;,o5153-l23530,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
mind,"Hell knows it not, to Us alone confin'd,",o4784-l22090, And Cordial only to the Human Mind. ,o4784-l22095,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0690
mind, To her alone was ev'ry Wish confin'd:,o5125-l19265," Sophinia precious to her Father's Mind,",o5125-l19260,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
wind," Or only what in cottages confin'd,",o3794-l10130, Sighs unregarded to the passing wind;,o3794-l10135,/aɪnd/ | /ɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
mind, And 'tis her prudence makes her soul confin'd,oae86-l02075," Which adds much lustre to a virtuous mind,",oae86-l02070,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
behind,To college and old books confin'd;,o5157-l19235,"Dunces advanc'd, he's left behind:",o5157-l19245,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>cc,pers00006,o5157-w0240
mind, Mysterious rites with dazzling shews confin'd,cac95-l05885, To narrow bounds the darken'd human mind;,cac95-l05890,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
wind, Within the hollow of a rock confin'd;,cac95-l08900,"By priests withheld, he rages like the wind",cac95-l08895,/aɪnd/ | /ɪnd/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
designed,And could not in one Island be confin'd;,oau90-l16135,"To cheer the World, your Virtues Heaven design'd,",oau90-l16130,/aɪnd/ | /aɪnd/,full,aabb<b>c</b><b>c</b>dd,pers00350,oau90-w0570
mankind,"And Providence for Ends, now known confin'd",oau90-l16440,"In Coral Groves the Mistress of Mankind,",oau90-l16445,/aɪnd/ | /aɪnd/,full,aa<b>b</b><b>b</b>ccdd,pers00350,oau90-w0570
kind,"BEHOLD, my friend, to this small orb confin'd",o5157-l05940,"The father, friend, and lover of his kind,",o5157-l05950,/aɪnd/ | /aɪnd/,full,<b>a</b>b<b>a</b>b,pers00038,o5157-w0075
mind,What scanty precepts! studies how confin'd!,o5154-l08870,Too mean to fill your comprehensive mind:,o5154-l08875,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
kind,In gloomy cells the votive Maid confin'd;,o5154-l09620,"Behold imprison'd with her barren kind,",o5154-l09615,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
mind," Knows no Superior, by no Laws confin'd;",ppo24-l04950,"Love is the Monarch Passion of the Mind,",ppo24-l04945,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
mind, Because I hate to be confin'd. ,pco62-l03225," Your counsel doth not please my mind,",pco62-l03220,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
mankind,"Like nature's blessings to no part confin'd,",o5152-l25300,"His well-pois'd bounty reaches all mankind,",o5152-l25305,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
mind," ""His thoughts how darken'd and confin'd! ",o4986-l02230,""" But, ah, how void yon peasant's mind! ",o4986-l02225,/aɪnd/ | /aɪnd/,full,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
kind,"At length half dead, half mad, and quite confin'd,",o5154-l21030,"Shunning, and shunn'd by all of human kind,",o5154-l21035,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
unkind, Tho' by sacred Oaths confind;,pse03-l04545,"PHylaster's grown unkind,",pse03-l04535,/aɪnd/ | /aɪnd/,full,<b>a</b>b<b>a</b>bcdcd,pers00272,pse03-w0190
mind, About the Waste lies most confin'd;,pmp18-l32445, That at This Age the active Mind,pmp18-l32440,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
mind, Is to these upper Rooms confin'd:,pmp18-l38640," Whilst, as my System says, the Mind",pmp18-l38635,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
mind,"Nor was thy worth to public scenes confin'd,",o4985-l10160, Thou knew'st the noblest feelings of the mind. ,o4985-l10165,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
mind,Within that body felt herself confin'd. —,o5156-l37785,"In body active, yet his sprightly mind",o5156-l37780,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
mind,"To no one station, stage, or part confin'd,",pjo50-l03460," No single act of body, or of mind;",pjo50-l03465,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
mind," In real life, to size or age confin'd? ",o4600-l02530,"ARE foibles then, and graces of the mind,",o4600-l02525,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
