r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
force, And stopp'd th' unwieldy giant in his course. ,o4986-l18375," With firm brac'd nerve repell'd the brutal force,",o4986-l18370,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
source,"The birth of rivers, rising to their course;",tgaen-l00965,"Of many a flood they viewed the secret source,",tgaen-l00960,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
force,Whether the youth obliquely steers his course,tgaen-l11105,"Or cuts the downward stream with equal force,",tgaen-l11110,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra9
remorse," Are altogether gone a devious course,",o3794-l12300, Oh vain enquiry! they without remorse,o3794-l12295,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
force, To stop a villain in his bloody course. ,o4546-l00200," That solemn tragic numbers are of force,",o4546-l00195,/ɔːs/ | /ɔːs/,full,ababccdd<b>e</b><b>e</b>,pers00304,o4546-w0010
force," He breaks their hold, and wings his active course;",cac95-l08910," But strong as winds, with unremitting force",cac95-l08905,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
force," To check a Husband's vicious course,",pco62-l03515,When mild reproofs have little force,pco62-l03510,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
force,As the whirlwind in its course;,tgaen-l09870,As the flame's devouring force;,tgaen-l09865,/ɔːs/ | /ɔːs/,full,aabb<b>c</b><b>c</b>ddee,pers00039,tgaen-wcona
force,That steers of countless orbs th' unvaried course;,o5152-l25710,"To teach the secret well-adapted force,",o5152-l25705,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
force,"The orb on high tenacious of its course,",tgaen-l00600,"True to the mighty arm that gave it force,",tgaen-l00605,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtra6
force," Whate'er resists his downward course,",o4984-l03540, Depressing with stupendous force,o4984-l03535,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
force," Without your Choice, must take it's Course. ",pmp18-l34480,"Now, Richard, this coercive Force,",pmp18-l34475,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
horse," Fit for the War, or Road, or Course;",pmp18-l37590,"So Harlequin extoll'd his Horse,",pmp18-l37585,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
force," Their nimble nonsense takes a shorter course,",o3794-l21485," Where others toil with philosophic force,",o3794-l21480,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
horse,"Some farrier should prescribe his proper course,",o3794-l22780," Whose only fit companion is his horse,",o3794-l22785,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
force," From such communion in their pleasant course,",o3794-l24215, Daily derive encreasing light and force,o3794-l24210,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
force,Not like the rapid Rhone's impetuous course;,o5156-l38015,"Gentle he flows, but with resistless force,",o5156-l38010,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
resource, Avoid the man that deals in words of course. ,prc90-l01885,"Of all your friends, when at your last resource,",prc90-l01880,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00328,prc90-w0100
force," Curse on your folly, and your words of course! ",prc90-l01955,"They are, 'tis well, too long I've felt their force,",prc90-l01950,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00328,prc90-w0100
force,"Between them both, we'll steer the middle course,",o4600-l03355," Nor, loving Praise, rob Judgment of her force. ",o4600-l03360,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
source,And cannot Fancy clear their course?,o5157-l38585,"Say, from Affliction's various source",o5157-l38575,/ɔːs/ | /ɔːs/,full,<b>a</b>b<b>a</b>bccddeeffgghh,pers00051,o5157-w0870
source," Pass o'er my untrod heights, with daring course,",bhw18-l18225, For thee unlock the rivers' viewless source. ,bhw18-l18235,/ɔːs/ | /ɔːs/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0042
force, While two fleet Youths pursu'd the sylvan Course:,o4741-l08305," The crashing Woods proclaim'd his rapid Force,",o4741-l08300,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
horse,And by and by the second course,o5154-l15400,Comes lagging like a distanc'd horse:,o5154-l15405,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
force,"A narrow, crooked, dubious course;",o5153-l25220,"Whose scanty rill devoid of force,",o5153-l25210,/ɔːs/ | /ɔːs/,full,a<b>b</b>a<b>b</b>cc,pers00119,o5153-w0410
force, But only feel it as a thing of course. ,o3585-l00080,"Your Lordship's fears are just, I feel their force,",o3585-l00075,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
force, And Virtue follows as a thing of course. ,o3585-l00270,"To be Successful try thy utmost force,",o3585-l00265,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
force," Law hath suspended stood, or chang'd its Course? ",o3585-l01600," Or trembling at the Ruffian Hand of Force,",o3585-l01595,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
force, Divert sweet Justice from her even course;,o3585-l01840," Should They, by brutal and oppressive force,",o3585-l01835,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
force," When weary'd Titan takes a shorter Course,",pdi22-l04905,"Some from their Wombs the ripen'd Burden force,",pdi22-l04900,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
nurse," Observe their Motions, and restrain their Course,",pdi22-l06455,"They near their Fondlings, like some careful Nurse,",pdi22-l06450,/ɔːs/ | /ɜːs/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
force," Nor strive to deviate from th' allotted Course,",pdi22-l06970, Lest manag'd after with ungentle Force,pdi22-l06975,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
force," He vows to bend unseen his hostile course,",bhw18-l03435," Then on the victors rise with latent force,",bhw18-l03440,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
force, Arrest the torrent in its raging course;,bhw18-l03700, That vainly would PIZARRO'S vet'ran force,bhw18-l03695,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
force, And bids ALPHONSO by a sep'rate course,bhw18-l03810," At length the chief divides his martial force,",bhw18-l03805,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
force, When first to climes unknown they bent their course;,bhw18-l06120," That seal'd their mutual league with sacred force,",bhw18-l06115,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
source,The dire corruption held its course,o5154-l02140,Deriv'd from this polluted source,o5154-l02135,/ɔːs/ | /ɔːs/,full,aabbc<b>d</b><b>d</b>c,pers00031,o5154-w0060
resource,"So speed you in your course,",bed98-l07420,Be your secure resource.,bed98-l07430,/ɔːs/ | /ɔːs/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0160
force,"Where Zeal holds on its even Course,",o3900-l01745," Knowledge assists, not checks its Force,",o3900-l01755,/ɔːs/ | /ɔːs/,full,<b>a</b>b<b>a</b>b,pers00309,o3900-w0090
force,"IN vain the sprightly sun renews his course,",o3555-l02445," While long embattled clouds repel his force,",o3555-l02455,/ɔːs/ | /ɔːs/,full,<b>a</b>b<b>a</b>b,pers00149,o3555-w0040
scource,"T'effect the Cure we'll take the Safest course,",oat77-l09455,And Trace the Malady to its first Scource:,oat77-l09460,/ɔːs/ | /aʊəs/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0670
force, Impel the feeble mind through youth's insensate course. ,bah18-l01920," Circean charms, that with a magic force",bah18-l01915,/ɔːs/ | /ɔːs/,full,abab<b>c</b><b>c</b>,pers00281,bah18-w0090
force," They sometimes speed, but often thwart our course",pcr18-l13250," Now zephyrs mild, now whirlwinds in their force,",pcr18-l13245,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
remorse,""" With joys, she'd griefs, had troubles in her course,",pcr18-l15690," ""But not one grief was pointed by remorse;",pcr18-l15695,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
force,"Bursts ev'ry bond, resistless in its course,",o5153-l28430,Or grant true genius with superior force,o5153-l28425,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
source,"Each in its rank pursues its course,",bed98-l21130,INFINITE Wisdom! nature's source,bed98-l21120,/ɔːs/ | /ɔːs/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0730
force,"But habits ever strengthen in their course,",bed98-l05765,And lessons oft repeated lose their force;,bed98-l05770,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
force,"Between, a river takes its rapid course;",bed98-l06290,"Its streams collecting, gathering still new force,",bed98-l06285,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
force,"But thro' the harmless jest, or story's course,",bed98-l06425,"Instruction lost its name, but took its force.",bed98-l06430,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
force," ""That urges on, or checks its course."" ",o4739-l05060,""" And lends each Orb the secret force,",o4739-l05055,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00285,o4739-w0190
purse," I, o'er domestic Plains, pursue my Course;",o4741-l14385," More bounded in my Fancy, and my Purse,",o4741-l14380,/ɔːs/ | /ɜːs/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0360
force,"Strong ran the tide against the vessel's course,",pmt18-l13605," Steady to bear against its rapid force,",pmt18-l13615,/ɔːs/ | /ɔːs/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
resource,"Strong ran the tide against the vessel's course,",pmt18-l13605," And aid the labouring oars, their tedious last resource. ",pmt18-l13620,/ɔːs/ | /ɔːs/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
force," Apply'd at Bottom, stops its Course,",psw11-l01645, In vain; for a Superior Force,psw11-l01640,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
worse,Did no great Deeds adorn his Course? ,o3900-l01145,"No Deed of His, but shew'd him worse:",o3900-l01150,/ɔːs/ | /ɜːs/,half-pararhyme,<b>a</b><b>a</b>,pers00311,o3900-w0040
force,Incessant runs his Course;,o4090-l00610,And Universal is his Aid and Force.,o4090-l00625,/ɔːs/ | /ɔːs/,full,ababcdcdee<b>f</b>gg<b>f</b>,pers00339,o4090-w0010
force, Undaunted wou'd I meet their course. ,bse96-l02385," Yet, gliding with consuming force,",bse96-l02380,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
force,"Now homeward as they bent their course,",prc90-l01025, The first time e'er they felt the force,prc90-l01030,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>bccb,pers00328,prc90-w0060
source,"The rising Sun restrain'd his fiery Course,",o3778-l00110,And rapid Rivers listen'd at their Source;,o3778-l00115,/ɔːs/ | /ɔːs/,full,<b>a</b><b>a</b>,pers00339,o3778-w0010
force, Pursues his destin'd course. ,bmb97-l07385," Who stems the tempest's force,",bmb97-l07375,/ɔːs/ | /ɔːs/,full,x<b>a</b>x<b>a</b>,pers00315,bmb97-w0200
