r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
boy,The Nymph he loves is sure no longer coy. ,pdi12-l01415,What happy Chance has pleas'd the smiling Boy? ,pdi12-l01410,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
enjoy,"Who to thy Flourishing Years, was so Reserv'd and Coy.",oat77-l00255,In vain Thou covet'st to enjoy,oat77-l00240,/ɔɪ/ | /ɔɪ/,full,ababa<b>c</b>dd<b>c</b>,pers00344,oat77-w0020
joy,"When the fair Nereid, indiscreetly coy,",pdi22-l03170," Fled from th' Embrace, and scorn'd the profer'd Joy;",pdi22-l03175,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
joy," Of charms at once most lavish and most coy,",pcr18-l09015," She, of her favourite place the pride and joy,",pcr18-l09010,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
enjoy,"She, where she pleases kind or coy,",o5156-l00275,"Who furnishes the scene, and forms us to enjoy.",o5156-l00280,/ɔɪ/ | /ɔɪ/,full,abbaacc<b>d</b><b>d</b>,pers00035,o5156-w0010
boy," Should, at the first address, be nice and coy? ",cer72-l04870,"But where's the wonder that a bashful boy,",cer72-l04865,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
joy," No longer obstinately — coy,",pjo50-l04115, Let loose her soul to dreams of — joy. ,pjo50-l04120,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0080
joy,"But thou, oh Nymph retir'd and coy! ",o3555-l04150,In what brown hamlet dost thou joy,o3555-l04155,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>bccb,pers00149,o3555-w0100
joy," But see the reigning Toast half kind, half coy,",o3378-l00485," Her Rivals' envy, and her Lover's Joy,",o3378-l00490,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00337,o3378-w0010
joy,"Who pleasingly forward, or prettily coy,",o5155-l31550,"Thus blest with the nymph, how transporting the joy!",o5155-l31540,/ɔɪ/ | /ɔɪ/,full,<b>a</b>b<b>a</b>b,pers00057,o5155-w0642
joy," To move the Slow, and to incline the Coy. ",ppo24-l03520," To kindle eager Longings for the Joy,",ppo24-l03515,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0020
boy, Only he lookt more absolute and coy. ,oar96-l07085,Whilst with a graceful Pride the lovely boy,oar96-l07075,/ɔɪ/ | /ɔɪ/,full,<b>a</b>a<b>a</b>,pers00265,oar96-w0290
by, Only he lookt more absolute and coy. ,oar96-l07085," Pass'd all the Ladies (like a Sultan) by,",oar96-l07080,/ɔɪ/ | /aɪ/,half-pararhyme,a<b>a</b><b>a</b>,pers00265,oar96-w0290
decoy," He found Dame Poverty, nor fair nor coy:",o3818-l03770, Did to a lonely Cott his Steps decoy;,o3818-l03760,/ɔɪ/ | /iːkɔɪ/,half-pararhyme,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
boy," He found Dame Poverty, nor fair nor coy:",o3818-l03770," Her he compress'd, and fill'd Her with a lusty Boy. ",o3818-l03775,/ɔɪ/ | /ɔɪ/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
enjoy,"Natures a Virgin very Chast and coy,",o4299-l06270," To Court her's nonsence, if ye will enjoy,",o4299-l06275,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
joy,"Since Beauty fades, why should the Nymph be coy? ",pdi12-l03560,Snatch then with eager Hast the fleeting Joy. ,pdi12-l03565,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0100
boy," Pickt the Demure, the Aukward, and the Coy;",psw11-l02255," From which Ingredients, First the dext'rous Boy",psw11-l02250,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00148,psw11-w0070
observed,"While Cynthia, more modest and coy,",pmc36-l04200," Which Celia with Pleasure observ'd,",pmc36-l04210,/ɔɪ/ | /ɜːvd/,half-pararhyme,abab<b>c</b>d<b>c</b>d,pers00325,pmc36-w0120
joy," Their woe she knows not, but preversely coy,",o5398-l04545, Inverted customs yield her sullen joy;,o5398-l04550,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
boy,"Ungrateful Ioessa, vainly coy,",pdi12-l01920, And proud of youthful Charms despis'd the Boy;,pdi12-l01925,/ɔɪ/ | /ɔɪ/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0060
joy," When lost in soft confusion, sweetly coy,",o4986-l04165, And Nature faints beneath th' excess of joy. ,o4986-l04175,/ɔɪ/ | /ɔɪ/,full,a<b>b</b>a<b>b</b>,pers00231,o4986-w0080
