r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
station, Before this vile Terrene Creation:,pmp18-l35225," Describ'd our pre-existing Station,",pmp18-l35220,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
digression, About the lords o' the creation. ,cbu86-l00250, An' there began a lang digression,cbu86-l00245,/eɪʃn/ | /eʃn/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0010
indignation,Radiant eye of wide Creation,n27tc-l05270,Hallow'd Earth! with indignation,n27tc-l05260,/eɪʃn/ | /eɪʃn/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0030
acclamation," Exulting sung, and hail'd the new creation. ",o3555-l07975, The morning stars with joyful acclamation,o3555-l07970,/eɪʃn/ | /eɪʃn/,full,aabb<b>c</b><b>c</b>,pers00149,o3555-w0260
invitation,"With a Portugal merchant, a knight by creation,",o5157-l36280,From a borough in Cornwall receiv'd invitation.,o5157-l36285,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00041,o5157-w0800
contemplation,Thus ev'ry object of creation,ojg27-l00345," Can furnish hints to contemplation,",ojg27-l00350,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0010
mortification,"They adore a vain idol of modern creation,",o5157-l37220,Though with cruel devices of mortification,o5157-l37215,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00041,o5157-w0820
penetration, Against the history of Creation;,o3982-l00790," Dropt hints, with wondrous penetration,",o3982-l00785,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
preparation,"A bell, not Fancy's false creation,",o3982-l02235," Gives joyful ""note of preparation;""",o3982-l02240,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
regulation, Support all the Works of this ample Creation. ,o3364-l05365," For Order and Beauty, and just Regulation,",o3364-l05360,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
