r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
guide," Enough, — the heart-sad Pilgrim cried, —",o4091-l23220, Friend of the wretch! the wand'rer's guide:,o4091-l23230,/aɪd/ | /aɪd/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
pride,"She's damnable ugly, my Vanity cried,",o4198-l02965," Resolving to follow the dictates of Pride,",o4198-l02975,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00288,o4198-w0150
spied,"What's here! the hungry Monarch cry'd,",o4784-l08970," When near him living Flesh he spy'd,",o4784-l08975,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0200
supplied,"What's here! the hungry Monarch cry'd,",o4784-l08970, With which he hop'd to be supply'd. ,o4784-l08980,/aɪd/ | /aɪd/,full,<b>a</b>a<b>a</b>,pers00268,o4784-w0200
sighs,"""And what avails my dart, he cried,",o5157-l33390,Time breaks his hostile scythe; he sighs,o5157-l33380,/aɪd/ | /aɪz/,half-vowelrhyme,aabccb<b>d</b>e<b>d</b>effgghhiikkllmmnnoppoqrqrssttuuvvwwyyzz,pers00058,o5157-w0670
chide,"Obedient Cupid kneeling cry'd,",pmp18-l07930," Cease, dearest Mother, cease to chide:",pmp18-l07935,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0270
bride," Suffer this ring, the sweet persuader cried,",bsb18-l13545," Around thy finger, and become my bride,",bsb18-l13550,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
beside," ""Hail, Knowledge, gift of heaven! I cried;",o4986-l02030,""" E'en all the gifts of heaven beside,",o4986-l02035,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
tide," Then vain as Niobe, exulting cry'd,",o4984-l23270, Ilissus! roll thy fam'd Athenian tide;,o4984-l23275,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
side,"Her Honours made, Great Jove, she cry'd,",o4106-l09665, This Thing was fashion'd from my Side;,o4106-l09670,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
hide,"A face! Thalia titt'ring cry'd,",o5153-l29260,And cou'd her joy no longer hide;,o5153-l29265,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
pride," ""Degenerate girl!"" the angry father cried,",pcm93-l00325,""" And dare to wound a Norman baron's pride,",pcm93-l00335,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
