r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
worse, Than for to turn a blessing to a curse. ,oae86-l01285,And surely there is nothing can be worse,oae86-l01280,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
worse,"Your dainty Speakers have the Curse,",pmp18-l35100, To plead bad Causes down to worse:,pmp18-l35105,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
worse," Defend me, ye Powers, from that fatal Curse;",pba35-l03965, Which must heighten the Plagues of for better for worse! ,pba35-l03970,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
worse, Like Pistol then you eat and curse;,o5089-l31690," So trust to supper, proving worse;",o5089-l31685,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00094,o5089-w0670
worse," Must hear the frequent Oath, the direful Curse,",pmp18-l22115," Brought by long Habitude from Bad to Worse,",pmp18-l22110,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
reverse,"Sole judge, he deals his pardon, or his curse;",o5154-l05700,Not heav'n itself the sentence can reverse:,o5154-l05705,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
worse," So when you plague a Fool, 'tis still the Curse,",o3683-l00530, You only make the Matter worse and worse. ,o3683-l00535,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
worse," Scarecrow to Boys, the breeding Woman's curse;",o3683-l01270, Has yet a strange Ambition to look worse:,o3683-l01275,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
nurse," Condemn'd for ever, to the puny Curse,",pse03-l02315," Of Precepts taught, at Boarding-school, or Nurse,",pse03-l02320,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00272,pse03-w0060
worse," To keep those Rules, which privately we Curse:",pse03-l02550,"This Courage speaks me, Brave, 'tis surely worse,",pse03-l02545,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00272,pse03-w0060
perverse," Shall find the blessing, unimprov'd, a curse. ",o3794-l09650," While he that scorns the noon-day beam perverse,",o3794-l09645,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
worse,"And what should be their blessing, proves their curse.",o5157-l32305,"Superior charms but make their case the worse,",o5157-l32300,/ɜːs/ | /ɜːs/,full,<b>a</b><b>a</b>,pers00082,o5157-w0600
