r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pale,"Is come to scorch each primrose sprinkled dale,",o5155-l24990,"WHEN late the trees were stript by Winter pale,",o5155-l24955,/eɪl/ | /eɪl/,full,<b>a</b>bbaabb<b>a</b>cdcdcd,pers00053,o5155-w0410
gale,"Is come to scorch each primrose sprinkled dale,",o5155-l24990,"On airy uplands caught the fragrant gale,",o5155-l24970,/eɪl/ | /eɪl/,full,abb<b>a</b>abb<b>a</b>cdcdcd,pers00053,o5155-w0410
hail,"Is come to scorch each primrose sprinkled dale,",o5155-l24990,And ere fresh morn the low-couch'd lark did hail,o5155-l24975,/eɪl/ | /eɪl/,full,abba<b>a</b>bb<b>a</b>cdcdcd,pers00053,o5155-w0410
vale, She walks alone by hill and dale;,prc90-l02315, The Sun is set in Eden vale. ,prc90-l02325,/eɪl/ | /ɑːleɪ/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00328,prc90-w0130
tale, A third came stalking o'er a distant dale:,bjl92-l13770,"While these two youths rehearsed their plaintive tale,",bjl92-l13765,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
vale, Along the clover'd dale;,o4986-l02010, And breaks the new-mown vale. ,o4986-l02025,/eɪl/ | /ɑːleɪ/,half-vowelrhyme,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
tale, And the loud chorus echoes thro' the dale. ,o4039-l00875,"The priestess rising, sings the sacred tale,",o4039-l00870,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00288,o4039-w0070
vale,"The lowing herds that graze the woodland dale,",o5156-l28575,Nature's wild music fills the vocal vale;,o5156-l28565,/eɪl/ | /ɑːleɪ/,half-vowelrhyme,abab<b>c</b>d<b>c</b>dee,pers00050,o5156-w0780
vale," Where meet in concert, wood, and hill, and dale;",o4985-l20790," Of Ida's grove, and Tempe's hallow'd vale:",o4985-l20800,/eɪl/ | /ɑːleɪ/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcdee,pers00058,o4985-w0300
pail," And Evening wander'd through the dale,",bsb18-l29235, And homeward swam the milking pail;,bsb18-l29245,/eɪl/ | /eɪl/,full,a<b>b</b>a<b>b</b>cdcd,pers00280,bsb18-w0660
tale, Re-echo'd through the groves and distant dale;,bjl92-l01400, And heart-felt sighs proclaim'd th' unwelcome tale. ,bjl92-l01410,/eɪl/ | /eɪl/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0070
