r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
mark,"Thro' various alleys, perilous and dark,",pjo50-l07015," My way I shape, and ev'ry foot-step mark;",pjo50-l07020,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0220
mark," Not to be pierc'd in play or in the dark,",o3794-l12160," An individual is a sacred mark,",o3794-l12155,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
mark," Her luminous canopy athwart the dark,",bjb18-l11935, The distant traveller doth with wonder mark,bjb18-l11930,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0220
clark,"But in a Point obscure and dark,",pmp18-l37775, We fight as Leibnits did with Clark;,pmp18-l37780,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
park,To play with MOPSY in the dark;,o5154-l28835,"Or DICK sneak out to field or park,",o5154-l28830,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00098,o5154-w0540
mark," Who aim'd at wit, though, levell'd in the dark,",o4600-l01885," The random arrow seldom hit the mark,",o4600-l01890,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
ark," Their Saviour shunn'd, and rankled in the dark,",o4110-l01600," Creatures, which, when admitted in the ark,",o4110-l01595,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
mark," And light with lambent ray the caverns dark,",bhw18-l18250," ""For thee my sylphs, with tender care, shall mark",bhw18-l18240,/ɑːk/ | /ɑːk/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0042
ark," ""Of questions, much he wrote, profound and dark, —",pcr18-l20180,""" How spake the serpent, and where stopp'd the ark;",pcr18-l20185,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
spark, Meets less reserv'd her footman in the dark;,o4986-l08525,"The PRUDE austere, who shuns each forward spark,",o4986-l08520,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00236,o4986-w0180
park," Met CHLOE, just before 'twas dark:",o4741-l10045,"ALEXIS, walking in the Park,",o4741-l10040,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00091,o4741-w0130
bark, The Shops are shut; the Days are dark;,pba35-l04455, And scarce a Dog is left to bark. ,pba35-l04460,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00087,pba35-w0300
mark," The SPEAR, that broke thy slumber dark,",bse96-l02595," Disturb thee in the tomb! — and mark,",bse96-l02590,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
park, He kiss'd his own dear lady in the dark. ,o4039-l04805," Mad as B—rg—e when groping through the park,",o4039-l04800,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
mark,"— Sir Humphrey shooting in the dark,",o3794-l33090, Makes answer quite beside the mark. ,o3794-l33095,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0370
mark," Or in the turbid water, rude and dark,",n22cs-l01715," Thy trembling light with pleasure still I mark,",n22cs-l01725,/ɑːk/ | /ɑːk/,full,ababcdcd<b>e</b>f<b>e</b>fgg,pers00290,n22cs-w0230
spark," A something shining in the dark,",o3794-l31435," And knew the glow-worm by his spark,",o3794-l31440,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0250
hyde-park, When it grew tolerably Dark. ,pmp18-l11295," A Turn in Summer to Hyde-Park,",pmp18-l11290,/ɑːk/ | /ɑːk/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0450
bark,"In the night when 'tis cloudy, and rainy, and dark,",o4985-l11680," Not a noise to disturb us, unless a dog bark",o4985-l11690,/ɑːk/ | /ɑːk/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0180
