r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
heart," Slept calm, till conscience, with unerring dart,",yfs88-l02165, Struck deep conviction through the guilty heart;,yfs88-l02170,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
heart, Yet when Death's destructive dart,o5280-l04270," Chills to rest the beating heart,",o5280-l04275,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0300
heart," Revenge, he cry'd, and hurl'd his deathful Dart:",o5125-l20795," It hiss'd along, but miss'd the Hero's Heart,",o5125-l20800,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
heart," Not so Polyphon sent his faithful Dart,",o5125-l21080, The speedy Vengeance reach'd the Hero's Heart;,o5125-l21085,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
heart, Nor know the smiling Deaths they dart;,o5247-l02170, Or rescue his devoted Heart. ,o5247-l02180,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>,pers00295,o5247-w0110
impart, And Reason wings th' unerring Dart. ,o5247-l02200," And Friendship's nobler Fires impart,",o5247-l02190,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>,pers00295,o5247-w0110
start,"Are you not hurt? — I will provide a Dart,",oat77-l08100,'Till with a Sigh and Suddain start,oat77-l08090,/ɑːt/ | /ɑːt/,full,abbaccdddee<b>f</b>g<b>f</b>gfhiihjjkkj,pers00344,oat77-w0530
heart,"Are you not hurt? — I will provide a Dart,",oat77-l08100,I'le drench it in the Savage Monster's Heart.,oat77-l08110,/ɑːt/ | /ɑːt/,full,abbaccdddeefg<b>f</b>g<b>f</b>hiihjjkkj,pers00344,oat77-w0530
smart,""" Thy delicacy dips the dart",o4986-l02795," ""In rankling gall, and gives a smart",o4986-l02800,/ɑːt/ | /ɑːt/,full,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
heart,If Cupid throws a single Dart;,pmp18-l32900, We make him wound the Lover's Heart:,pmp18-l32905,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
heart,"Is there a fair whose features point the dart,",o4985-l10590," Charm the six'd eye, and fascinate the heart? ",o4985-l10595,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
heart,"OH! How his Pointed Language, like a Dart,",oar96-l06405," Sticks to the softest Fibres of my Heart,",oar96-l06410,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>,pers00265,oar96-w0260
start, An arrow fly — the lightning dart? ,o4987-l15515,"Say, hast thou seen a courser start —",o4987-l15510,/ɑːt/ | /ɑːt/,full,<b>a</b><b>a</b>bb,pers00202,o4987-w0550
heart, Swift from thy quiver flew the deadly dart;,o5089-l13000, And found its fated entrance near my heart. ,o5089-l13010,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>,pers00169,o5089-w0170
part,"Dare the grim terror then, nor dread his guiltless dart.",o5156-l28040,"Oft hast thou dropt unhurt thy mortal part,",o5156-l28035,/ɑːt/ | /ɑːt/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o5156-w0780
heart,"And fell disease strikes deep the deadly dart,",o5156-l28250,And gen'rous passions warm the throbbing heart;,o5156-l28260,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>cdcdee,pers00050,o5156-w0780
heart, Hath stolen from sorrow's grasp the envenomed dart;,pmt18-l17475," Submitting to thy skill, my passive heart",pmt18-l17480,/ɑːt/ | /ɑːt/,full,a<b>b</b><b>b</b>accdeedfgfg,pers00320,pmt18-w0110
heart," With an an-aiming dart,",oar96-l07900, She levels at a heart? ,oar96-l07910,/ɑːt/ | /ɑːt/,full,x<b>a</b>x<b>a</b>,pers00265,oar96-w0370
