r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
steel," Full fiercely with him deal,",bjb18-l25205, With their fangs of red-hot steel. ,bjb18-l25215,/iːl/ | /iːl/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0550
feel," May learn strict justice 'mongst their dolls to deal,",bsb18-l09875," May learn forbearance, and may learn to feel,",bsb18-l09880,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
feel,"Let muckworms, who in dirty acres deal,",o4111-l01325, Lament those hardships which we cannot feel. ,o4111-l01330,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
feel, Alike impartial deal? ,prc90-l05095, The sense to see and feel. ,prc90-l05105,/iːl/ | /iːl/,full,x<b>a</b>x<b>a</b>,pers00328,prc90-w0330
meal, No costly lord the sumptuous banquet deal,o5346-l00900, To make him loath his vegetable meal;,o5346-l00905,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00174,o5346-w0010
feel,"Hither again thy fury deal,",o5089-l02430, Teach me but once like him to feel:,o5089-l02435,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00048,o5089-w0030
steal,Who only with the moderns deal?,o5152-l13700,"Then where? from whom? what can I steal,",o5152-l13695,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
feel," Hither again thy fury deal,",o4985-l03530, Teach me but once like him to feel:,o4985-l03535,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00048,o4985-w0080
conceal,"Seek ye to thrive? In flatt'ry deal,",ojg27-l03745," Your scorn, your hate, with that conceal;",ojg27-l03750,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0150
steel,"For, once set in, where-e'er our Blows we deal,",o4741-l02055, There's no resisting of the well-whet Steel:,o4741-l02060,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0030
