r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
face, And all thy innate excellence debase! ,pcm93-l10685, Deform the beauties of that angel face! ,pcm93-l10675,/eɪs/ | /eɪs/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0270
disgrace,"The monstrous age, which still increasing years debase,",o5154-l02110,"Which teems with unknown crimes, and genders new disgrace,",o5154-l02115,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>bbcddc,pers00031,o5154-w0060
disgrace,"No more, ye vain, the sacred dome debase,",o4154-l00740," Wanton with worship, and your God disgrace,",o4154-l00745,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00332,o4154-w0010
race,"Destroy our virtue, or our parts debase;",o5152-l40375,"And for th' imagin'd vice of human race,",o5152-l40370,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
praise,"But oh! our highest notes the theme debase,",o3555-l08070, And silence is our least injurious praise;,o3555-l08075,/eɪs/ | /eɪz/,half-vowelrhyme,<b>a</b><b>a</b>bbcc,pers00149,o3555-w0260
race, Than the licentious precepts which debase,pcm93-l10030,"Yet far more happy for the human race,",pcm93-l10020,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0230
deface,"Who, to be more than men, themselves debase",o5157-l21205,"Beneath the brute, their Maker's form deface,",o5157-l21210,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>a,pers00114,o5157-w0330
disgrace,"Who, to be more than men, themselves debase",o5157-l21205,Raising their titles by their God's disgrace.,o5157-l21215,/eɪs/ | /eɪs/,full,<b>a</b>a<b>a</b>,pers00114,o5157-w0330
grace,"Let no unworthy mien her form debase,",o5154-l38405,"But let her smile, and let her frown with grace:",o5154-l38410,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
race,Perish th' illiberal thought which wou'd debase,o4179-l00315, The native genius of the sable race! ,o4179-l00320,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00274,o4179-w0010
grace, Nor fortune with her partial smile debase,bhw18-l21170," The spirit, rich in intellectual grace;",bhw18-l21175,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0580
