r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grieves,When worthlessness the world deceives;,o5153-l23420,"And much her righteous spirit grieves,",o5153-l23415,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
believes," She mocks her maker and herself deceives,",o3794-l24605,"That while she doats and dreams that she believes,",o3794-l24600,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
gives," Feeds his false Doubt, and thus himself deceives. ",pdi22-l01825,"To strange Effects, when prov'd, no Credit gives,",pdi22-l01820,/iːvz/ | /ɪvz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
sheaves,"The Fowler thus the feather'd Race deceives,",pdi22-l07655, And strows beneath his Snare the rifled Sheaves. ,pdi22-l07660,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bereaves, But ah! the shade my empty grasp deceives;,o4987-l32320," And as it flits, and my fond soul bereaves,",o4987-l32325,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
believes,And thus the intermediate time deceives.,bed98-l06070,"Each thinks Alcestes as himself believes,",bed98-l06065,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
leaves,"And Sodom-fruit our pains deceives,",o5152-l16525,"Like aspine shake the restless leaves,",o5152-l16520,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
believes," Pleas'd, when his Reason He deceives;",pmp18-l02720,Against Experience He believes:,pmp18-l02710,/iːvz/ | /iːvz/,full,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0120
leaves,The deadly Night-shade wanton Youth deceives,pdi13-l01020," With shining Berries, and with spreading Leaves;",pdi13-l01025,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
leaves," With quivering beam, that oft deceives,",bsb18-l18105, While spreading foil on spangl'd leaves;,bsb18-l18110,/iːvz/ | /iːvz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0240
waves,"No, no; I fear the flatt'ring Tale deceives;",o4741-l20715, Methinks I see him plunging in the Waves. ,o4741-l20720,/iːvz/ | /eɪvz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0400
