r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
increase,""" By stumbling chance, and slow degrees,",o4986-l02675," ""The useful arts of men increase,",o4986-l02680,/iːz/ | /ɪnkriːs/,half-vowelrhyme,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
trees,"Of distant coaches fainter by degrees,",o5154-l20890,Then starts and trembles at the sight of trees.,o5154-l20895,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
knees, That then She mounts by just Degrees,pmp18-l32025," Up to the Ancles, Legs, and Knees:",pmp18-l32030,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
less,Thus Passion flags by slow Degrees;,pmp18-l33720," And ruffl'd more, delighted less,",pmp18-l33725,/iːz/ | /es/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
ease,"Convinc'd of varying in the least degrees,",o5156-l37575,Her pliant index she reclaim'd with ease.,o5156-l37580,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
sees,"The active mind, ascending by degrees,",pjo50-l03480," Its various ties, relations, duties sees:",pjo50-l03485,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
seas," The murm'ring Wind arises by degrees,",o4741-l06855," And rocks the Ship, and sweeps the curling Seas;",o4741-l06860,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
seas," Till soon the Storm decreas'd, and, by degrees,",o4741-l09650," Hush'd were the Winds, and calm the ruffled Seas;",o4741-l09655,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
please," Of beauty, health, and hope, by soft degrees",bse96-l03485," Wake with soft Pleasure's sense, the wish to please,",bse96-l03495,/iːz/ | /iːz/,full,abbababac<b>d</b>c<b>d</b>cd,pers00282,bse96-w0090
seas," Of beauty, health, and hope, by soft degrees",bse96-l03485," Bright as the Sun, on calm, and crystal Seas. ",bse96-l03505,/iːz/ | /iːz/,full,abbababac<b>d</b>cdc<b>d</b>,pers00282,bse96-w0090
ease, And rises thro' the Ganiut to degrees),o3587-l00710," Serves an apprenticeship in College ease,",o3587-l00705,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
ease," For young and old of all degrees,",bjb18-l16800,BUSY work brings after ease;,bjb18-l16790,/iːz/ | /iːz/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0340
these," Grown to a Church by just Degrees,",psw11-l01875,"THE Cottage by such Feats as these,",psw11-l01870,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
piece, And mingled Shades wrought in by soft Degrees,o4672-l15030, Give a sweet Foyl to all the Charming Piece;,o4672-l15035,/iːz/ | /iːs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
freeze," Thy fondness drop by slow degrees,",bsb18-l07065," Thy very life-blood coldly freeze,",bsb18-l07070,/iːz/ | /iːz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0040
