r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
be, The greatest and supreamest Deity:,oae86-l00030," Without which Attributes he could not be,",oae86-l00025,/eɪɪti/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
be," And should rob Hymen of his Deity,",oae86-l00490,But if all Men should of your Humor be,oae86-l00485,/eɪɪti/ | /iː/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,oae86-w0010
inconveniency," And should rob Hymen of his Deity,",oae86-l00490, They soon would find the Inconveniency. ,oae86-l00495,/eɪɪti/ | /iːnjənsɪ/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
she," Doth seem to have sence of a Deity,",oae86-l00940,"And when that by her speech or carriage, she",oae86-l00935,/eɪɪti/ | /iː/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,oae86-w0010
ungentility," Doth seem to have sence of a Deity,",oae86-l00940, She straight is taxt with ungentility. ,oae86-l00945,/eɪɪti/ | /ɪlətɪ/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
thee, And Glory too shall be my Deity. ,oar96-l09790," I'll tread the same Ambitious Paths with thee,",oar96-l09785,/eɪɪti/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0510
see, Transcript of the Deity. ,o3900-l21025,"Strive we Him in Us to see,",o3900-l21020,/eɪɪti/ | /iː/,half-pararhyme,aabbccddee<b>f</b><b>f</b>,pers00309,o3900-w1110
eye,Seem'd empires of each rural deity;,bed98-l06230,"Where the gay scenes that struck the wond'ring eye,",bed98-l06225,/eɪɪti/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
sky," Enchains the thoughtless, slumbering deity? ",pmt18-l14595," His golden pinions to the breezy sky,",pmt18-l14605,/eɪɪti/ | /aɪ/,half-pararhyme,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0025
eye," Enchains the thoughtless, slumbering deity? ",pmt18-l14595, Or open to the sun his dim and languid eye. ,pmt18-l14610,/eɪɪti/ | /aɪ/,half-pararhyme,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0025
ecstasy," And the rapt mind is touch'd with Deity,",pye85-l03845," When Fancy wakes the soul to extacy,",pye85-l03840,/eɪɪti/ | /ekstəsi/,half-pararhyme,<b>a</b><b>a</b>,pers00256,pye85-w0100
sky,"Mars smil'd, and bow'd; the Cyprian Deity",pmp18-l23595, Turn'd to the glorious Ruler of the Sky:,pmp18-l23600,/eɪɪti/ | /aɪ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0720
