r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
way,"Yet better, Son! thy plan delay. ",o4091-l24440,And to La Trappe retrace thy way? ,o4091-l24450,/eɪ/ | /eɪ/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
prey, 'T was only for a short delay. ,o4091-l25970, Insatiate Death watch'd for his prey;,o4091-l25960,/eɪ/ | /eɪ/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
way,In truth's pursuit to cause delay,o5152-l18630,Throw golden apples in his way.,o5152-l18635,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
way,"Dismissed at length, they break through all delay",tgaen-l00710,To tempt the dangers of the doubtful way;,tgaen-l00715,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
stay, Soft Hopes contend with Fears of sad Delay;,o4784-l23355, Then shou'd you see impatient of your Stay,o4784-l23350,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0800
day, Shines; — but it vainly shines in this delay,bse96-l03615,"Since dark December shrouds the transient day,",bse96-l03580,/eɪ/ | /eɪ/,full,<b>a</b>bbaabb<b>a</b>cdcdcd,pers00282,bse96-w0110
array, Shines; — but it vainly shines in this delay,bse96-l03615," The soul of cheerfulness, and best array",bse96-l03595,/eɪ/ | /eɪ/,full,abb<b>a</b>abb<b>a</b>cdcdcd,pers00282,bse96-w0110
pay, Shines; — but it vainly shines in this delay,bse96-l03615, A sullen hour in smiles? — O! haste to pay,bse96-l03600,/eɪ/ | /eɪ/,full,abba<b>a</b>bb<b>a</b>cdcdcd,pers00282,bse96-w0110
way, Tho' short the Time and dang'rous the Delay:,o5125-l19890," The Mischief pleas'd, yet none propos'd the Way,",o5125-l19885,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
stay," He rov'd, impatient of the Nymph's Delay,",o5125-l20535, And often doubted to return or stay:,o5125-l20540,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
way," And following quick, stung at his own delay,",cac95-l06945, Bounds o'er each barrier which obstructs his way:,cac95-l06950,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
pay,Begin: nor more delay,o5153-l31785,The sacred meed of gratitude to pay:,o5153-l31790,/eɪ/ | /eɪ/,full,aabbccdeed<b>f</b><b>f</b>gghihikk,pers00040,o5153-w0590
away,"Our Months are Ages of Delay,",o4672-l02240," Fly winged Time, and roll away",o4672-l02250,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0120
away,"Mason, why this dull delay?",o5157-l06330,"Haste, to Sion haste away.",o5157-l06335,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00038,o5157-w0080
