r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
side," Has every other joy denied,",bsb18-l10740,"And oft, when sickness by my side",bsb18-l10735,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
hide, Yet are we not potations bland denied;,o4985-l27680, Beneath her leaves her racy fruit doth hide:,o4985-l27670,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
abide, Yet are we not potations bland denied;,o4985-l27680, See where the pear-tree doth in earth abide! ,o4985-l27685,/aɪd/ | /aɪd/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o4985-w0390
tide, Yet are we not potations bland denied;,o4985-l27680," The apple too will grant a generous tide,",o4985-l27695,/aɪd/ | /aɪd/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o4985-w0390
died,"Free to buffoons, to ministers deny'd,",o5154-l10390,"He liv'd an atheist, and a bigot dy'd.",o5154-l10395,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
pride,"The cause is plain and not to be denied,",o3794-l21520," The proud are always most provok'd by pride,",o3794-l21525,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
guide,"Thee Nature taught, nor Art her aid deny'd,",o5152-l04090,(The kindest mistress and the surest guide),o5152-l04095,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
tried, To form Distinction Nature hath deny'd. ,o4600-l03410, In vain the wonders of his skill are try'd,o4600-l03405,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
pride,"Nor less our debt in SCIENCE, tho' denied",o4110-l00615, By the weak slaves of prejudice and pride. ,o4110-l00620,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
pride," True is the charge, nor by themselves denied. ",o4110-l00960,"The Scots are poor, cries surly English pride;",o4110-l00955,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
