r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
more, Let not the wretched slave in vain deplore,yfs88-l01615, The long-lost joys he must behold no more;,yfs88-l01620,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
more, The loss of friends or fortune wou'd deplore;,pyl90-l00610," Were he but living, my poor heart no more",pyl90-l00605,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
more,Their sovereign's loss deplore!,o5153-l31970,Ah me! our happier days are now no more: —,o5153-l31955,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>deedfgghhf,pers00040,o5153-w0590
boar, Will lightly her first Loss deplore;,pmp18-l02310, Will easily forgive the Boar:,pmp18-l02315,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0080
more,""" Shalt thou the vanity deplore",o4986-l02755," ""For still the more thou knowest, the more",o4986-l02750,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
more," Soft Sensibility might here deplore,",yfs88-l00685, And feel the shaft of falsehood wound no more;,yfs88-l00690,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
more," In deep distress, thy hapless fate deplore;",o3913-l00175," And wail their charming friend, alas! no more. ",o3913-l00185,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00304,o3913-w0010
adore,"Pardon, bright fair! my hapless fate deplore,",pye85-l01800," The Eastern slave's permitted to adore,",pye85-l01810,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>b,pers00256,pye85-w0050
more, And still my lost felicity deplore;,n22cs-l05870, And love and happiness are mine no more. ,n22cs-l05885,/ɔː/ | /ɔː/,full,aa<b>b</b>cc<b>b</b>,pers00290,n22cs-w0640
more,"Chear'd by her promise, we the less deplore",o4600-l02135, The fatal time when CLIVE shall be no more. ,o4600-l02140,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
more, Nor in his Songs her Loss deplore;,o5247-l01990, For the lost Nymph he mourns no more;,o5247-l01985,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00295,o5247-w0090
shore,IN vain she does her wretched State deplore;,o4741-l09525," Pleas'd with the Gold, he gladly quits the Shore;",o4741-l09530,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
