r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
pride," If adorn'd with those merits, which now you deride. ",pma99-l08945,"Yet recal your lost reason, and banish your pride,",pma99-l08935,/aɪd/ | /aɪd/,full,abab<b>c</b>d<b>c</b>d,pers00306,pma99-w0490
pride," Tell us, who form'd the slave you thus deride,",yfs88-l00515," The sport of insult, indolence, and pride? ",yfs88-l00520,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
pride," 'Tis the Province of insolent Fools, to deride. ",pba35-l04190,"If in Judgment she errs, set her right, without Pride:",pba35-l04185,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
pride," Laugh at her Groans, and all her Pains deride. ",pdi22-l11940,"Void of Remorse, and insolent with Pride",pdi22-l11935,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
pride," The garish pomp of Grandeur to deride,",o4985-l19050,Such charms hath Innocence! such virtues Pride! ,o4985-l19040,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>b,pers00217,o4985-w0280
pride," Who, in their base contempt, the great deride;",pcr18-l17955,"If pride were his, 't was not their vulgar pride",pcr18-l17950,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
pride,"And warn'd them not the fretful to deride,",o5152-l30510,(The source of childen's and of courtier's pride!),o5152-l30500,/aɪd/ | /aɪd/,full,ababb<b>c</b>b<b>c</b>c,pers00035,o5152-w0320
betide,"And warn'd them not the fretful to deride,",o5152-l30510,"But love each other dear, whatever them betide.",o5152-l30515,/aɪd/ | /aɪd/,full,ababbcb<b>c</b><b>c</b>,pers00035,o5152-w0320
pride,Does all besides himself deride:,clc03-l14525,"Full of a stiff pedantick Pride,",clc03-l14520,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
allied," Will not thy native Isle deride,",pba35-l11330, Tho' to an higher Crown ally'd. ,pba35-l11335,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0900
pride," A dull tame fool for lacquies to deride,",o5089-l04045," Slave to his jokes, his passion, and his pride,",o5089-l04040,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
